factor,admitted,direction,ic_mean,icir,ic_tstat,hit_rate_adj,ic_mean_daily,subperiod_sign_ratio,half_sample_sign_match,rolling_icir_pos_ratio,q_monotonicity,q_spread,ls_sharpe,ls_cagr,ls_max_drawdown,avg_turnover,n,n_fail,reject_summary
alpha015,True,1,0.007101794610847844,0.13146393973186862,2.948428738711802,0.5387673956262425,0.004903388932580276,0.8181818181818182,True,0.6916666666666667,0.75,0.0008173617466222206,0.06830058421214243,0.0021191924432462095,-0.12237490060424394,1.5060172085896606,503.0,0,
alpha_vol20,True,-1,-0.016161034654814794,-0.07054608516061026,-1.579035090134328,0.5289421157684631,-0.014976085762031606,0.7272727272727273,True,0.6882845188284519,1.0,0.003431100762408831,0.7834030366882849,0.15053472762846698,-0.3234769542928898,0.4515964120373188,501.0,0,
alpha016,False,1,0.004872846877650275,0.08277482409793396,1.8564457349287875,0.5526838966202783,0.005919508648015889,0.8181818181818182,True,0.6270833333333333,0.5,0.00039621354789100543,-0.31142301036874714,-0.017742310137719652,-0.2858860314183379,1.4470902788803892,503.0,3,min_abs_ic: value=0.004872846877650275 vs 0.005 (有效性：|IC均值| 下限); min_ls_sharpe: value=-0.31142301036874714 vs 0.0 (多空：净夏普下限（含成本）)
alpha002,False,1,0.004929408353275341,0.07974081375004799,1.7883999778831583,0.5228628230616302,0.005001310493453645,0.7272727272727273,True,0.6229166666666667,0.5,0.0002839400693316167,-0.4316734665335677,-0.024116786882295682,-0.2949010101961266,1.4801411307564758,503.0,4,min_abs_ic: value=0.004929408353275341 vs 0.005 (有效性：|IC均值| 下限); min_abs_q_spread: value=0.0002839400693316167 vs 0.0003 (分层：|Top-Bottom 月均价差| 下限)
alpha019,False,1,0.01072172330464994,0.07105918770244848,1.5535820219780492,0.5292887029288703,0.013422505484745582,0.6,False,0.6307692307692307,0.75,0.000724861798036376,0.06861014337077216,0.0009037078157294598,-0.45625843411435607,1.11562334773284,478.0,1,half_sample_sign_match: value=False vs True (稳定性：前后半样本 IC 必须同号)
alpha012,False,1,0.005527095320603079,0.06923973782545752,1.552885401744591,0.5248508946322068,0.004207312241268087,0.7272727272727273,True,0.6645833333333333,0.75,0.0003954874483063889,-0.23507230650088565,-0.017791908189048855,-0.19377056404671333,1.414207681836526,503.0,2,min_ls_sharpe: value=-0.23507230650088565 vs 0.0 (多空：净夏普下限（含成本）); min_ls_cagr: value=-0.017791908189048855 vs -0.01 (多空：年化收益下限)
alpha026,False,1,0.005777087347904421,0.06642214737218084,1.4896934368353947,0.5387673956262425,0.008610342558476576,0.6363636363636364,True,0.71875,0.75,0.00016645844520184368,-0.40643956800295583,-0.03179863303736474,-0.3425708778131742,1.5092737582073916,503.0,4,min_ic_tstat: value=1.4896934368353947 vs 1.5 (有效性：|IC t统计量| 下限); min_abs_q_spread: value=0.00016645844520184368 vs 0.0003 (分层：|Top-Bottom 月均价差| 下限)
alpha021,False,1,0.007285830542264078,0.06566507031483808,1.472713968869947,0.5188866799204771,0.009419727493530754,0.7272727272727273,True,0.5729166666666666,0.5,-0.0007801982817075481,0.21554272743954833,0.010410526734274228,-0.150268561378346,1.093478627657619,503.0,1,min_ic_tstat: value=1.472713968869947 vs 1.5 (有效性：|IC t统计量| 下限)
alpha042,False,1,0.007778762552663679,0.057996834818768335,1.300733378923112,0.5248508946322068,0.00926068221724762,0.7272727272727273,True,0.6020833333333333,0.75,0.0022174778116541825,0.7817691553872327,0.08689412940087093,-0.22471570048116074,0.8650348030767511,503.0,2,min_abs_icir: value=0.057996834818768335 vs 0.06 (有效性：|ICIR| 下限); min_ic_tstat: value=1.300733378923112 vs 1.5 (有效性：|IC t统计量| 下限)
alpha004,False,1,0.008217229695831706,0.05728902523961916,1.284858865281155,0.5069582504970179,0.01153447928433367,0.8181818181818182,True,0.6104166666666667,0.75,0.017399122120578963,0.12342077964677386,0.007512321385433118,-0.3088369763336064,1.1625502829854117,503.0,3,min_abs_icir: value=0.05728902523961916 vs 0.06 (有效性：|ICIR| 下限); min_ic_tstat: value=1.284858865281155 vs 1.5 (有效性：|IC t统计量| 下限)
alpha005,False,1,0.007343433514484666,0.05327902154407422,1.194923859815781,0.49105367793240556,0.010952306108116932,0.6363636363636364,False,0.60625,0.75,0.0009557740325043802,0.1331611300207727,0.008796056360830473,-0.3648167708598594,1.3109530056735899,503.0,4,min_abs_icir: value=0.05327902154407422 vs 0.06 (有效性：|ICIR| 下限); min_ic_tstat: value=1.194923859815781 vs 1.5 (有效性：|IC t统计量| 下限)
