factor,value,sharpe,calmar,profit_factor,max_drawdown,total_return,n_trades
breakout_n,12.0,2.822784000983362,29.604217200120846,1.2299398268636963,-0.09463069869778051,0.359818224572501,701.0
breakout_n,24.0,2.7662618028785486,18.101147436408123,1.2177172953434057,-0.0652664360749261,0.19663794089793507,472.0
breakout_n,36.0,2.6645127573693164,15.610151375276013,1.2383890587245356,-0.061507218658384155,0.16754135500491896,384.0
breakout_n,48.0,2.101540640852052,8.335470666381786,1.1771331016039288,-0.06254939335993226,0.10139603442642553,334.0
breakout_n,72.0,1.6008964209400536,7.450982909223436,1.1722904922697344,-0.04672647057068047,0.07117637611406069,269.0
er_n,12.0,1.8286529063257506,8.785778905678336,1.186704035923874,-0.05532086350049126,0.0954539133853447,283.0
er_n,24.0,-4.075111119661195,-3.659584692152538,0.615192503275758,-0.07337701786391371,-0.06944140733696225,110.0
er_n,48.0,-3.0671360380013772,-3.0128582193994493,0.443824893749108,-0.03012030671796251,-0.021657771754785005,22.0
er_n,72.0,-4.027567839065723,-4.03311773446415,0.10412780708113777,-0.02371935225696542,-0.02287743233162076,10.0
slippage_ticks,0.0,-4.0865289007614924,-3.7216159715986135,0.5509168860677753,-0.06893063499830476,-0.06595089598822024,90.0
slippage_ticks,1.0,-4.969206107477006,-3.766369603731364,0.4902026314786573,-0.08096329563274263,-0.08031228852697492,90.0
slippage_ticks,2.0,-5.984543082286032,-3.692056271255812,0.437598960913072,-0.09505897415324305,-0.09470074348147473,90.0
slippage_ticks,3.0,-6.743555053276897,-3.629259003419284,0.3977810109834132,-0.10678637841982053,-0.10671186986372283,90.0
cost_mult,1.0,-4.969206107477006,-3.766369603731364,0.4902026314786573,-0.08096329563274263,-0.08031228852697492,90.0
cost_mult,2.0,-5.214303277756479,-3.7464043038967727,0.4754308136307922,-0.08478751125317807,-0.08421071795520674,90.0
cost_mult,3.0,-5.457165573193138,-3.726206818570554,0.46122138779814836,-0.0885960806117807,-0.08809289190871938,90.0
