,label,method,p_window,p_n_std,p_exit_z,p_stop_z,train_sharpe,train_cagr,train_total,train_maxdd,valid_sharpe,valid_cagr,valid_total,valid_maxdd,pos_asset_frac,local_sharpe_std,score
7,"bollinger|window=10,n_std=2.5,exit_z=0,stop_z=3.5",bollinger,10,2.5,0,3.5,0.11868836581039123,0.0019285520765333075,0.007466922192395531,-0.031481854369270756,1.4879794581714956,0.01674781091958888,0.03241430209555407,-0.009125457219040345,0.5384615384615384,0.22312997919231417,0.6955833165837014
8,"bollinger|window=10,n_std=2.5,exit_z=0,stop_z=4",bollinger,10,2.5,0,4.0,0.11868836581039123,0.0019285520765333075,0.007466922192395531,-0.031481854369270756,1.4879794581714956,0.01674781091958888,0.03241430209555407,-0.009125457219040345,0.5384615384615384,0.23193286804154079,0.6933825943713947
6,"bollinger|window=10,n_std=2.5,exit_z=0,stop_z=3",bollinger,10,2.5,0,3.0,0.11868836581039123,0.0019285520765333075,0.007466922192395531,-0.031481854369270756,1.4879794581714956,0.01674781091958888,0.03241430209555407,-0.009125457219040345,0.5384615384615384,0.23876913088174895,0.6916735286613427
26,"bollinger|window=40,n_std=2.5,exit_z=0,stop_z=4",bollinger,40,2.5,0,4.0,-0.13502156379227948,-0.010559408830970951,-0.04015919587039074,-0.1699481504391973,0.6882357736283213,0.04612302279906788,0.09046400047606662,-0.08090095729024982,0.3076923076923077,0.07734082724383366,0.23709067446043672
25,"bollinger|window=40,n_std=2.5,exit_z=0,stop_z=3.5",bollinger,40,2.5,0,3.5,-0.18759023715276096,-0.013807021546806686,-0.052266464179158256,-0.1746725193937374,0.6610359518224497,0.04411713680860485,0.08645167526447572,-0.08083361299660918,0.3076923076923077,0.0939094899592233,0.20343213345058403
24,"bollinger|window=40,n_std=2.5,exit_z=0,stop_z=3",bollinger,40,2.5,0,3.0,-0.3402952612488591,-0.02167715911950341,-0.08113715661307841,-0.18044304861157034,0.48419330234469554,0.03017081763647944,0.05875126736929115,-0.0717961503345449,0.3076923076923077,0.09203243352660072,0.07628105200319293
4,"bollinger|window=10,n_std=2,exit_z=0,stop_z=3.5",bollinger,10,2.0,0,3.5,-0.4459883328637605,-0.02985073569358887,-0.1104257304973103,-0.1950168797734031,0.6062972865021362,0.03761260556642876,0.0734895975588914,-0.07754390763971475,0.46153846153846156,0.2292763866563166,0.07613273504389047
3,"bollinger|window=10,n_std=2,exit_z=0,stop_z=3",bollinger,10,2.0,0,3.0,-0.4459883328637605,-0.02985073569358887,-0.1104257304973103,-0.1950168797734031,0.6062972865021362,0.03761260556642876,0.0734895975588914,-0.07754390763971475,0.46153846153846156,0.23586686561364612,0.0744851153045581
5,"bollinger|window=10,n_std=2,exit_z=0,stop_z=4",bollinger,10,2.0,0,4.0,-0.4459883328637605,-0.02985073569358887,-0.1104257304973103,-0.1950168797734031,0.6062972865021362,0.03761260556642876,0.0734895975588914,-0.07754390763971475,0.46153846153846156,0.23908252562952498,0.0736812003005884
15,"bollinger|window=20,n_std=2.5,exit_z=0,stop_z=3",bollinger,20,2.5,0,3.0,-0.2131552529676667,-0.012879484650584416,-0.048820171843266924,-0.10899146860348241,0.2865729075284522,0.013382307225880297,0.025860801107041365,-0.0619626587347305,0.38461538461538464,0.22217570790966779,0.01939302836569596
