,label,method,p_entry,p_exit,p_atr_mult,p_trail_mult,train_sharpe,train_cagr,train_total,train_maxdd,valid_sharpe,valid_cagr,valid_total,valid_maxdd,pos_asset_frac,local_sharpe_std,score
2,"donchian|entry=20,exit=10,atr_mult=3,trail_mult=4",donchian,20,10,3.0,4.0,0.09746689343796137,0.0045868435046647615,0.01782685379600979,-0.12012826476848193,0.25481454039843215,0.019525901386794775,0.03783902822973273,-0.13507774446097887,0.5384615384615384,0.0,0.1723248273440074
1,"donchian|entry=20,exit=10,atr_mult=2.5,trail_mult=3.5",donchian,20,10,2.5,3.5,0.14103968739828765,0.008010573277368538,0.03128591914807366,-0.1137600944961179,0.13353588907400887,0.008137798711184585,0.015688276356353503,-0.136661110473158,0.6153846153846154,0.0,0.14805375091078493
0,"donchian|entry=20,exit=10,atr_mult=2,trail_mult=3",donchian,20,10,2.0,3.0,0.0660663160037089,0.0021311230794407443,0.008253622336925392,-0.10568424320025338,0.17822379959219492,0.012642608316355552,0.024423098809075006,-0.12994164502854977,0.6153846153846154,0.0,0.14031166780454368
12,"donchian|entry=55,exit=20,atr_mult=2,trail_mult=3",donchian,55,20,2.0,3.0,0.05504141438285633,0.0013943623128882532,0.005394536221775326,-0.1078975068515291,0.009015545132582726,0.0003503099149926303,0.0006729259491256023,-0.11716070771761211,0.6153846153846154,0.060696668856913404,0.05015498417197978
6,"donchian|entry=40,exit=20,atr_mult=2,trail_mult=3",donchian,40,20,2.0,3.0,-0.06125410315429635,-0.007511797009214449,-0.028693656020971403,-0.14596729351873816,0.19336302219834894,0.016467527374891766,0.03186775439055767,-0.11158332989952258,0.5384615384615384,0.13593559881140677,0.046325473249335516
13,"donchian|entry=55,exit=20,atr_mult=2.5,trail_mult=3.5",donchian,55,20,2.5,3.5,0.16791453183311458,0.009581753982051966,0.037506353099667544,-0.10839838881834274,-0.1183105364903372,-0.011397772266037554,-0.021776071725873702,-0.1321992992505121,0.6153846153846154,0.0882252095310492,0.031215187300055788
7,"donchian|entry=40,exit=20,atr_mult=2.5,trail_mult=3.5",donchian,40,20,2.5,3.5,-0.01923186393958376,-0.004554716223812538,-0.01747200074222066,-0.16531435049038334,0.08800053242850946,0.006505512433754745,0.01253212461225317,-0.12462034250403731,0.6153846153846154,0.1609902155203121,0.016457833278978637
14,"donchian|entry=55,exit=20,atr_mult=3,trail_mult=4",donchian,55,20,3.0,4.0,0.020241920550095414,-0.001212179862451812,-0.004672251066927924,-0.12008226622944373,-0.027164398778436735,-0.0030367359371836766,-0.005824307451111843,-0.13001855487805247,0.6153846153846154,0.07762796044178677,0.016335428166422465
8,"donchian|entry=40,exit=20,atr_mult=3,trail_mult=4",donchian,40,20,3.0,4.0,-0.15822417560114005,-0.015614202453411385,-0.058954515313290434,-0.17812231727754935,0.185119420296232,0.01597951340375925,0.030916467270688086,-0.12616824021337614,0.46153846153846156,0.12229395239581402,-0.00014480074377780177
9,"donchian|entry=55,exit=10,atr_mult=2,trail_mult=3",donchian,55,10,2.0,3.0,-0.08332417093967537,-0.006597440705124358,-0.0252340156372044,-0.08275549023590001,-0.10621648112031379,-0.009089324833959744,-0.01738421627508857,-0.10964607031564133,0.46153846153846156,0.1345996979328736,-0.07894918310892525
10,"donchian|entry=55,exit=10,atr_mult=2.5,trail_mult=3.5",donchian,55,10,2.5,3.5,-0.01924693507000463,-0.0029549042159870975,-0.011361073343928774,-0.08203741604358117,-0.16789058503534243,-0.014068575738902633,-0.02684554678170803,-0.1196989296219253,0.5384615384615384,0.16099000885025633,-0.08094461292569753
3,"donchian|entry=40,exit=10,atr_mult=2,trail_mult=3",donchian,40,10,2.0,3.0,-0.273309427379873,-0.01953539022168216,-0.07334579703444488,-0.12101975990486047,0.012701530395802343,-0.0008219298886819049,-0.001578029961992744,-0.11910588420214019,0.5384615384615384,0.09518925364715011,-0.08539481268052307
5,"donchian|entry=40,exit=10,atr_mult=3,trail_mult=4",donchian,40,10,3.0,4.0,-0.2773502836959599,-0.020606386147559275,-0.07724797594101751,-0.13474556618065048,-0.003461975018205578,-0.0021569775053364992,-0.0041386527554087005,-0.12760112795685796,0.5384615384615384,0.06515063935134886,-0.0864289008019725
4,"donchian|entry=40,exit=10,atr_mult=2.5,trail_mult=3.5",donchian,40,10,2.5,3.5,-0.2262622133239061,-0.01697688023750843,-0.0639743637152621,-0.13289183580225938,-0.05661385037971621,-0.00657654829524601,-0.0125929033730513,-0.1296855451607981,0.6153846153846154,0.09759149053516329,-0.09120776383143081
11,"donchian|entry=55,exit=10,atr_mult=3,trail_mult=4",donchian,55,10,3.0,4.0,-0.1258228130889977,-0.009454654773020876,-0.03601461129901662,-0.0990590218225349,-0.1345693198229296,-0.011356169298430863,-0.021697004911480744,-0.12152136495026622,0.38461538461538464,0.12149833139669443,-0.11165799221847322
