,label,method,p_window,p_entry_z,p_exit_z,p_stop_z,train_sharpe,train_cagr,train_total,train_maxdd,valid_sharpe,valid_cagr,valid_total,valid_maxdd,pos_asset_frac,local_sharpe_std,score
10,"pairs|window=40,entry_z=1.5,exit_z=0,stop_z=3.5",pairs,40,1.5,0,3.5,0.36314000146581965,0.01586162358296095,0.0625805250718372,-0.07327149225928131,0.9700072614405423,0.037526693607150774,0.07331889324639551,-0.03498606655619929,0.6,0.2882444672522862,0.5166524405683942
11,"pairs|window=40,entry_z=1.5,exit_z=0,stop_z=4",pairs,40,1.5,0,4.0,0.34181521788787195,0.01486793363446881,0.05857705134763913,-0.07268404522748995,0.9792485713931322,0.03790841416292978,0.0740774593062139,-0.0349860665561994,0.6,0.31961314022508436,0.5066189194935745
9,"pairs|window=40,entry_z=1.5,exit_z=0,stop_z=3",pairs,40,1.5,0,3.0,0.38600479425425727,0.016743158498720545,0.06614151609347885,-0.07265833391043164,0.8497614214214877,0.032180012801750424,0.06272081805457397,-0.037756123312891576,0.6,0.3034204282074603,0.46584870323634575
16,"pairs|window=40,entry_z=2.5,exit_z=0,stop_z=3.5",pairs,40,2.5,0,3.5,0.8056342989896997,0.02781701977356854,0.1116318000009584,-0.049547998565834694,0.4814234018915269,0.013118115672804187,0.025347199061021897,-0.03441649628583465,0.8,0.3643234817342725,0.43764465245042705
17,"pairs|window=40,entry_z=2.5,exit_z=0,stop_z=4",pairs,40,2.5,0,4.0,0.7891299376945395,0.027230259354509068,0.10918601945593709,-0.04954799856583503,0.496853801038368,0.013529945049101766,0.02614787037108246,-0.03441649628583465,0.8,0.39185866168644945,0.43269455264800727
15,"pairs|window=40,entry_z=2.5,exit_z=0,stop_z=3",pairs,40,2.5,0,3.0,0.7958790192285734,0.02607714235007652,0.10439112385058014,-0.0531709873455396,0.4364434318931421,0.011468645611153905,0.022143331840247527,-0.039080301138498585,0.8,0.37542489138279633,0.4106219946734096
35,"pairs|window=90,entry_z=2.5,exit_z=0,stop_z=4",pairs,90,2.5,0,4.0,0.30931192398450624,0.011450541140699322,0.04489397652515992,-0.05069610487391729,0.4406875512500161,0.011649423871673115,0.02249423406989348,-0.04194146035649071,0.8,0.005869545634764241,0.35810661674475874
34,"pairs|window=90,entry_z=2.5,exit_z=0,stop_z=3.5",pairs,90,2.5,0,3.5,0.2968158654231484,0.010912145463802592,0.042750273624064805,-0.04878134705086978,0.4131653908216317,0.010854624701466031,0.020951908843279465,-0.04338659110151544,0.8,0.027562460746889807,0.3369744480936192
13,"pairs|window=40,entry_z=2,exit_z=0,stop_z=3.5",pairs,40,2.0,0,3.5,0.37700225860534126,0.015222061812319554,0.060002513319240336,-0.055304661148159684,0.4642331874852698,0.01518569530077074,0.029369973711711683,-0.029446130250227798,0.8,0.23234373269738498,0.33161571966981956
14,"pairs|window=40,entry_z=2,exit_z=0,stop_z=4",pairs,40,2.0,0,4.0,0.3579895887202143,0.014400702291909262,0.056698491692921626,-0.058130604872215,0.47682734681030886,0.015598715311613942,0.03017446851956862,-0.029446130250227798,0.8,0.24619696480868308,0.3273273604896697
12,"pairs|window=40,entry_z=2,exit_z=0,stop_z=3",pairs,40,2.0,0,3.0,0.38636089596129675,0.015334343311590448,0.060454773541553264,-0.05369158141173458,0.43157648475350824,0.013850957904083527,0.026772185589450492,-0.03060829452282865,0.8,0.23651645429825943,0.3190991123311283
33,"pairs|window=90,entry_z=2.5,exit_z=0,stop_z=3",pairs,90,2.5,0,3.0,0.24155063014313166,0.008700256671839046,0.03397747542486673,-0.05107455180800169,0.25983810229194754,0.006369822742924525,0.012269970077108061,-0.04543930797178941,0.8,0.03209720098985314,0.2494694225420361
0,"pairs|window=20,entry_z=1.5,exit_z=0,stop_z=3",pairs,20,1.5,0,3.0,-0.2555770839133549,-0.012843348761855666,-0.04863692049856572,-0.10383172332395074,0.7274571515207917,0.02619075803616222,0.050908921976870136,-0.0434252044618475,0.4,0.26444625943341643,
