,label,method,p_lookback,p_entry_z,p_exit_z,p_stop_z,train_sharpe,train_cagr,train_total,train_maxdd,valid_sharpe,valid_cagr,valid_total,valid_maxdd,pos_asset_frac,local_sharpe_std,score
7,"reversal|lookback=3,entry_z=2,exit_z=0,stop_z=3",reversal,3,2.0,0,3.0,-0.23044557199443946,-0.008853219632740772,-0.03375270612331749,-0.05991703838554263,0.30239623273372557,0.011255477442737138,0.021729632893327855,-0.030710299079702685,0.5384615384615384,0.1338574411427676,0.07146184513264689
8,"reversal|lookback=3,entry_z=2,exit_z=0,stop_z=3.5",reversal,3,2.0,0,3.5,-0.3152744271451671,-0.012438260017752945,-0.04717753260247437,-0.07446778323955672,0.297631297828727,0.011191734148489063,0.02160594083240608,-0.032038083182937216,0.5384615384615384,0.11247930135579691,0.04521731257491715
5,"reversal|lookback=3,entry_z=1.5,exit_z=0,stop_z=3.5",reversal,3,1.5,0,3.5,-0.10650001816308921,-0.007229405242353271,-0.02762614597601276,-0.08012472130194392,0.0843421904418763,0.0030223532001352194,0.005812912386355951,-0.06255740182820468,0.6923076923076923,0.12009742397685204,0.0244562726367525
3,"reversal|lookback=3,entry_z=1.5,exit_z=0,stop_z=2.5",reversal,3,1.5,0,2.5,-0.001389335553255023,-0.00137907497348011,-0.005314265767046855,-0.07214514330666633,0.004143421591836169,-0.0016116047835725844,-0.0030930080766142787,-0.058635299929483464,0.6153846153846154,0.09698619662068958,0.020565458109624325
6,"reversal|lookback=3,entry_z=2,exit_z=0,stop_z=2.5",reversal,3,2.0,0,2.5,-0.2594666595123171,-0.009232454529548906,-0.03517940784145113,-0.05958104021012067,0.22715364348341782,0.007722034606874928,0.014883917406111724,-0.031688722556370785,0.5384615384615384,0.17238355797866245,0.019310900559846057
4,"reversal|lookback=3,entry_z=1.5,exit_z=0,stop_z=3",reversal,3,1.5,0,3.0,-0.060007220775623475,-0.004628010345751221,-0.017751295794923405,-0.07425882705813247,0.014187300819288724,-0.0011095987831429843,-0.002130045624350485,-0.06390745794769481,0.6153846153846154,0.11480184650654421,0.0021926112487101372
14,"reversal|lookback=5,entry_z=1.5,exit_z=0,stop_z=3.5",reversal,5,1.5,0,3.5,-0.37448463175833624,-0.02204521221035105,-0.08247116182317527,-0.13972688724815885,0.2958425524951654,0.017426329102778526,0.03373797434866055,-0.059741591551468964,0.38461538461538464,0.1376035573971034,-0.012291834825488634
13,"reversal|lookback=5,entry_z=1.5,exit_z=0,stop_z=3",reversal,5,1.5,0,3.0,-0.35113920012969424,-0.020370548630647134,-0.07638974823081335,-0.1347378020527975,0.23709940286357176,0.01315768141981244,0.025424109070715017,-0.061450428789431744,0.46153846153846156,0.1531166604711372,-0.026493853090503214
12,"reversal|lookback=5,entry_z=1.5,exit_z=0,stop_z=2.5",reversal,5,1.5,0,2.5,-0.22481074758253075,-0.012763329990779337,-0.048387942252333116,-0.11885040447504691,0.12374639156119015,0.005155423760130784,0.009925181709817377,-0.06101969933818008,0.5384615384615384,0.18367383328115006,-0.03481858666419699
0,"reversal|lookback=3,entry_z=1,exit_z=0,stop_z=2.5",reversal,3,1.0,0,2.5,-0.1336767216315433,-0.011316434195772107,-0.042991610544113934,-0.1457298167610217,0.06443024778240146,0.0009691782251044501,0.001862267964664932,-0.1048943861942272,0.46153846153846156,0.18152730845781223,-0.04790148355782186
