,label,method,p_lookback,p_skip,train_sharpe,train_cagr,train_total,train_maxdd,valid_sharpe,valid_cagr,valid_total,pos_asset_frac,local_sharpe_std,local_sharpe_mean,score
0,"tsmom|lookback=20,skip=1",tsmom,20,1,0.5148397211303526,0.04596697520706838,0.1894907270826487,-0.115951536584193,0.4849105695954534,0.052301116893634925,0.10286642965367498,0.6923076923076923,0.24512752078549627,0.3071219592561281,0.4225483353822594
1,"tsmom|lookback=20,skip=5",tsmom,20,5,0.443619585867986,0.03886450616912507,0.15860603222152347,-0.10727499290977682,0.14800852044797508,0.007923174754964846,0.015273015499204012,0.6153846153846154,0.1006278255362989,0.41110999898950457,0.2976256465132847
3,"tsmom|lookback=40,skip=5",tsmom,40,5,0.27487068997017505,0.022829663187105886,0.0910676689918084,-0.1488407498552713,0.04703928162575655,0.0004941088744070399,0.0009492186037360906,0.6923076923076923,0.19097681190478494,0.17976172530050405,0.16805122463656236
2,"tsmom|lookback=40,skip=1",tsmom,40,1,-0.03709342922995415,-0.008460733790726205,-0.03227450807624577,-0.24942404655645778,0.41911420023613816,0.04310441233677609,0.08442864041291132,0.46153846153846156,0.2052207415065612,0.21518476219660815,
4,"tsmom|lookback=60,skip=1",tsmom,60,1,0.10812206691585918,0.005825578722971958,0.02268133924931015,-0.16431950574043275,0.19901106649918382,0.02287877588710807,0.044404270339385654,0.6153846153846154,0.05929252643153367,0.036226230759904804,
5,"tsmom|lookback=60,skip=5",tsmom,60,5,0.03765005459380937,-0.0013445004939052208,-0.0051812893311291575,-0.1936215824766705,-0.15545698383348414,-0.01900056759979818,-0.03617381256073571,0.38461538461538464,0.09946805051517021,0.1402142704932812,
6,"tsmom|lookback=90,skip=1",tsmom,90,1,0.15844489351941293,0.010889167726396032,0.04270366861452568,-0.17268370019503398,-0.9136338031231663,-0.09792173869301013,-0.1795719873060263,0.6153846153846154,0.022456006281036334,0.1359888872383766,
7,"tsmom|lookback=90,skip=5",tsmom,90,5,0.11353288095734027,0.006361568915406179,0.02478714280204919,-0.20938452439901645,-0.9957825005680596,-0.10061485945633342,-0.18426984244575206,0.5384615384615384,0.022456006281036334,0.1359888872383766,
8,"tsmom|lookback=120,skip=1",tsmom,120,1,0.2109936955675586,0.016006550600019986,0.06323235429205076,-0.15708011145570888,-0.8061113224483618,-0.07918643684797866,-0.14653261268242612,0.7692307692307693,0.07111723594625534,0.13987645962130327,
9,"tsmom|lookback=120,skip=5",tsmom,120,5,0.06875922367504793,0.002007253470463155,0.0077725110876061265,-0.19580786267903483,-0.6914213912534699,-0.06921586208592467,-0.12869491049613102,0.6153846153846154,0.07111723594625534,0.13987645962130327,
10,"tsmom|lookback=180,skip=1",tsmom,180,1,0.16706969164071675,0.011304162719339761,0.044357409855097396,-0.14178013526720923,-0.9498169743888457,-0.08782857782713716,-0.16185056113551255,0.5384615384615384,0.07243745937482257,0.09463223226589418,
11,"tsmom|lookback=180,skip=5",tsmom,180,5,0.022194772891071607,-0.0023028340673064696,-0.008862248482102819,-0.15181987075774706,-0.6714643529482,-0.06313408738989945,-0.11772759137105215,0.6153846153846154,0.07243745937482257,0.09463223226589418,
