,AU,C,CU,IF,M,RB,SC,TA
2018-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-06,0.5763226856663091,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-07,0.5955512429421568,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-08,0.604832161400758,0.8078438662346527,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-09,1.704090061444093,2.3385514680734847,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-12,1.4715727189055496,2.005912823055664,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-13,1.3813438145436125,2.26235309529345,0.0,0.0,-1.3784500402696498,0.0,0.0,0.0
2018-02-14,1.219577417732592,2.0361769869581567,0.0,0.0,-1.2719060648498788,0.0,0.0,0.0
2018-02-15,1.227879876765855,1.8623214567396063,0.0,0.0,-1.1773865598068036,0.0,0.0,0.0
2018-02-16,0.9745505245536505,1.4544604720828802,-0.662010838514434,0.0,-0.95183838265169,0.0,0.0,0.0
2018-02-19,0.767993159036946,1.1639291523604727,-0.5807476223341592,0.0,-0.7642062732631607,0.0,0.0,-0.3450082106351805
2018-02-20,0.7329796071999785,1.1932541130326988,-0.5537788841895225,0.0,-0.732181407887904,0.0,0.0,-0.3383983507774372
2018-02-21,0.7009194938292641,1.2240864416432042,-0.5713177878060774,0.0,-0.7521845376098403,0.0,0.0,-0.3502623610132982
2018-02-22,0.6567692984987967,1.0464705304993516,-0.4958878312987243,0.0,-0.7331024445952767,0.0,0.41182419878816834,-0.2951538580571099
2018-02-23,0.720780139458486,1.0025383028373531,-0.5129763535409603,0.0,-0.7048377127177151,0.0,0.3662339608870541,-0.29294754114281996
2018-02-26,0.7381895526084805,0.7857879415872863,-0.5321290432231915,0.0,-0.7097291595001614,0.0,0.35756047156184156,-0.31691117442982475
2018-02-27,0.7550654014406338,0.8030677926855287,-0.5471933763489698,0.0,-0.6504282443381418,0.0,0.36926859654373306,-0.32237333895554776
2018-02-28,0.6663248510308516,0.7024532153484994,-0.5338516890957994,0.0,-0.5641702657703941,0.35465717174084943,0.32725326601879334,-0.28011350959942866
2018-03-01,0.6267203203685754,0.6828420116039668,-0.6580484779982184,0.0,-0.5420692556339766,0.36428106214334877,0.31460510148697735,-0.26996483701567886
2018-03-02,0.671124475882347,0.7205699369755187,-0.7386136214192203,0.0,-0.5729320096857852,0.4021408549031656,0.0,-0.3037020190246657
2018-03-05,0.6501504523755348,0.6956529687512011,-0.623150281357454,0.0,-0.5474815874469715,0.39267208766933137,-0.24950974740072115,-0.2798256701057212
2018-03-06,0.6563557337245944,0.6981203580539111,-0.6210429181818603,0.0,-0.5502868416281207,0.35010114730064895,-0.2637029561556291,-0.31014394941609996
2018-03-07,0.6284917291794782,0.6696200822451367,-0.5972966167210653,0.0,-0.5190481960164225,0.33879304708340513,-0.26116275796734334,-0.29746009487465724
2018-03-08,0.6187642789538649,0.6861864647331378,-0.5140713834218308,0.0,-0.4971301515790525,0.3276704384572252,-0.24680689158933403,-0.2840055986290247
2018-03-09,0.6930318244963384,0.6738151981577408,-0.49195631029063047,0.0,-0.49690661155646293,0.3219522342245658,-0.23955733089314246,-0.2902560527879651
2018-03-12,0.0,0.8500254096995358,-0.6162508012964126,0.0,-0.6437520212355299,0.435952667175308,-0.3083082782684418,-0.37268337411870117
2018-03-13,-0.6442291790968963,0.6679617624711897,-0.48785120480702854,0.0,-0.5604949741150459,0.3377049331633855,-0.23021983805521443,-0.2900931378129892
2018-03-14,-0.6502087301704332,0.6398584710201619,-0.5042088367156944,0.0,-0.5755116927707787,0.32776684466191325,-0.24055815366529792,-0.3113979302035891
2018-03-15,-0.6348004873091045,0.6544517558690159,-0.4673969468737444,0.0,-0.602689870055852,0.3213355094168733,-0.22903051965949794,-0.31258278264381234
2018-03-16,-0.7069616295223426,0.6722977791904101,0.0,0.0,-0.6470961999988563,0.33855473087990456,-0.25539516172886045,-0.3701612231281311
2018-03-19,-0.6274677215966589,0.7025002076652058,0.0,0.0,-0.6657842795058351,0.34574520437928563,-0.27277608082735866,-0.3855709642206227
2018-03-20,-0.6470971988265009,0.698912681696791,0.0,0.0,-0.683817262799298,0.3445732356366331,-0.26149394320632097,-0.324804081344475
2018-03-21,-0.5641204910571042,0.5941463819166859,0.0,-0.44868756977937496,-0.5801484178539937,0.29097589816025815,-0.2205615406237894,-0.27695881081944973
2018-03-22,-0.4649348989911736,0.5960741811256802,0.0,-0.45979531471409824,-0.6218311470848883,0.30026403810108077,-0.22634721738702288,-0.3109035097834676
2018-03-23,0.0,0.5820664521378283,-0.4781658460498949,-0.45702610652122017,-0.6370624155590408,0.30053947718509033,-0.23754616447085908,-0.2951112183269778
2018-03-26,0.0,0.6837080091086751,-0.4292736533756924,-0.4406262680024879,-0.6243684589685634,0.28395734729099903,-0.2220032369526064,-0.27446175721202426
2018-03-27,-0.37141349834880494,0.5644546629275756,-0.37026753036555715,-0.33690202495827876,-0.67627456095757,0.2148317127655946,-0.18385987426758776,-0.24063461971232894
2018-03-28,-0.3750601728493252,0.5782470201865426,-0.3695574053291434,-0.34414695325888106,-0.6656638272879928,0.23213768307025626,-0.18791245053769895,-0.2059072034332511
2018-03-29,-0.34250329570327515,0.5273247677408044,-0.34195824267919517,-0.32751468904837905,-0.6620687211148735,0.23093793740919147,-0.18610147681302008,-0.1646168979191079
2018-03-30,-0.3447402007281134,0.5363841852359974,-0.3323551948027169,-0.33652829151636443,-0.6644982808116513,0.20856731099598752,-0.19074063855931153,-0.16712088361284286
2018-04-02,-0.3335997010886121,0.5187187754853518,-0.32211418907003614,-0.32955753561242535,-0.6616058457905784,0.19737929229370318,-0.2156769288728836,-0.16735353310449644
2018-04-03,-0.33125883922837696,0.5346803117096857,-0.331864989056136,-0.3294803823539516,-0.6081281023156789,0.2092622120951904,-0.22044549520271542,-0.17022640157014512
2018-04-04,-0.3244297445031763,0.4984329588916228,-0.361441782591856,-0.3235113286467915,-0.5888368588816149,0.20748019198163153,-0.21900275900755442,-0.15621988184842003
2018-04-05,-0.3135401741209083,0.4639408465567154,-0.36039979109069054,-0.31001056790997217,-0.571559825627129,0.1310719053086322,-0.22610631246196886,-0.15308053447807066
2018-04-06,-0.3167681520995737,0.46955122274388195,-0.3499923852910863,-0.3045498148670345,-0.5761423114793528,0.13233577581700298,-0.2293767883765323,-0.15053529296744703
2018-04-09,-0.33705263296872057,0.46002805519547524,-0.3727199534476659,-0.32212340103489073,-0.5064186686500318,0.13023436379790185,-0.22970005399982613,-0.14663536816518544
2018-04-10,-0.3515123683393584,0.4597502553594609,-0.35651524280247315,-0.3212324546004971,-0.5244658988643657,0.1277240378882082,-0.2082534551078443,-0.14030332500163498
2018-04-11,-0.33405084730883783,0.4338853874603453,-0.341037798208003,-0.3032580157649209,-0.4978270135931141,0.11908754359778426,-0.1818863021799589,-0.13280319538043955
2018-04-12,-0.3444698802375511,0.429750374804426,-0.36994835156774675,-0.28972120756844405,-0.4834850820392794,0.10995656306058323,-0.18597991111512113,-0.13025798573734568
2018-04-13,-0.33830631188090204,0.44462084951767267,-0.29392614163945346,-0.31046402974565684,-0.5066119495885938,0.11443868237674308,-0.18429519980802536,-0.1335829798761304
