date,trend_tsmom60,trend_tsmom120,trend_donchian55,trend_dualma_atr,pair_RB_HC,pair_I_RB,pair_Y_M,pair_C_M,pair_MA_TA,cal_RB,cal_HC,cal_I,cal_CU,book_live_pre_registered,book_is_filtered_arb,book_oracle_oos_filter,book_all_sleeves_eq,book_live_activity
2018-01-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
2018-01-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
2018-01-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
2018-01-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
2018-01-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
2018-01-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
2018-01-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
2018-01-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
2018-01-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
2018-01-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
2018-01-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
2018-01-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
2018-01-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
2018-01-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
2018-01-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
2018-01-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
2018-01-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
2018-01-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
2018-01-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
2018-01-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
2018-01-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
2018-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
2018-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
2018-02-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
2018-02-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
2018-02-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
2018-02-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
2018-02-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
2018-02-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
2018-02-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
2018-02-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
2018-02-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
2018-02-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
2018-02-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
2018-02-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
2018-02-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
2018-02-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
2018-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
2018-03-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
2018-03-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
2018-03-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
2018-03-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
2018-03-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
2018-03-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
2018-03-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
2018-03-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
2018-03-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
2018-03-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
2018-03-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
2018-03-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
2018-03-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
2018-03-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
2018-03-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
2018-03-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
2018-03-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
2018-03-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
2018-03-28,0.0,0.0,-0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.9999769230769231,1.0
2018-03-29,0.0,0.0,-0.023972602739726012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.9981329192672449,1.0
2018-03-30,0.0,0.0,-0.03101246579507455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.9957517990351131,1.0
2018-04-02,0.0,0.0,0.013448939540657071,-0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.99994,0.9967589590507295,1.0
2018-04-03,0.0,0.0,-0.002798420067519427,0.0009621126662308033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0001324109878942,0.9966181624465906,1.0
2018-04-04,-0.0002999999999999999,0.0,0.010784454426989493,0.006041187533030224,-0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99994,0.99994,1.0012808005337628,0.9978620677907992,0.99994
2018-04-09,-0.0020231576247217976,0.0,0.0009562314070853867,-0.0020231576247217976,-0.00017227111457296268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999055478443388,0.9999055478443388,1.0008411524046437,0.9976116539243999,0.9997677392216939
2018-04-10,-0.005200498560125287,0.0,-0.00905970259233375,-0.005250484460458251,-0.0005192560367894837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9998017064459513,0.9998017064459513,0.9996862336589754,0.9960745690615403,0.9992486037877157
2018-04-11,-0.0010442617707177933,0.0,0.00014388183378660055,-0.0003241522481259406,0.003853554971141371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0005722646131574,1.0005722646131574,1.0003918927220228,0.9962760077337482,1.003099263212248
2018-04-12,0.00039780101377967926,0.0,-0.008737986395759872,0.00028487729751912387,-0.0034243754130082182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9998869976007816,0.9998869976007816,0.9997637470296324,0.9953962436379863,0.9996642747584973
2018-04-13,5.948052284787291e-05,0.0,-0.002912629853810037,-0.0018788023905459861,0.0017930629041740258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0002455696575343,1.0002455696575343,0.9997466031835998,0.9951712160311214,1.0014567356861948
2018-04-16,0.004388201088869407,0.0,0.0047920047148245284,0.004379697360397872,-0.0010805109855827595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000294143922752,1.0000294143922752,1.000406273257898,0.996126533868784,1.0003746506817
2018-04-17,-0.0016299227488349433,0.0,0.0026332368635386973,-0.003027330211950125,-0.002049671099288664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9996194681144516,0.9996194681144516,0.9993904604656776,0.9958143871066955,0.9983242116717367
2018-04-18,-0.005941079991764966,0.0,-0.01117119227853966,-0.005915008460868668,-0.0016932852011886097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9992809399440159,0.9992809399440159,0.9978697292444212,0.9939207643980135,0.9966337640581246
2018-04-19,-0.009813824998857076,0.0,-0.0055124693785496065,-0.009813824998857076,0.0041460799968068285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0001095596872744,1.0001095596872744,0.9967385950102967,0.9923156558081803,1.0007658873714285
2018-04-20,0.006610946886718801,0.0,0.005370898956135811,0.0066894654597129104,-0.004258826265407078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9992577011150583,0.9992577011150583,0.9972231373893987,0.9934157892344476,0.9965037993247676
2018-04-23,-0.004106642026403474,0.0,-0.010125742319786647,-0.005548407852684929,6.489367042961203e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9992706702150443,0.9992706702150443,0.9961294799460492,0.9919091673192859,0.9965684661139029
2018-04-24,0.0001263191088652116,0.0,-0.005775856816817596,-0.0003888823799100149,0.003218851212091478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999139709366501,0.9999139709366501,0.9966932830222621,0.9916940322257655,0.9997762717289858
2018-04-25,0.0007993275108167019,0.0,0.00017563336896970477,0.0015935527575230896,0.0012719675180571377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0001683425550267,1.0001683425550267,0.9972644919844691,0.9919870000905848,1.0010479546719493
2018-04-26,0.0009967080608427098,0.0,-0.0035501190100330382,0.002014506307644654,-0.0012831938934630416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999116605731063,0.9999116605731063,0.9974103543651113,0.9918479617783069,0.9997634160494506
2018-04-27,-0.00042531750584238646,0.0,-0.0028963804747211804,-5.539214695604434e-05,0.0012410214572414757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0001598429383296,1.0001598429383296,0.9976468661552147,0.9916849882893196,1.0010041439009332
2018-05-02,-0.005161927004640594,0.0,-0.004766925041735981,-0.00436117532251289,0.0047209231579281585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0011041784911612,1.0011041784911612,0.9977186464153364,0.9909550239049052,1.0057298075450571
