,trend_tsmom,trend_donchian,trend_dualma,arb_calendar,arb_pairs,arb_xs_reversal,portfolio_all6,portfolio_deploy_eq,portfolio_deploy_invvol
2018-01-02,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0
2018-01-03,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0
2018-01-04,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0
2018-01-05,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0
2018-01-08,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0
2018-01-09,1.0,1.0,1.0,,1.0,0.9997,0.99995,0.99995,0.99995
2018-01-10,1.0,1.0,1.0,,1.0,1.0026529336019154,1.0004422786761422,1.0004422786761422,1.0004422786761422
2018-01-11,1.0,1.0,1.0,,1.0,1.0022479656698255,1.0003749328333962,1.0003749328333962,1.0003749328333962
2018-01-12,1.0,1.0,1.0,,1.0,1.0058105604220515,1.0009675889770597,1.0009675889770597,1.0009675889770597
2018-01-15,1.0,1.0,1.0,,1.0,1.0097677901985096,1.0016239516004395,1.0016239516004395,1.0016239516004395
2018-01-16,1.0,1.0,1.0,,1.0,1.0027955740848216,1.0004712874726087,1.0004712874726087,1.0004712874726087
2018-01-17,1.0,1.0,1.0,,1.0,1.0029160280926104,1.0004913166090497,1.0004913166090497,1.0004913166090497
2018-01-18,1.0,1.0,1.0,,1.0,1.0047713128025686,1.0007997831523023,1.0007997831523023,1.0007997831523023
2018-01-19,1.0,1.0,1.0,,1.0,0.9980390128788494,0.9996821682585907,0.9996821682585907,0.9996821682585907
2018-01-22,1.0,1.0,1.0,,1.0,0.9990594595747353,0.9998525227157432,0.9998525227157432,0.9998525227157432
2018-01-23,1.0,1.0,1.0,,1.0,0.9982195357395642,0.999712424286593,0.999712424286593,0.999712424286593
2018-01-24,1.0,1.0,1.0,,1.0,0.9900212513356752,0.9983440000600975,0.9983440000600975,0.9983440000600975
2018-01-25,1.0,1.0,1.0,,1.0,0.9920184646507358,0.9986796672536453,0.9986796672536453,0.9986796672536453
2018-01-26,1.0,1.0,1.0,,1.0,0.9923136477159762,0.9987291947802451,0.9987291947802451,0.9987291947802451
2018-01-29,1.0,1.0,1.0,,1.0,0.9941712849607209,0.9990408026665063,0.9990408026665063,0.9990408026665063
2018-01-30,1.0,1.0,1.0,,1.0,0.9978332194732094,0.9996541144854406,0.9996541144854406,0.9996541144854406
2018-01-31,1.0,1.0,1.0,,1.0,0.9974460733170236,0.9995894723788599,0.9995894723788599,0.9995894723788599
2018-02-01,1.0,1.0,1.0,,1.0,0.9951518382253631,0.9992062781881939,0.9992062781881939,0.9992062781881939
2018-02-02,1.0,1.0,1.0,,1.0,0.9961631658464378,0.999375519515575,0.999375519515575,0.999375519515575
2018-02-05,1.0,1.0,1.0,,1.0,0.9937445024575365,0.9989711090294738,0.9989711090294738,0.9989711090294738
2018-02-06,1.0,1.0,1.0,,1.0,0.9971552639381964,0.9995425590971294,0.9995425590971294,0.9995425590971294
2018-02-07,1.0,1.0,1.0,,1.0,0.9979138321440825,0.9996692898135286,0.9996692898135286,0.9996692898135286
2018-02-08,1.0,1.0,1.0,,1.0,0.9968363543254437,0.9994893942736112,0.9994893942736112,0.9994893942736112
2018-02-09,1.0,1.0,1.0,,1.0,0.9987632293386712,0.9998113948259009,0.9998113948259009,0.9998113948259009
2018-02-12,1.0,1.0,1.0,,1.0,0.999128699611017,0.999872370462573,0.999872370462573,0.999872370462573
2018-02-13,1.0,1.0,1.0,,1.0,1.0026033684129545,1.000451912973449,1.000451912973449,1.000451912973449
2018-02-14,1.0,1.0,1.0,,1.0,1.003755069501631,1.0006434512549605,1.0006434512549605,1.0006434512549605
2018-02-22,1.0,1.0,1.0,,1.0,0.9988035799683674,0.9998207612505358,0.9998207612505358,0.9998207612505358
2018-02-23,1.0,1.0,1.0,,1.0,1.0032861139873053,1.0005686110889207,1.0005686110889207,1.0005686110889207
2018-02-26,1.0,1.0,1.0,,1.0,1.005660922679649,1.0009633404690002,1.0009633404690002,1.0009633404690002
2018-02-27,1.0,1.0,1.0,,1.0,1.0028831291788391,1.0005025374622414,1.0005025374622414,1.0005025374622414
2018-02-28,1.0,1.0,1.0,,1.0,1.0006251076746968,1.0001270938738496,1.0001270938738496,1.0001270938738496
2018-03-01,1.0,1.0,1.0,,1.0,0.998014244116739,0.999692166519823,0.999692166519823,0.999692166519823
2018-03-02,1.0,1.0,1.0,,1.0,0.9958249993419904,0.9993266789420634,0.9993266789420634,0.9993266789420634
2018-03-05,1.0,1.0,1.0,,1.0,0.9954687938379411,0.9992671026002332,0.9992671026002332,0.9992671026002332
2018-03-06,1.0,1.0,1.0,,1.0,0.9971176416804308,0.9995429591307429,0.9995429591307429,0.9995429591307429
2018-03-07,1.0,1.0,1.0,,1.0,0.9982204326788798,0.9997272046887754,0.9997272046887754,0.9997272046887754
2018-03-08,1.0,1.0,1.0,,1.0,0.991229469907362,0.9985602854658511,0.9985602854658511,0.9985602854658511
2018-03-09,1.0,1.0,1.0,,1.0,0.985975173828836,0.9976780929377198,0.9976780929377198,0.9976780929377198
2018-03-12,1.0,1.0,1.0,,1.0,0.9858610314857023,0.9976588434139584,0.9976588434139584,0.9976588434139584
2018-03-13,1.0,1.0,1.0,,1.0,0.9852043606461928,0.9975480885426115,0.9975480885426115,0.9975480885426115
2018-03-14,1.0,1.0,1.0,,1.0,0.9860329470079016,0.9976879165103462,0.9976879165103462,0.9976879165103462
2018-03-15,1.0,1.0,1.0,,1.0,0.9889033934235911,0.9981719790548778,0.9981719790548778,0.9981719790548778
2018-03-16,1.0,1.0,1.0,,1.0,0.9913017782614753,0.9985754563739779,0.9985754563739779,0.9985754563739779
2018-03-19,1.0,1.0,1.0,,1.0,0.9890430045595834,0.9981962317978238,0.9981962317978238,0.9981962317978238
