,equity
2010-01-31,1.0
2010-02-28,0.9952180191705202
2010-03-31,0.996701805071714
2010-04-30,1.015003699500029
2010-05-31,0.983280255921984
2010-06-30,0.9854381698574365
2010-07-31,1.039365610178645
2010-08-31,1.0151505023801282
2010-09-30,1.0082625495069628
2010-10-31,1.0274597068968851
2010-11-30,1.063636239249582
2010-12-31,1.0621070244594197
2011-01-31,1.070244095458748
2011-02-28,1.1070816492878064
2011-03-31,1.1082667770877552
2011-04-30,1.082698296800671
2011-05-31,1.0755071498175273
2011-06-30,1.114439232855636
2011-07-31,1.1440305322051154
2011-08-31,1.1311482265451709
2011-09-30,1.154216554984182
2011-10-31,1.1808949195687597
2011-11-30,1.1975227378421167
2011-12-31,1.2002031116354057
2012-01-31,1.2736507974997575
2012-02-29,1.3213950730106392
2012-03-31,1.3517885820589397
2012-04-30,1.3949963563337875
2012-05-31,1.3993894203629214
2012-06-30,1.4194396318086884
2012-07-31,1.4040317620901377
2012-08-31,1.4620796011895822
2012-09-30,1.4918335480330966
2012-10-31,1.519152278236472
2012-11-30,1.513537819383648
2012-12-31,1.5591548220031763
2013-01-31,1.5765134143824449
2013-02-28,1.6275813938587906
2013-03-31,1.6476624605314931
2013-04-30,1.6482159682436175
2013-05-31,1.653420356569695
2013-06-30,1.646850789448987
2013-07-31,1.6801516991655028
2013-08-31,1.7555268597888272
2013-09-30,1.7698727956758709
2013-10-31,1.8267750989131617
2013-11-30,1.8212727088747962
2013-12-31,1.8461089668757518
2014-01-31,1.7770956867036138
2014-02-28,1.795522953465865
2014-03-31,1.8844180710017715
2014-04-30,1.8760450962537374
2014-05-31,1.8874894208368502
2014-06-30,1.8603284840907839
2014-07-31,1.9482382164721141
2014-08-31,2.0185048160133103
2014-09-30,1.992847196486812
2014-10-31,2.0204363276540582
2014-11-30,1.9720721425135277
2014-12-31,1.9797219523473393
2015-01-31,2.0784631522835024
2015-02-28,1.9495023395792417
2015-03-31,1.8260158092110683
2015-04-30,1.7716706430194833
2015-05-31,1.55949770345072
2015-06-30,1.9266644608553642
2015-07-31,1.9209058818599263
2015-08-31,2.09103488630813
2015-09-30,2.259274232089988
2015-10-31,2.461980396311883
2015-11-30,2.4264753708488684
2015-12-31,2.6938755596929975
2016-01-31,2.7238361622836753
2016-02-29,2.7921087437272276
2016-03-31,2.9882216324667397
2016-04-30,3.0624349657218497
2016-05-31,3.0816394475907978
2016-06-30,2.974974499716026
2016-07-31,3.0699998528841355
2016-08-31,3.096783533845552
2016-09-30,3.1602221206093914
2016-10-31,3.1799482958210668
2016-11-30,3.264349257064932
2016-12-31,3.2826567834003586
2017-01-31,3.240906835894796
2017-02-28,3.1663134819757146
2017-03-31,3.0840532446831683
2017-04-30,3.042413208586042
2017-05-31,3.008263609152936
2017-06-30,3.0125165306378574
2017-07-31,2.922488640661709
2017-08-31,2.949080836228883
2017-09-30,2.97950742136048
2017-10-31,2.966062689127776
2017-11-30,2.985671411158191
2017-12-31,3.0000048013015106
2018-01-31,3.0132803916353237
2018-02-28,3.0358327054617353
2018-03-31,3.0360222572363447
2018-04-30,3.0556855507722718
2018-05-31,2.986465348417686
2018-06-30,2.9479421066923677
2018-07-31,2.9860505621531455
2018-08-31,3.047412044664422
2018-09-30,3.0185506831026236
2018-10-31,3.0303353553782326
2018-11-30,3.051663342337376
2018-12-31,3.113728724348067
2019-01-31,3.302090748988514
2019-02-28,3.1456729086646726
2019-03-31,3.064264307605696
2019-04-30,3.142867807282458
2019-05-31,3.267672572053778
2019-06-30,3.3866645160886084
2019-07-31,3.459083172051023
2019-08-31,3.418826714232483
2019-09-30,3.4222075438341895
2019-10-31,3.4245908579160482
2019-11-30,3.4548623288717564
2019-12-31,3.4206733475940077
