date,open,high,low,close,volume
2020-01-02,107.0657,107.2657,106.4857,107.2657,1317580.0
2020-01-03,106.2057,107.1057,106.1757,106.7257,1235558.0
2020-01-06,106.1357,106.8457,106.1257,106.8057,1150942.0
2020-01-07,106.5757,106.8357,106.3757,106.4657,701410.0
2020-01-08,106.6057,107.5357,106.4757,107.0557,1964976.0
2020-01-09,107.6057,107.9557,107.4657,107.8657,994881.0
2020-01-10,108.1057,108.1357,107.2757,107.4357,1047984.0
2020-01-13,107.6157,108.2357,107.4857,108.2157,1500364.0
2020-01-14,108.1757,108.6657,108.0357,108.2957,1027832.0
2020-01-15,108.3857,109.1357,108.3257,108.9057,930099.0
2020-01-16,109.3257,109.9757,109.2357,109.9757,1096899.0
2020-01-17,110.2457,110.5657,110.0857,110.5157,1109882.0
2020-01-21,110.2757,110.7157,110.1557,110.5257,3507994.0
2020-01-22,110.8757,111.2457,110.6257,110.6757,2076667.0
2020-01-23,110.2657,110.6757,109.8257,110.6057,1080721.0
2020-01-24,110.7757,110.8057,109.3057,109.7157,1316901.0
2020-01-27,108.0357,109.0657,107.7957,108.4757,1261439.0
2020-01-28,108.9357,109.6557,108.6857,109.2457,882308.0
2020-01-29,109.6057,109.7057,108.9057,108.9557,1483540.0
2020-01-30,108.3957,109.7957,108.1557,109.7057,955776.0
2020-01-31,109.2057,109.2757,106.9257,107.2957,1427170.0
2020-02-03,107.8257,108.7657,107.8257,108.0857,1562758.0
2020-02-04,109.5357,110.2757,109.3457,109.8557,1711697.0
2020-02-05,110.9657,111.3457,110.3857,111.2757,2383186.0
2020-02-06,111.5057,111.6057,111.1757,111.3357,827948.0
2020-02-07,111.0457,111.1157,110.4257,110.5557,900620.0
2020-02-10,110.4057,111.2357,110.3357,111.2357,791479.0
2020-02-11,111.7257,111.8157,111.0757,111.2357,861267.0
2020-02-12,111.7857,112.0057,111.3157,111.9357,1242145.0
2020-02-13,111.4857,112.4757,111.3857,112.1557,1028368.0
2020-02-14,112.3157,112.6157,112.0257,112.6157,804183.0
2020-02-18,112.4357,112.5957,111.9257,112.2257,930990.0
2020-02-19,112.5657,112.8357,112.4157,112.4557,819428.0
2020-02-20,112.2757,112.6457,110.8957,112.0657,993619.0
2020-02-21,111.5857,111.7457,111.0557,111.3257,1045378.0
2020-02-24,107.9157,109.1557,107.5057,107.9357,2338319.0
2020-02-25,108.3757,108.4857,103.9957,104.3157,3585509.0
2020-02-26,104.9057,106.1357,103.3857,103.5057,2160415.0
2020-02-27,101.5957,103.0557,98.3857,98.3857,3714769.0
2020-02-28,94.9657,96.9957,93.5457,96.8357,5131178.0
2020-03-02,97.5157,102.1657,96.8157,102.0857,3332500.0
2020-03-03,102.2157,104.0757,98.1957,99.1357,2457984.0
2020-03-04,101.1357,104.3057,100.2857,104.1657,1885071.0
2020-03-05,101.3957,102.5657,99.4357,100.3857,1733945.0
2020-03-06,96.9257,99.8757,96.4557,99.4057,3722768.0
2020-03-09,91.9257,95.4257,91.1357,91.8957,4432739.0
2020-03-10,95.3657,96.7057,91.0157,96.6357,2991709.0
2020-03-11,93.5757,94.0157,89.6757,90.9357,3201239.0
2020-03-12,83.8557,88.0557,81.1257,81.3057,5471399.0
2020-03-13,86.4657,89.6757,81.0557,89.4857,4792206.0
2020-03-16,78.0057,84.8257,75.0557,78.0157,4590551.0
2020-03-17,79.9057,85.2257,77.6157,84.4657,6855044.0
2020-03-18,78.7957,82.8257,76.4257,80.8557,4377955.0
2020-03-19,79.8757,82.7557,77.4257,80.5057,4037183.0
2020-03-20,81.3657,81.5557,74.8457,75.1557,3745942.0
2020-03-23,73.9257,74.7257,69.6357,71.1657,6942910.0
2020-03-24,75.9257,79.3057,74.9457,79.1657,3489773.0
2020-03-25,79.8357,83.7357,77.4657,80.5657,4726304.0
2020-03-26,81.6997,86.9797,81.3997,86.4297,3799092.0
2020-03-27,83.1997,87.1397,83.0697,84.1197,2874491.0
2020-03-30,85.2197,87.9297,84.9497,87.7097,3112172.0
2020-03-31,87.2697,87.7397,85.4497,85.7897,2664403.0
2020-04-01,81.8697,83.4597,80.7997,81.7097,2868047.0
2020-04-02,81.0097,84.4697,80.9297,84.2997,2831603.0
2020-04-03,83.9597,84.6797,81.7697,82.9197,2129903.0
2020-04-06,86.6897,90.4197,86.3197,89.5697,3638322.0
2020-04-07,92.9697,93.2097,89.0397,89.1497,2635641.0
2020-04-08,90.2597,92.7997,89.0397,92.2897,2018393.0
2020-04-09,93.6297,94.9497,93.0197,93.7297,2581672.0
2020-04-13,93.1397,93.1397,90.7897,91.9797,2815027.0
2020-04-14,94.3197,95.7197,93.9097,95.4497,2405122.0
2020-04-15,93.3397,93.6697,92.2197,92.9597,1900669.0
2020-04-16,93.4497,93.9997,91.9697,93.6697,2399059.0
2020-04-17,96.2797,97.1597,95.1097,96.9397,1952476.0
2020-04-20,95.4797,96.3397,94.4797,94.5297,2191467.0
2020-04-21,92.6497,93.1897,91.2497,91.5197,1866688.0
2020-04-22,93.4897,94.4397,92.7197,93.7997,1310805.0
2020-04-23,94.2297,95.2497,93.2497,93.3197,1334530.0
2020-04-24,94.0897,94.9197,93.0597,94.7197,1537414.0
2020-04-27,95.4597,96.9097,95.3697,96.4297,1922653.0
2020-04-28,97.9597,98.1697,96.1997,96.3897,1315149.0
2020-04-29,98.1897,98.6797,97.0697,97.9497,1414895.0
2020-04-30,96.6997,96.8697,95.6497,95.9997,1739438.0
2020-05-01,94.4597,94.5597,93.2097,93.6197,1996448.0
2020-05-04,93.0097,93.7797,92.2797,93.6597,1860338.0
2020-05-05,94.6497,95.8197,94.4097,94.7097,1476730.0
2020-05-06,95.1797,95.3697,93.3897,93.5197,1284966.0
2020-05-07,94.7897,95.5997,94.4597,94.6397,1564247.0
2020-05-08,95.9597,96.4597,95.4197,96.2297,1245231.0
2020-05-11,95.4197,96.7497,95.1297,96.0997,1998902.0
2020-05-12,96.5397,96.6597,93.9597,93.9897,1152196.0
