date,open,close,high,low,volume,turnover,amount
2020-01-02,1.057,1.065,1.065,1.057,32685909.999999996,0.0,69265900.0
2020-01-03,1.067,1.076,1.079,1.065,37642598.0,0.0,80600400.0
2020-01-06,1.065,1.055,1.065,1.055,72132160.0,0.0,152549200.0
2020-01-07,1.06,1.059,1.062,1.058,71336657.0,0.0,151147100.0
2020-01-08,1.046,1.046,1.051,1.036,66562904.0,0.0,139372800.0
2020-01-09,1.058,1.059,1.06,1.057,92698720.0,0.0,196258800.0
2020-01-10,1.065,1.07,1.072,1.063,24271804.0,0.0,51780000.0
2020-01-13,1.063,1.067,1.069,1.062,62571318.99999999,0.0,133328600.0
2020-01-14,1.072,1.074,1.077,1.07,52409119.0,0.0,112492200.0
2020-01-15,1.072,1.071,1.072,1.065,50152400.0,0.0,107015900.0
2020-01-16,1.07,1.065,1.07,1.064,51118800.0,0.0,108975300.0
2020-01-17,1.072,1.068,1.074,1.068,54167600.0,0.0,115872800.0
2020-01-20,1.072,1.069,1.072,1.068,40457200.0,0.0,86615700.0
2020-01-21,1.069,1.069,1.07,1.068,77349000.0,0.0,165401400.0
2020-01-22,1.069,1.078,1.078,1.069,46801700.0,0.0,100640600.0
2020-01-23,1.072,1.074,1.077,1.07,85220580.0,0.0,183100500.0
2020-02-03,1.028,1.058,1.062,1.028,26009730.0,0.0,54962000.0
2020-02-04,1.065,1.065,1.067,1.058,26674000.0,0.0,56749200.0
2020-02-05,1.072,1.071,1.075,1.07,45840104.0,0.0,98262500.0
2020-02-06,1.085,1.09,1.091,1.084,50427300.0,0.0,109705300.0
2020-02-07,1.09,1.093,1.093,1.088,53605500.0,0.0,116818600.0
2020-02-10,1.088,1.095,1.095,1.086,29926955.0,0.0,65247100.0
2020-02-11,1.097,1.11,1.112,1.097,45738610.0,0.0,101232200.0
2020-02-12,1.113,1.129,1.13,1.111,33664400.0,0.0,75232900.0
2020-02-13,1.15,1.175,1.184,1.139,63950002.0,0.0,148562400.0
2020-02-14,1.165,1.124,1.165,1.12,62719500.0,0.0,143374800.0
2020-02-17,1.126,1.131,1.141,1.116,55627900.0,0.0,125729700.0
2020-02-18,1.127,1.115,1.128,1.114,38263660.0,0.0,85624100.0
2020-02-19,1.112,1.112,1.118,1.108,40754500.0,0.0,90804400.0
2020-02-20,1.12,1.119,1.123,1.113,65322300.0,0.0,145952600.0
2020-02-21,1.11,1.108,1.124,1.108,87355909.0,0.0,193989700.0
