date,open,close,high,low,volume,turnover,amount
2020-01-02,3.53,3.525,3.531,3.524,213038885.0,0.0,712731200.0
2020-01-03,3.547,3.583,3.586,3.547,105192104.0,0.0,355974500.0
2020-01-06,3.667,3.662,3.677,3.655,384373398.0,0.0,1336016900.0
2020-01-07,3.63,3.627,3.638,3.61,180099140.0,0.0,618599800.0
2020-01-08,3.711,3.697,3.725,3.674,355630420.0,0.0,1244782800.0
2020-01-09,3.602,3.564,3.611,3.552,199130296.0,0.0,679867600.0
2020-01-10,3.572,3.578,3.585,3.572,82291400.0,0.0,279281100.0
2020-01-13,3.584,3.576,3.593,3.572,307271484.0,0.0,1043720500.0
2020-01-14,3.521,3.53,3.531,3.519,205385032.0,0.0,686395900.0
2020-01-15,3.554,3.561,3.573,3.554,216078633.0,0.0,730528300.0
2020-01-16,3.57,3.563,3.58,3.56,191100061.0,0.0,646879700.0
2020-01-17,3.557,3.562,3.568,3.557,185869860.0,0.0,627552700.0
2020-01-20,3.564,3.566,3.568,3.561,364528556.0,0.0,1231816800.0
2020-01-21,3.584,3.598,3.605,3.584,311821558.0,0.0,1063293800.0
2020-01-22,3.576,3.567,3.58,3.558,136562559.0,0.0,462130700.0
2020-01-23,3.586,3.591,3.598,3.58,68635078.0,0.0,233421600.0
2020-02-03,3.676,3.685,3.693,3.674,91116003.0,0.0,318140000.0
2020-02-04,3.675,3.655,3.675,3.649,197025092.0,0.0,684890000.0
2020-02-05,3.619,3.629,3.638,3.613,160610740.0,0.0,552271700.0
2020-02-06,3.609,3.613,3.615,3.598,220490112.0,0.0,754079000.0
2020-02-07,3.641,3.629,3.643,3.622,106950440.99999999,0.0,368745500.0
2020-02-10,3.655,3.642,3.661,3.641,78431684.0,0.0,271317200.0
2020-02-11,3.64,3.632,3.644,3.631,79684700.0,0.0,274769300.0
2020-02-12,3.628,3.625,3.631,3.619,99994195.0,0.0,343952500.0
2020-02-13,3.639,3.653,3.656,3.637,67739300.0,0.0,234153800.0
2020-02-14,3.658,3.656,3.66,3.647,53406882.99999999,0.0,185063400.0
2020-02-17,3.673,3.667,3.677,3.664,123751300.0,0.0,430267600.0
2020-02-18,3.681,3.685,3.688,3.677,143103799.0,0.0,499566700.0
2020-02-19,3.731,3.728,3.735,3.718,333312140.0,0.0,1177711300.0
2020-02-20,3.737,3.74,3.76,3.736,188880361.0,0.0,671252000.0
2020-02-21,3.783,3.816,3.817,3.782,238110540.0,0.0,857748600.0
2020-02-24,3.929,3.899,3.932,3.88,231065413.0,0.0,852086200.0
2020-02-25,3.88,3.812,3.88,3.807,644088546.0,0.0,2355178000.0
2020-02-26,3.837,3.84,3.849,3.821,423017824.0,0.0,1537695500.0
2020-02-27,3.839,3.842,3.853,3.834,173118567.0,0.0,631121600.0
2020-02-28,3.822,3.791,3.832,3.778,138615808.0,0.0,501394500.0
2020-03-02,3.716,3.704,3.72,3.683,227727748.0,0.0,799159400.0
2020-03-03,3.7,3.698,3.707,3.689,198943169.0,0.0,697634200.0
2020-03-04,3.778,3.78,3.8,3.776,170834469.0,0.0,612865200.0
2020-03-05,3.772,3.777,3.777,3.766,185046701.0,0.0,661699500.0
2020-03-06,3.846,3.858,3.877,3.843,174900735.0,0.0,639108900.0
2020-03-09,3.89,3.831,3.9,3.804,260851906.0,0.0,956005300.0
2020-03-10,3.817,3.781,3.825,3.764,144814925.0,0.0,522701500.0
2020-03-11,3.79,3.817,3.818,3.79,164392077.0,0.0,592332600.0
2020-03-12,3.789,3.775,3.793,3.763,252669744.0,0.0,904174100.0
2020-03-13,3.634,3.664,3.684,3.59,159763485.0,0.0,550121800.0
2020-03-16,3.582,3.57,3.596,3.539,197524554.0,0.0,668930300.0
2020-03-17,3.465,3.405,3.477,3.405,283712639.0,0.0,924339700.0
2020-03-18,3.523,3.483,3.549,3.464,438846500.0,0.0,1465182400.0
2020-03-19,3.45,3.469,3.476,3.405,252911631.0,0.0,824527899.9999999
2020-03-20,3.469,3.502,3.514,3.462,301623400.0,0.0,993139800.0
2020-03-23,3.477,3.492,3.509,3.477,245932600.0,0.0,815555100.0
2020-03-24,3.703,3.686,3.718,3.653,207178090.0,0.0,723788400.0
2020-03-25,3.752,3.751,3.779,3.74,533020395.0,0.0,1900457600.0
2020-03-26,3.739,3.72,3.756,3.72,197871762.0,0.0,702126600.0
2020-03-27,3.774,3.777,3.789,3.765,92178064.0,0.0,329962600.0
2020-03-30,3.762,3.746,3.767,3.741,181229797.0,0.0,645389100.0
2020-03-31,3.748,3.752,3.756,3.746,88372700.0,0.0,314298600.0
2020-04-01,3.667,3.689,3.7,3.663,265185637.0,0.0,924665100.0
2020-04-02,3.69,3.709,3.713,3.686,184329375.0,0.0,645817600.0
2020-04-03,3.747,3.742,3.759,3.734,144754510.0,0.0,514284500.0
2020-04-07,3.863,3.846,3.865,3.841,203952100.0,0.0,745429000.0
2020-04-08,3.812,3.812,3.822,3.807,222282020.00000003,0.0,803904299.9999999
2020-04-09,3.811,3.82,3.82,3.81,175393761.0,0.0,633926200.0
2020-04-10,3.856,3.84,3.858,3.833,249706750.99999997,0.0,910892200.0
2020-04-13,3.841,3.839,3.848,3.824,231537156.99999997,0.0,841031600.0
2020-04-14,3.862,3.883,3.911,3.859,141860098.0,0.0,522696500.0
2020-04-15,3.887,3.871,3.9,3.869,284780380.0,0.0,1051015300.0
2020-04-16,3.871,3.902,3.915,3.87,165642594.0,0.0,609167200.0
2020-04-17,3.855,3.835,3.865,3.807,210204729.99999997,0.0,766898400.0
2020-04-20,3.797,3.821,3.83,3.797,221236200.0,0.0,800747200.0
2020-04-21,3.844,3.853,3.858,3.841,248813334.0,0.0,907874299.9999999
2020-04-22,3.857,3.847,3.859,3.833,218956597.00000003,0.0,799148600.0
2020-04-23,3.89,3.913,3.924,3.89,129504178.0,0.0,480617500.0
2020-04-24,3.914,3.947,3.948,3.912,111545400.0,0.0,415016200.0
2020-04-27,3.938,3.915,3.938,3.911,206791512.0,0.0,770471700.0
2020-04-28,3.889,3.885,3.894,3.865,218262129.99999997,0.0,802955500.0
2020-04-29,3.898,3.901,3.913,3.898,176501926.0,0.0,653625000.0
2020-04-30,3.897,3.919,3.923,3.893,92930700.0,0.0,343773399.99999994
2020-05-06,3.92,3.913,3.923,3.907,148299600.0,0.0,550606900.0
2020-05-07,3.902,3.896,3.913,3.895,322762884.0,0.0,1196073000.0
2020-05-08,3.952,3.945,3.957,3.942,162847348.0,0.0,609536800.0
2020-05-11,3.926,3.928,3.933,3.92,197619734.0,0.0,736066200.0
2020-05-12,3.915,3.921,3.927,3.913,131460900.0,0.0,488702100.0
2020-05-13,3.928,3.93,3.933,3.923,198755640.0,0.0,740109700.0
2020-05-14,3.949,3.955,3.955,3.945,209933554.99999997,0.0,786138400.0
2020-05-15,4.0,4.012,4.021,3.992,111525628.0,0.0,422901500.0
2020-05-18,4.082,4.11,4.124,4.081,174712511.0,0.0,679976300.0
2020-05-19,4.047,4.044,4.068,4.035,217483314.0,0.0,836633500.0
2020-05-20,4.089,4.088,4.098,4.082,263476193.00000003,0.0,1021250500.0
2020-05-21,4.074,4.055,4.077,4.048,148332168.0,0.0,571536400.0
2020-05-22,4.029,4.046,4.047,4.014,162301113.0,0.0,620264800.0
2020-05-25,4.034,4.035,4.049,4.028,262319199.00000003,0.0,1004395600.0
2020-05-26,4.051,4.058,4.069,4.051,123557881.0,0.0,475452800.0
2020-05-27,4.024,4.014,4.026,4.008,147920426.0,0.0,563621700.0
2020-05-28,4.029,4.045,4.051,4.025,135626650.0,0.0,519023000.0
2020-05-29,4.037,4.04,4.048,4.032,130202177.0,0.0,498835500.0
2020-06-01,4.064,4.074,4.087,4.062,240488216.0,0.0,928501300.0
2020-06-02,4.071,4.066,4.077,4.063,246021108.0,0.0,949520300.0
2020-06-03,4.031,4.03,4.045,4.027,213713056.0,0.0,818086200.0
2020-06-04,3.997,3.995,4.012,3.989,183993100.0,0.0,698304000.0
2020-06-05,4.023,3.996,4.029,3.992,141787487.0,0.0,538440400.0
2020-06-08,3.951,3.959,3.967,3.948,165163770.0,0.0,619127600.0
2020-06-09,3.972,3.955,3.972,3.952,253273774.00000003,0.0,951604000.0
2020-06-10,3.998,4.0,4.002,3.994,186083500.0,0.0,705295000.0
2020-06-11,4.024,4.035,4.035,4.02,255748691.0,0.0,976185300.0
2020-06-12,4.027,4.031,4.034,4.016,307358105.0,0.0,1172752600.0
2020-06-15,4.037,4.02,4.047,4.011,233152395.00000003,0.0,891341900.0
2020-06-16,4.019,4.016,4.031,4.008,373275261.0,0.0,1423214200.0000002
2020-06-17,4.021,4.021,4.027,4.016,344880359.0,0.0,1314566800.0
2020-06-18,4.024,4.014,4.025,4.011,289319560.0,0.0,1102531700.0
2020-06-19,4.015,4.023,4.028,4.015,560121981.0,0.0,2135299000.0
2020-06-22,4.071,4.067,4.084,4.065,276122762.0,0.0,1066364900.0
2020-06-23,4.077,4.059,4.079,4.056,317893523.0,0.0,1225712000.0
2020-06-24,4.097,4.089,4.097,4.085,341067002.0,0.0,1322357600.0
2020-06-29,4.095,4.089,4.1,4.088,300057608.0,0.0,1164464200.0
