,nav
2020-09-04,1.0
2020-09-07,0.9721660657343532
2020-09-08,0.9989579208436672
2020-09-09,0.9989996040099206
2020-09-10,0.9991038119255541
2020-09-11,0.9991142327171174
2020-09-14,0.9986036139305144
2020-09-15,0.9983951980992479
2020-09-16,0.9984264604739379
2020-09-17,0.9985202475980077
2020-09-18,0.9984994060148812
2020-09-21,0.9984994060148812
2020-09-22,0.9984889852233177
2020-09-23,0.9971447031116486
2020-09-24,0.998593193138951
2020-09-25,0.9982909901836146
2020-09-28,0.9982909901836146
2020-09-29,0.9983951980992478
2020-09-30,0.9986036139305143
2020-10-09,0.9990204455930474
2020-10-12,0.9989058168858509
2020-10-13,0.9987078218461477
2020-10-14,0.9990517079677375
2020-10-15,0.9990204455930475
2020-10-16,0.9992392822158773
2020-10-19,0.9986036139305144
2020-10-20,0.997665742689815
2020-10-21,0.9978741585210815
2020-10-22,0.9984785644317546
2020-10-23,0.9980929951439115
2020-10-26,0.9998853712928037
2020-10-27,0.9993330693399475
2020-10-28,0.999635272295284
2020-10-29,1.0000625247493804
2020-10-30,1.0031887622183786
2020-11-02,0.9982909901836149
2020-11-03,1.0011254454888396
2020-11-04,1.003397178049645
2020-11-05,1.0036055938809116
2020-11-06,1.0038348512953048
2020-11-09,1.0063476865532213
2020-11-10,0.9967963532069888
2020-11-11,0.999500838321334
2020-11-12,0.9950700023219923
2020-11-13,0.9923142689661294
2020-11-16,0.9994096296240067
2020-11-17,1.0002498234664545
2020-11-18,1.0039621704651165
2020-11-19,1.0060401382711148
2020-11-20,1.0071679798197761
2020-11-23,1.018483114690354
2020-11-24,1.018251985146923
2020-11-25,1.0147911612699834
2020-11-26,1.0205538371662026
2020-11-27,1.029750908923587
2020-11-30,1.0279467967863267
2020-12-01,1.0351027531411179
2020-12-02,1.0336742926844489
2020-12-03,1.0305071714093874
2020-12-04,1.0269580358496722
2020-12-07,1.020659073088683
2020-12-08,1.016952225182126
2020-12-09,1.0189018273439583
2020-12-10,1.0151380404838903
2020-12-11,1.0127962063677856
2020-12-14,1.0143563537957878
2020-12-15,1.0094452975054033
2020-12-16,1.0137273906450561
2020-12-17,1.0156165745689816
2020-12-18,1.0175782571537506
2020-12-21,1.0146548442894756
2020-12-22,1.0114096276005855
2020-12-23,1.0114400474633132
2020-12-24,1.0130916516908104
2020-12-25,1.0146663186606235
2020-12-28,1.018144274682132
2020-12-29,1.0206718423665702
2020-12-30,1.0174836631305995
2020-12-31,1.019668297546751
2021-01-04,1.0209542954194986
2021-01-05,1.0136851792956205
2021-01-06,1.0154248984868155
2021-01-07,1.0216994523855332
2021-01-08,1.0273378904021975
2021-01-11,1.022573557822442
2021-01-12,1.0286093597135835
2021-01-13,1.0307288126765746
2021-01-14,1.033024884705414
2021-01-15,1.031440358030185
2021-01-18,1.0323104072317297
2021-01-19,1.036404592072867
2021-01-20,1.0345794145219176
2021-01-21,1.0433623489304844
2021-01-22,1.0377770601901193
2021-01-25,1.038186855161514
2021-01-26,1.0333969023509166
2021-01-27,1.0362422915509129
2021-01-28,1.0251168779698518
2021-01-29,1.021919034109225
2021-02-01,1.0218605275792356
2021-02-02,1.0221134450940799
2021-02-03,1.0224612066769907
2021-02-04,1.0227562771109755
2021-02-05,1.0227562771109755
2021-02-08,1.0231109478069118
2021-02-09,1.0258792092437847
2021-02-10,1.0255392398510832
2021-02-18,1.0262828880634687
2021-02-19,1.0247568559864806
2021-02-22,1.0232565646168932
2021-02-23,1.023468873642771
2021-02-24,1.0202289064259615
2021-02-25,1.0277777075040577
2021-02-26,1.0152671289473179
2021-03-01,1.0190027140172613
2021-03-02,1.0260161424481236
2021-03-03,1.0256233458904014
2021-03-04,1.017179329074452
2021-03-05,1.0147191984809296
2021-03-08,1.014790056921188
2021-03-09,1.015255457191497
2021-03-10,1.0106662850018557
2021-03-11,1.0128622273966597
2021-03-12,1.0243282846229094
2021-03-15,1.0266072645884579
2021-03-16,1.028785775874148
2021-03-17,1.0232350873775935
2021-03-18,1.0248428360355841
2021-03-19,1.0210283136524037
2021-03-22,1.0263130398786247
2021-03-23,1.0252808138632745
2021-03-24,1.019118204492707
2021-03-25,1.0197020730097173
2021-03-26,1.0196235359772543
2021-03-29,1.0268654614364001
2021-03-30,1.0293883130205743
2021-03-31,1.0283758197525765
2021-04-01,1.0315703948774209
2021-04-02,1.0313332196341622
2021-04-06,1.0355450242190742
2021-04-07,1.0356618707408376
2021-04-08,1.0371032515863667
2021-04-09,1.038600454557687
2021-04-12,1.0390021334891029
2021-04-13,1.0340925219771406
2021-04-14,1.0404637855800631
2021-04-15,1.038830687796978
2021-04-16,1.045149309794193
2021-04-19,1.0475206824095422
2021-04-20,1.0402162566651045
2021-04-21,1.0413952779927347
2021-04-22,1.045756446874854
2021-04-23,1.0409954097497818
2021-04-26,1.043869610935727
2021-04-27,1.0467199210490084
2021-04-28,1.0441436833540416
2021-04-29,1.0460684603681234
2021-04-30,1.0442064400119058
2021-05-06,1.0470864444426484
2021-05-07,1.0543866798917028
2021-05-10,1.0568429563109887
2021-05-11,1.0496545619830449
2021-05-12,1.0472512303024444
2021-05-13,1.0367857958840212
2021-05-14,1.045448388183316
2021-05-17,1.052971692078819
2021-05-18,1.0565773020605527
2021-05-19,1.057649344653637
2021-05-20,1.0576065324574373
2021-05-21,1.058388659474349
2021-05-24,1.060771087259544
2021-05-25,1.0587301233984998
2021-05-26,1.0644741724133657
2021-05-27,1.0611222459053988
2021-05-28,1.0568111414587222
2021-05-31,1.0594146476358672
2021-06-01,1.0621566082192706
2021-06-02,1.0572622228223998
2021-06-03,1.0581832432430567
2021-06-04,1.051604026275662
2021-06-07,1.0459983165524953
2021-06-08,1.0477861236861683
2021-06-09,1.0512561885650458
2021-06-10,1.0496489698772618
2021-06-11,1.0511948302309602
2021-06-15,1.0373064242877783
2021-06-16,1.0377646465372297
2021-06-17,1.0256943663472404
2021-06-18,1.0147669138845956
2021-06-21,1.0083502807613103
2021-06-22,1.0177526299885358
2021-06-23,1.0224920659675933
2021-06-24,1.0211565624510737
2021-06-25,1.0228873362857367
2021-06-28,1.0221208373425446
2021-06-29,1.0164846332937427
2021-06-30,1.0192743910207849
2021-07-01,1.022103241131859
2021-07-02,1.0219279024138834
