,159816,513400,513110,513500,VIG,159934,515450,HK0005
2020-09-04,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-09-07,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-09-08,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-09-09,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-09-10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-09-11,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-09-14,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-09-15,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-09-16,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-09-17,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-09-18,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-09-21,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-09-22,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-09-23,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-09-24,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-09-25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-09-28,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-09-29,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-09-30,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-02,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-05,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-06,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-07,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-08,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-09,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-12,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-13,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-14,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-15,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-16,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-19,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-20,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-21,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-22,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-23,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-26,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-27,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-28,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-29,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-30,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-02,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-03,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-04,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-05,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-06,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-09,0.5003703738726814,0.0,0.12407783452952079,0.0,0.0,0.0,0.2577133119598556,0.11783847963794225
2020-11-10,0.5003703738726814,0.0,0.12407783452952079,0.0,0.0,0.0,0.2577133119598556,0.11783847963794225
2020-11-11,0.5003703738726814,0.0,0.12407783452952079,0.0,0.0,0.0,0.2577133119598556,0.11783847963794225
2020-11-12,0.5003703738726814,0.0,0.12407783452952079,0.0,0.0,0.0,0.2577133119598556,0.11783847963794225
2020-11-13,0.5003703738726814,0.0,0.12407783452952079,0.0,0.0,0.0,0.2577133119598556,0.11783847963794225
2020-11-16,0.5003703738726814,0.0,0.12407783452952079,0.0,0.0,0.0,0.2577133119598556,0.11783847963794225
2020-11-17,0.5003703738726814,0.0,0.12407783452952079,0.0,0.0,0.0,0.2577133119598556,0.11783847963794225
2020-11-18,0.5003703738726814,0.0,0.12407783452952079,0.0,0.0,0.0,0.2577133119598556,0.11783847963794225
2020-11-19,0.5003703738726814,0.0,0.12407783452952079,0.0,0.0,0.0,0.2577133119598556,0.11783847963794225
2020-11-20,0.5003703738726814,0.0,0.12407783452952079,0.0,0.0,0.0,0.2577133119598556,0.11783847963794225
2020-11-23,0.5003703738726814,0.0,0.12407783452952079,0.0,0.0,0.0,0.2577133119598556,0.11783847963794225
2020-11-24,0.5003703738726814,0.0,0.12407783452952079,0.0,0.0,0.0,0.2577133119598556,0.11783847963794225
2020-11-25,0.5003703738726814,0.0,0.12407783452952079,0.0,0.0,0.0,0.2577133119598556,0.11783847963794225
2020-11-26,0.5003703738726814,0.0,0.12407783452952079,0.0,0.0,0.0,0.2577133119598556,0.11783847963794225
2020-11-27,0.5003703738726814,0.0,0.12407783452952079,0.0,0.0,0.0,0.2577133119598556,0.11783847963794225
2020-11-30,0.35327320051412814,0.0,0.0,0.0,0.26403723141640306,0.0,0.28014527935891914,0.10254428871054959
2020-12-01,0.35327320051412814,0.0,0.0,0.0,0.26403723141640306,0.0,0.28014527935891914,0.10254428871054959
2020-12-02,0.35327320051412814,0.0,0.0,0.0,0.26403723141640306,0.0,0.28014527935891914,0.10254428871054959
2020-12-03,0.35327320051412814,0.0,0.0,0.0,0.26403723141640306,0.0,0.28014527935891914,0.10254428871054959
2020-12-04,0.35327320051412814,0.0,0.0,0.0,0.26403723141640306,0.0,0.28014527935891914,0.10254428871054959
2020-12-07,0.28167671925138527,0.0,0.3095159834867467,0.0,0.0,0.0,0.29381075849118765,0.11499653877068038
2020-12-08,0.28167671925138527,0.0,0.3095159834867467,0.0,0.0,0.0,0.29381075849118765,0.11499653877068038
2020-12-09,0.28167671925138527,0.0,0.3095159834867467,0.0,0.0,0.0,0.29381075849118765,0.11499653877068038
2020-12-10,0.28167671925138527,0.0,0.3095159834867467,0.0,0.0,0.0,0.29381075849118765,0.11499653877068038
