,cost
2010-01-31,0.0
2010-02-28,0.0019999999999999775
2010-03-31,0.0032934472934472627
2010-04-30,0.0031764705882352594
2010-05-31,0.003250688705234129
2010-06-30,0.002844305997407775
2010-07-31,0.003160427807486582
2010-08-31,0.0035092348284959988
2010-09-30,0.003025906735751264
2010-10-31,0.0030745501285346886
2010-11-30,0.0032442159383032874
2010-12-31,0.003427860696517398
2011-01-31,0.0032518337408312934
2011-02-28,0.0016898285449490377
2011-03-31,0.001714964370546345
2011-04-30,0.0015831381733021133
2011-05-31,0.0014814814814814756
2011-06-30,0.0015423340961098415
2011-07-31,0.0016162528216704154
2011-08-31,0.001901565995525715
2011-09-30,0.0016681415929203562
2011-10-31,0.0018245614035087788
2011-11-30,0.001986899563318749
2011-12-31,0.0017229437229437452
2012-01-31,0.001721030042918453
2012-02-29,0.0018333333333333125
2012-03-31,0.002408510638297871
2012-04-30,0.0013487394957983284
2012-05-31,0.0019144399507341771
2012-06-30,0.0014688796680497802
2012-07-31,0.0014743326488706348
2012-08-31,0.0015918367346938632
2012-09-30,0.001728194726166332
2012-10-31,0.0014516129032257914
2012-11-30,0.0015388865450769148
2012-12-31,0.0013521126760563343
2013-01-31,0.0022253521126760338
2013-02-28,0.0013521126760563302
2013-03-31,0.0015935613682092366
2013-04-30,0.001251509054325951
2013-05-31,0.0014527162977867054
2013-06-30,0.0018350100603621421
2013-07-31,0.0010704225352112697
2013-08-31,0.0013762575452716177
2013-09-30,0.0015452716297786543
2013-10-31,0.0012032193158953688
2013-11-30,0.0011991951710261534
2013-12-31,0.001311871227364176
2014-01-31,0.001331991951710252
2014-02-28,0.00121343873517786
2014-03-31,0.0011818181818181758
2014-04-30,0.0012544378698224746
2014-05-31,0.0011834319526627271
2014-06-30,0.0014990138067061212
2014-07-31,0.001330708661417333
2014-08-31,0.001711706922454638
2014-09-30,0.0015812133072407007
2014-10-31,0.0018306520733307207
2014-11-30,0.001235242079378653
2014-12-31,0.0014826254826254962
2015-01-31,0.0015287356321839313
2015-02-28,0.0015370018975332089
2015-03-31,0.001168809295384308
2015-04-30,0.0019664179104477908
2015-05-31,0.0015608856088560811
2015-06-30,0.0017495462794918112
2015-07-31,0.0015285714285714015
2015-08-31,0.0015828877005347524
2015-09-30,0.0016862745098039109
2015-10-31,0.0017290552584670155
2015-11-30,0.0016541889483065839
2015-12-31,0.0012727272727272732
2016-01-31,0.0015238095238095035
2016-02-29,0.0014426807760140826
2016-03-31,0.001417980643085217
2016-04-30,0.0018461538461538272
2016-05-31,0.0016376306620209317
2016-06-30,0.0020190400539187576
2016-07-31,0.0013851468048359241
2016-08-31,0.0014103448275861936
2016-09-30,0.0013241379310344613
2016-10-31,0.001124137931034467
2016-11-30,0.0017206896551723802
2016-12-31,0.0015137931034482478
2017-01-31,0.0015017182130583843
2017-02-28,0.0014212218649517628
2017-03-31,0.0011936507936507932
2017-04-30,0.002256651017214388
2017-05-31,0.0014240639625584868
2017-06-30,0.0015403086117141403
2017-07-31,0.0020060422960725055
2017-08-31,0.001685628742514984
2017-09-30,0.0020479041916167486
2017-10-31,0.0017067448680351742
2017-11-30,0.001726744186046515
2017-12-31,0.0018014388489208208
2018-01-31,0.0018428571428571097
2018-02-28,0.0018662873399714988
2018-03-31,0.001886524822695008
2018-04-30,0.002124469589816066
2018-05-31,0.0014781382228490807
2018-06-30,0.0015499296765119556
2018-07-31,0.0015355358746867965
2018-08-31,0.0017703081232492946
2018-09-30,0.001532867132867133
2018-10-31,0.0017322175732217338
2018-11-30,0.0014679665738161665
2018-12-31,0.001880555555555531
2019-01-31,0.0013703190013869564
2019-02-28,0.0014691621747265425
2019-03-31,0.002651034482758645
2019-04-30,0.0012947458318847845
2019-05-31,0.001192532461431482
2019-06-30,0.0014480874316939725
2019-07-31,0.0013460490463215126
2019-08-31,0.0013109078938274435
2019-09-30,0.001297647398426798
2019-10-31,0.0012503346720214201
2019-11-30,0.0012556894243641343
2019-12-31,0.0013092369477911766
