,NAV
2010-01-31,1.0
2010-02-28,0.9952180191705202
2010-03-31,0.996701805071714
2010-04-30,1.015003699500029
2010-05-31,0.983280255921984
2010-06-30,0.9854381698574365
2010-07-31,1.039365610178645
2010-08-31,1.0151505023801282
2010-09-30,1.0082625495069628
2010-10-31,1.0274597068968851
2010-11-30,1.063636239249582
2010-12-31,1.0621070244594197
2011-01-31,1.0858948950289458
2011-02-28,1.064668635899731
2011-03-31,1.0760896440083296
2011-04-30,1.0779061734921354
2011-05-31,1.077851909177752
2011-06-30,1.0758606638076138
2011-07-31,1.101628499769562
2011-08-31,1.1228198593542704
2011-09-30,1.1759870043106988
2011-10-31,1.1782200718671831
2011-11-30,1.1957882520603402
2011-12-31,1.2232807390705145
2012-01-31,1.2588213419493748
2012-02-29,1.2667180702913292
2012-03-31,1.3052700243774509
2012-04-30,1.3140367482669675
2012-05-31,1.308283629982864
2012-06-30,1.3291490831000239
2012-07-31,1.3425310512324742
2012-08-31,1.3687477266480372
2012-09-30,1.3781522267370991
2012-10-31,1.4108499101357355
2012-11-30,1.4408272223057323
2012-12-31,1.4228797175660264
2013-01-31,1.4427892852701782
2013-02-28,1.4887199400234399
2013-03-31,1.5162470391193046
2013-04-30,1.5057248009526791
2013-05-31,1.4872946943153253
2013-06-30,1.487877790545866
2013-07-31,1.491006049090752
2013-08-31,1.5518553066889227
2013-09-30,1.545270763826313
2013-10-31,1.6111883731541603
2013-11-30,1.5914304071526013
2013-12-31,1.6298493637943465
2014-01-31,1.5485707364880335
2014-02-28,1.5677757644207464
2014-03-31,1.6694868377219436
2014-04-30,1.6831236329159716
2014-05-31,1.676206181960318
2014-06-30,1.640271346798998
2014-07-31,1.7292776569221193
2014-08-31,1.7822973366369725
2014-09-30,1.7848234281988995
2014-10-31,1.8179193068692925
2014-11-30,1.7841777969464756
2014-12-31,1.872057528600945
2015-01-31,1.8856015135979938
2015-02-28,1.7976306339873822
2015-03-31,1.7284380291102186
2015-04-30,1.6444351395187136
2015-05-31,1.2597476015619407
2015-06-30,1.5057243605115167
2015-07-31,1.4900255501169322
2015-08-31,1.6036864080645237
2015-09-30,1.6559270086734084
2015-10-31,1.609072167877266
2015-11-30,1.5437744239914963
2015-12-31,1.6575044629502493
2016-01-31,1.677815365439414
2016-02-29,1.6958241265011966
2016-03-31,1.7220122925262276
2016-04-30,1.7797485165380507
2016-05-31,1.7629873134036649
2016-06-30,1.6596378243915992
2016-07-31,1.7420283475998601
2016-08-31,1.744984727845869
2016-09-30,1.7674792185620711
2016-10-31,1.7710283712926354
2016-11-30,1.7955634700436411
2016-12-31,1.8560317534567452
2017-01-31,1.890349434297487
2017-02-28,1.8190766046949962
2017-03-31,1.7932769468501257
2017-04-30,1.7984079855921142
2017-05-31,1.7976270797504963
2017-06-30,1.811085135529491
2017-07-31,1.778168808745857
2017-08-31,1.7864720207467841
2017-09-30,1.7958764967937724
2017-10-31,1.8082993865584618
2017-11-30,1.822874002200496
2017-12-31,1.8253445325977704
2018-01-31,1.8175849961449357
2018-02-28,1.8329086034392397
2018-03-31,1.8745744508509914
2018-04-30,1.8840693514404154
2018-05-31,1.8397380840574493
2018-06-30,1.8104073389925417
2018-07-31,1.8566573643248603
2018-08-31,1.8784784373181946
2018-09-30,1.9064936018243028
2018-10-31,1.9035602108349714
2018-11-30,1.9638811710254034
2018-12-31,1.9901370123098343
2019-01-31,2.0501482454422573
2019-02-28,2.025571427401413
2019-03-31,1.9934724146886242
2019-04-30,2.0507832688372174
2019-05-31,2.124640802349754
2019-06-30,2.1930744272593916
2019-07-31,2.242596007775134
2019-08-31,2.2257790662178785
2019-09-30,2.2252231256286037
2019-10-31,2.2178832599640566
2019-11-30,2.2477446600229296
2019-12-31,2.225158743656585
