,cost
2010-01-31,0.0
2010-02-28,0.0009999999999999998
2010-03-31,0.0016382978723404255
2010-04-30,0.0016210526315789471
2010-05-31,0.0016874999999999995
2010-06-30,0.0013673469387755102
2010-07-31,0.001595959595959596
2010-08-31,0.0016969696969696972
2010-09-30,0.0014851485148514856
2010-10-31,0.0014509803921568633
2010-11-30,0.0017647058823529423
2010-12-31,0.0018076923076923083
2011-01-31,0.0015809523809523815
2011-02-28,0.0016792452830188683
2011-03-31,0.0017735849056603776
2011-04-30,0.0016448598130841124
2011-05-31,0.0015514018691588783
2011-06-30,0.0015925925925925925
2011-07-31,0.0016111111111111111
2011-08-31,0.001759259259259259
2011-09-30,0.0014495412844036698
2011-10-31,0.0015090909090909094
2011-11-30,0.0016181818181818185
2011-12-31,0.0016181818181818183
2012-01-31,0.0016036036036036036
2012-02-29,0.0016756756756756755
2012-03-31,0.0015357142857142859
2012-04-30,0.0015357142857142865
2012-05-31,0.001699115044247788
2012-06-30,0.0016460176991150441
2012-07-31,0.001486725663716814
2012-08-31,0.0015044247787610618
2012-09-30,0.0013451327433628318
2012-10-31,0.0013097345132743361
2012-11-30,0.0013333333333333333
2012-12-31,0.0010701754385964912
2013-01-31,0.0014035087719298245
2013-02-28,0.0011578947368421054
2013-03-31,0.0012105263157894737
2013-04-30,0.0011228070175438596
2013-05-31,0.0011578947368421052
2013-06-30,0.0011929824561403507
2013-07-31,0.0012631578947368421
2013-08-31,0.0008771929824561403
2013-09-30,0.0011578947368421052
2013-10-31,0.0009649122807017543
2013-11-30,0.0010350877192982458
2013-12-31,0.0009824561403508772
2014-01-31,0.001087719298245614
2014-02-28,0.0010608695652173912
2014-03-31,0.0009391304347826086
2014-04-30,0.001078260869565217
2014-05-31,0.0009043478260869564
2014-06-30,0.0009739130434782607
2014-07-31,0.0010956521739130432
2014-08-31,0.001426086956521739
2014-09-30,0.00128695652173913
2014-10-31,0.0013391304347826086
2014-11-30,0.0011652173913043477
2014-12-31,0.0013565217391304344
2015-01-31,0.0010344827586206895
2015-02-28,0.0010256410256410256
2015-03-31,0.0007863247863247867
2015-04-30,0.0009491525423728819
2015-05-31,0.0007627118644067795
2015-06-30,0.0009491525423728812
2015-07-31,0.0009579831932773106
2015-08-31,0.0010756302521008408
2015-09-30,0.0011428571428571432
2015-10-31,0.0010084033613445382
2015-11-30,0.0009579831932773112
2015-12-31,0.0008907563025210088
2016-01-31,0.0009243697478991601
2016-02-29,0.0008739495798319332
2016-03-31,0.0008739495798319332
2016-04-30,0.0009915966386554625
2016-05-31,0.0010084033613445382
2016-06-30,0.0010420168067226893
2016-07-31,0.001016666666666667
2016-08-31,0.0009333333333333333
2016-09-30,0.0010166666666666668
2016-10-31,0.0007666666666666667
2016-11-30,0.0009833333333333335
2016-12-31,0.0007333333333333336
2017-01-31,0.0007666666666666668
2017-02-28,0.0008780487804878051
2017-03-31,0.0008292682926829267
2017-04-30,0.001032258064516129
2017-05-31,0.0007741935483870971
2017-06-30,0.0005967741935483874
2017-07-31,0.0005967741935483874
2017-08-31,0.0007741935483870972
2017-09-30,0.0005483870967741937
2017-10-31,0.0005967741935483874
2017-11-30,0.00045161290322580665
2017-12-31,0.0005161290322580648
2018-01-31,0.00048000000000000066
2018-02-28,0.0006031746031746028
2018-03-31,0.0004603174603174605
2018-04-30,0.0004920634920634921
2018-05-31,0.0003968253968253971
2018-06-30,0.0004032258064516131
2018-07-31,0.00029032258064516143
2018-08-31,0.0005161290322580648
2018-09-30,0.0003225806451612905
2018-10-31,0.00040322580645161307
2018-11-30,0.000370967741935484
2018-12-31,0.0004960000000000006
2019-01-31,0.00030158730158730106
2019-02-28,0.0005714285714285716
2019-03-31,0.0009375000000000003
2019-04-30,0.00034375000000000014
2019-05-31,0.0007812500000000002
2019-06-30,0.001046875
2019-07-31,0.0009922480620155039
2019-08-31,0.000682170542635659
2019-09-30,0.0005116279069767442
2019-10-31,0.00046511627906976747
2019-11-30,0.0005426356589147286
2019-12-31,0.0004031007751937985
