,NAV
2010-01-31,1.0
2010-02-28,1.0456530490537634
2010-03-31,1.0632867860927182
2010-04-30,1.0120060582775514
2010-05-31,0.9144432836722836
2010-06-30,0.8323485910901759
2010-07-31,0.9554794994390948
2010-08-31,1.011216064872557
2010-09-30,1.0411736372909663
2010-10-31,1.192205434048814
2010-11-30,1.219263634524328
2010-12-31,1.211310090277687
2011-01-31,1.171051598848229
2011-02-28,1.2880177551181742
2011-03-31,1.2554183428558254
2011-04-30,1.2168487507524501
2011-05-31,1.122135472621855
2011-06-30,1.1716076268064712
2011-07-31,1.1989731087336581
2011-08-31,1.128555485679432
2011-09-30,1.0041183050603883
2011-10-31,1.0578481762709067
2011-11-30,1.0053176258042047
2011-12-31,0.893703441839101
2012-01-31,0.9235840633316694
2012-02-29,1.0279493042175554
2012-03-31,0.9631535833315382
2012-04-30,1.0647660997190107
2012-05-31,1.0971079645953503
2012-06-30,1.0363144434970137
2012-07-31,0.9597357077523383
2012-08-31,0.9642391281614779
2012-09-30,0.9870280030750938
2012-10-31,1.0450703155028895
2012-11-30,0.9469464445293522
2012-12-31,1.1056663111147305
2013-01-31,1.1635649833605335
2013-02-28,1.2137102715810149
2013-03-31,1.161861327614158
2013-04-30,1.1456358841222634
2013-05-31,1.2836197371925566
2013-06-30,1.1339241431837295
2013-07-31,1.1973667602457894
2013-08-31,1.3135838495814565
2013-09-30,1.380113924041916
2013-10-31,1.3813059608223632
2013-11-30,1.4550577705938323
2013-12-31,1.392763231236553
2014-01-31,1.35188632834518
2014-02-28,1.3700537181646784
2014-03-31,1.3661938817766837
2014-04-30,1.3424062293899597
2014-05-31,1.3637911105135707
2014-06-30,1.3857649272094625
2014-07-31,1.5462289575187598
2014-08-31,1.6193279347325886
2014-09-30,1.7507050306201515
2014-10-31,1.798765451525739
2014-11-30,1.981106784522378
2014-12-31,2.1874070520565874
2015-01-31,2.3405182700264113
2015-02-28,2.4904292844630107
2015-03-31,2.9249967975428284
2015-04-30,3.4536377044196453
2015-05-31,4.120112454480796
2015-06-30,3.9345169345334643
2015-07-31,3.3756034223692564
2015-08-31,3.0023011849962664
2015-09-30,2.883108139447636
2015-10-31,3.2917325883145003
2015-11-30,3.4286217089720616
2015-12-31,3.6114007440977365
2016-01-31,2.7095807465530424
2016-02-29,2.641431916959462
2016-03-31,3.0131680967403667
2016-04-30,2.963636447921468
2016-05-31,2.932237728793011
2016-06-30,2.944896351421369
2016-07-31,3.0509011017485204
2016-08-31,3.162337893553061
2016-09-30,3.1057686640508027
2016-10-31,3.203868708056539
2016-11-30,3.3107597628393313
2016-12-31,3.180531353346807
2017-01-31,3.2098860990127904
2017-02-28,3.337168399516956
2017-03-31,3.313668814308851
2017-04-30,3.2456103384437327
2017-05-31,3.081923139267599
2017-06-30,3.197128848410701
2017-07-31,3.2869646508247454
2017-08-31,3.3843321459727846
2017-09-30,3.4102998547178354
2017-10-31,3.3549808767651417
2017-11-30,3.3692431862949963
2017-12-31,3.3121623695325098
2018-01-31,3.31567591362638
2018-02-28,3.17164862227056
2018-03-31,3.167794611243681
2018-04-30,3.072773379170167
2018-05-31,2.988715945429906
2018-06-30,2.698891996297399
2018-07-31,2.71566878212527
2018-08-31,2.595384450136577
2018-09-30,2.6458501035405897
2018-10-31,2.4935022758464727
2018-11-30,2.543607803696555
2018-12-31,2.459865899160198
2019-01-31,2.4807999257810964
2019-02-28,2.9011074746504844
2019-03-31,3.089801482828347
2019-04-30,3.0298054074864527
2019-05-31,2.8773877818711906
2019-06-30,2.989953120444673
2019-07-31,2.982538992540674
2019-08-31,2.9114485518575095
2019-09-30,2.9169611263944275
2019-10-31,2.8889392291675597
2019-11-30,2.879809279227294
2019-12-31,3.0695349522793243
