,cost
2010-01-31,0.0
2010-02-28,0.0019999999999999775
2010-03-31,0.0032934472934472627
2010-04-30,0.0031764705882352594
2010-05-31,0.003250688705234129
2010-06-30,0.002844305997407775
2010-07-31,0.003160427807486582
2010-08-31,0.0035092348284959988
2010-09-30,0.003025906735751264
2010-10-31,0.0030745501285346886
2010-11-30,0.0032442159383032874
2010-12-31,0.003427860696517398
2011-01-31,0.0032518337408312934
2011-02-28,0.003403220574606112
2011-03-31,0.0034726840855106625
2011-04-30,0.003264637002341839
2011-05-31,0.0030046296296296162
2011-06-30,0.0031121281464531426
2011-07-31,0.0034311512415350397
2011-08-31,0.003297539149888214
2011-09-30,0.003061946902654903
2011-10-31,0.0033508771929824945
2011-11-30,0.003266375545851528
2011-12-31,0.003233766233766194
2012-01-31,0.003343347639485006
2012-02-29,0.0020128205128204894
2012-03-31,0.002668085106382981
2012-04-30,0.001873949579831949
2012-05-31,0.0024117539154968853
2012-06-30,0.002132780082987536
2012-07-31,0.0022505133470225812
2012-08-31,0.0022171963867514102
2012-09-30,0.002283975659229221
2012-10-31,0.002181451612903222
2012-11-30,0.0023123012267151142
2012-12-31,0.0020281690140844825
2013-01-31,0.0026639839034205224
2013-02-28,0.0021086519114687867
2013-03-31,0.0022414486921528962
2013-04-30,0.002008048289738393
2013-05-31,0.002285714285714266
2013-06-30,0.002647887323943657
2013-07-31,0.0020482897384305485
2013-08-31,0.0021851106639838784
2013-09-30,0.0025191146881287565
2013-10-31,0.0022937625754526963
2013-11-30,0.002358148893360143
2013-12-31,0.002422535211267592
2014-01-31,0.002418511066398378
2014-02-28,0.002355731225296425
2014-03-31,0.002280632411067209
2014-04-30,0.002477317554240626
2014-05-31,0.002181459566074942
2014-06-30,0.0021775147928994
2014-07-31,0.0021259842519685004
2014-08-31,0.0027558457567702904
2014-09-30,0.0024970645792563415
2014-10-31,0.0023602597067679644
2014-11-30,0.001924489826518536
2014-12-31,0.0022200772200772338
2015-01-31,0.0021877394636015657
2015-02-28,0.0021442125237191778
2015-03-31,0.0015646448495185556
2015-04-30,0.002182835820895553
2015-05-31,0.0017712177121771186
2015-06-30,0.0018911070780399054
2015-07-31,0.0018035714285713903
2015-08-31,0.0017896613190730762
2015-09-30,0.0017825311942958899
2015-10-31,0.001850267379679138
2015-11-30,0.0019108734402851868
2015-12-31,0.001490196078431365
2016-01-31,0.0016860670194003325
2016-02-29,0.0016684303350969674
2016-03-31,0.0014988551696824102
2016-04-30,0.002038461538461521
2016-05-31,0.0019268292682927059
2016-06-30,0.0022411238686693667
2016-07-31,0.001633851468048363
2016-08-31,0.0016482758620689451
2016-09-30,0.0015344827586206617
2016-10-31,0.001365517241379288
2016-11-30,0.0018793103448275484
2016-12-31,0.0017689655172413435
2017-01-31,0.0016357388316150835
2017-02-28,0.001974276527331193
2017-03-31,0.0012603174603174638
2017-04-30,0.0023474178403755756
2017-05-31,0.001561471333853337
2017-06-30,0.0015128090202394834
2017-07-31,0.0018338368580060392
2017-08-31,0.0015628742514970139
2017-09-30,0.0018562874251496846
2017-10-31,0.001583577712609955
2017-11-30,0.0014680232558139513
2017-12-31,0.0015539568345323482
2018-01-31,0.0014971428571428416
2018-02-28,0.001422475106685598
2018-03-31,0.00150638297872338
2018-04-30,0.0018132956152757697
2018-05-31,0.0011086036671368344
2018-06-30,0.0011758087201125338
2018-07-31,0.0011088453598499855
2018-08-31,0.0013109243697479076
2018-09-30,0.0009706293706293779
2018-10-31,0.0010209205020920576
2018-11-30,0.0007966573816155882
2018-12-31,0.001277777777777757
2019-01-31,0.0007461858529819638
2019-02-28,0.0008870682070531507
2019-03-31,0.0024027586206896863
2019-04-30,0.0010996001934791594
2019-05-31,0.0009348065467801528
2019-06-30,0.0013360655737704784
2019-07-31,0.0013106267029972603
2019-08-31,0.0012866454961787488
2019-09-30,0.0012223930143609792
2019-10-31,0.0011405622489959787
2019-11-30,0.0011298527443105854
2019-12-31,0.001175368139223571
