,NAV
2010-01-31,1.0
2010-02-28,0.9952180191705202
2010-03-31,0.996701805071714
2010-04-30,1.015003699500029
2010-05-31,0.983280255921984
2010-06-30,0.9854381698574365
2010-07-31,1.039365610178645
2010-08-31,1.0151505023801282
2010-09-30,1.0082625495069628
2010-10-31,1.0274597068968851
2010-11-30,1.063636239249582
2010-12-31,1.0621070244594197
2011-01-31,1.0858948950289458
2011-02-28,1.1231404660017568
2011-03-31,1.1243427847199492
2011-04-30,1.098403419829323
2011-05-31,1.0911079613787824
2011-06-30,1.1306047752894546
2011-07-31,1.1606253124037245
2011-08-31,1.1475561419487768
2011-09-30,1.1709590889396695
2011-10-31,1.1980244375984275
2011-11-30,1.2148934513483571
2011-12-31,1.2176127054098713
2012-01-31,1.2514140828519764
2012-02-29,1.2777841078637127
2012-03-31,1.3267532664662236
2012-04-30,1.3483170088825636
2012-05-31,1.3475862701907013
2012-06-30,1.3672387201710716
2012-07-31,1.365209751773633
2012-08-31,1.4148397982474494
2012-09-30,1.4313668698062694
2012-10-31,1.472850463402928
2012-11-30,1.4756918772493646
2012-12-31,1.4846107718484187
2013-01-31,1.5093115035372742
2013-02-28,1.5570507048227396
2013-03-31,1.5820524180152034
2013-04-30,1.5777905117504885
2013-05-31,1.585867405943851
2013-06-30,1.5877110452917556
2013-07-31,1.6188088947790757
2013-08-31,1.6946318604232165
2013-09-30,1.709980665219842
2013-10-31,1.766885998029783
2013-11-30,1.7798878710402917
2013-12-31,1.8059938617719795
2014-01-31,1.722318669897319
2014-02-28,1.7427362927029109
2014-03-31,1.840784694336859
2014-04-30,1.8356820525177977
2014-05-31,1.836692042775067
2014-06-30,1.811932061309317
2014-07-31,1.9149411158326337
2014-08-31,1.9728335611219407
2014-09-30,1.9530091203677047
2014-10-31,1.9746904386995916
2014-11-30,1.9295225466158996
2014-12-31,1.9699059984144487
2015-01-31,2.008374847572936
2015-02-28,1.9123184869515075
2015-03-31,1.8299206000200925
2015-04-30,1.7393967098815442
2015-05-31,1.350099779312658
2015-06-30,1.6101336224341352
2015-07-31,1.5867161416037507
2015-08-31,1.6893742800068865
2015-09-30,1.7455776163604313
2015-10-31,1.715518158250899
2015-11-30,1.6576320755641532
2015-12-31,1.78597323523132
2016-01-31,1.791376467282897
2016-02-29,1.816406910159907
2016-03-31,1.874971152006682
2016-04-30,1.9390183025812113
2016-05-31,1.9264377880078607
2016-06-30,1.8220650108904863
2016-07-31,1.897736875613949
2016-08-31,1.9150636054052415
2016-09-30,1.93791233807276
2016-10-31,1.947552756157271
2016-11-30,1.976543441467443
2016-12-31,2.035200993727965
2017-01-31,2.0673619809027874
2017-02-28,1.9806203251667887
2017-03-31,1.9432538856739443
2017-04-30,1.936418647926951
2017-05-31,1.9271889561953368
2017-06-30,1.9381926487643986
2017-07-31,1.9131902859141403
2017-08-31,1.9169452654165073
2017-09-30,1.9324515985801123
2017-10-31,1.9374924395446824
2017-11-30,1.9508716602284661
2017-12-31,1.954203155824415
2018-01-31,1.943694591876106
2018-02-28,1.9575798559612407
2018-03-31,1.98831156885103
2018-04-30,1.9976517333780905
2018-05-31,1.9547355366197032
2018-06-30,1.9200069744476604
2018-07-31,1.9641490663694239
2018-08-31,2.008770610262265
2018-09-30,2.0120238436627482
2018-10-31,2.0159125915607667
2018-11-30,2.046000523471668
2018-12-31,2.070620393243474
2019-01-31,2.1478266643718618
2019-02-28,2.0651438786021634
2019-03-31,2.020413336832916
2019-04-30,2.0795127059032414
2019-05-31,2.1547561260112054
2019-06-30,2.226023027509495
2019-07-31,2.279733543524889
2019-08-31,2.257567869377816
2019-09-30,2.251533183551428
2019-10-31,2.2490068083464845
2019-11-30,2.271610240216374
2019-12-31,2.2469278653406795
