date,atm_iv
2025-05-30,0.1689
2025-06-03,0.1865
2025-06-04,0.1689
2025-06-05,0.1867
2025-06-06,0.183
2025-06-09,0.1767
2025-06-10,0.1637
2025-06-11,0.1582
2025-06-12,0.1637
2025-06-13,0.2394
2025-06-16,0.1913
2025-06-17,0.2483
2025-06-18,0.2443
2025-06-19,0.3023
2025-06-20,0.2872
2025-06-23,0.3435
2025-06-24,0.2012999999999999
2025-06-25,0.1796
2025-06-26,0.2019
2025-06-27,0.1853999999999999
2025-06-30,0.1871999999999999
2025-07-01,0.1766
2025-07-02,0.1755999999999999
2025-07-03,0.1821
2025-07-04,0.179
2025-07-07,0.1704
2025-07-08,0.1783
2025-07-09,0.1689
2025-07-10,0.1729
2025-07-11,0.1671
2025-07-14,0.1732999999999999
2025-07-15,0.1682999999999999
2025-07-16,0.1766
2025-07-17,0.1634
2025-07-18,0.1586
2025-07-21,0.1776
2025-07-22,0.1791
2025-07-23,0.1864
2025-07-24,0.2012999999999999
2025-07-25,0.2146
2025-07-28,0.2522
2025-07-29,0.2094
2025-07-30,0.2079
2025-07-31,0.2079
2025-08-01,0.2079
2025-08-04,0.2079
2025-08-05,0.1661
2025-08-06,0.2079
2025-08-07,0.2079
2025-08-08,0.2079
2025-08-11,0.1694999999999999
2025-08-12,0.1559
2025-08-13,0.1641
2025-08-14,0.1552
2025-08-15,0.1672
2025-08-18,0.1651
2025-08-19,0.1705
2025-08-20,0.1651
2025-08-21,0.1605
2025-08-22,0.1568999999999999
2025-08-25,0.1679
2025-08-26,0.1519
2025-08-27,0.1714999999999999
2025-08-28,0.1619
2025-08-29,0.1595
2025-09-01,0.14
2025-09-02,0.1621999999999999
2025-09-03,0.1656
2025-09-04,0.1664
2025-09-05,0.1651
2025-09-08,0.1682
2025-09-09,0.1492
2025-09-10,0.1618
2025-09-11,0.1525999999999999
2025-09-12,0.1585
2025-09-15,0.1531
2025-09-16,0.1566
2025-09-17,0.1613
2025-09-18,0.1585
2025-09-19,0.1585
2025-09-22,0.1522
2025-09-23,0.1657
2025-09-24,0.1611
2025-09-25,0.1664999999999999
2025-09-26,0.1664999999999999
2025-09-29,0.1664999999999999
2025-09-30,0.1753
2025-10-09,0.1669999999999999
2025-10-10,0.1617
2025-10-13,0.1638
2025-10-14,0.1801
2025-10-15,0.1788
2025-10-16,0.1827
2025-10-17,0.1848
2025-10-20,0.1903
2025-10-21,0.1864
2025-10-22,0.1792
2025-10-23,0.1744
2025-10-24,0.1743
2025-10-27,0.1757999999999999
2025-10-28,0.1798
2025-10-29,0.184
2025-10-30,0.1804
2025-10-31,0.1810999999999999
2025-11-03,0.1926
2025-11-04,0.2022
2025-11-05,0.1863
2025-11-06,0.1863
2025-11-07,0.1875
2025-11-10,0.2078
2025-11-11,0.1853
2025-11-12,0.1863
2025-11-13,0.1804
2025-11-14,0.1764
2025-11-17,0.1863
2025-11-18,0.1974
2025-11-19,0.1863
2025-11-20,0.1863
2025-11-21,0.1833
2025-11-24,0.1791
2025-11-25,0.1805999999999999
2025-11-26,0.1839
2025-11-27,0.1717
2025-11-28,0.1705
2025-12-01,0.1724
2025-12-02,0.1704
2025-12-03,0.1709
2025-12-04,0.1686
2025-12-05,0.1723
2025-12-08,0.1782
2025-12-09,0.1761
2025-12-10,0.1646
2025-12-11,0.1736
2025-12-12,0.1722
2025-12-15,0.1835
2025-12-16,0.1785999999999999
2025-12-17,0.1759
2025-12-18,0.1737999999999999
2025-12-19,0.1746
2025-12-22,0.1732
2025-12-23,0.1809
2025-12-24,0.1746
2025-12-25,0.1828999999999999
2025-12-26,0.1913
2025-12-29,0.2007999999999999
2025-12-30,0.1785
2025-12-31,0.2037
2026-01-05,0.1934
2026-01-06,0.2176
2026-01-07,0.2135
2026-01-08,0.226
2026-01-09,0.2193
2026-01-12,0.249
2026-01-13,0.249
2026-01-14,0.2848
2026-01-15,0.2792
2026-01-16,0.2554
2026-01-19,0.221
2026-01-20,0.2157
2026-01-21,0.2127
2026-01-22,0.2082
2026-01-23,0.2473
2026-01-26,0.2805
2026-01-27,0.2608
2026-01-28,0.2796
2026-01-29,0.261
2026-01-30,0.261
2026-02-02,0.2583
2026-02-03,0.2482
2026-02-04,0.2448999999999999
2026-02-05,0.2601
2026-02-06,0.2410999999999999
2026-02-09,0.2410999999999999
2026-02-10,0.2410999999999999
2026-02-11,0.2385
2026-02-12,0.2412
2026-02-13,0.2494
2026-02-24,0.3191
2026-02-25,0.2542
2026-02-26,0.2462
2026-02-27,0.2373
2026-03-02,0.2888
2026-03-03,0.3561999999999999
2026-03-04,1.0
2026-03-05,0.4355
2026-03-06,0.4097
2026-03-09,0.8291
2026-03-10,0.4562
2026-03-11,0.3607
2026-03-12,0.6485
2026-03-13,0.5552
2026-03-16,0.4048
2026-03-17,0.4686
2026-03-18,0.3702
2026-03-19,0.828
2026-03-20,0.6428
2026-03-23,0.3932
2026-03-24,0.4695
2026-03-25,0.3584
2026-03-26,0.636
2026-03-27,0.4596
2026-03-30,0.4558
2026-03-31,0.6564
2026-04-01,0.4184
2026-04-02,0.4078
2026-04-03,0.5539000000000001
2026-04-07,0.4796
2026-04-08,0.3836
2026-04-09,0.3817
2026-04-10,0.4003
2026-04-13,0.3229999999999999
2026-04-14,0.3544
2026-04-15,0.3635
