date,atm_iv
2025-05-30,0.0894
2025-06-03,0.0878999999999999
2025-06-04,0.0862
2025-06-05,0.0874
2025-06-06,0.0851
2025-06-09,0.0875
2025-06-10,0.0873
2025-06-11,0.0807
2025-06-12,0.098
2025-06-13,0.086
2025-06-16,0.0864
2025-06-17,0.0868999999999999
2025-06-18,0.0905
2025-06-19,0.0935
2025-06-20,0.0934
2025-06-23,0.0921
2025-06-24,0.0931
2025-06-25,0.0916
2025-06-26,0.0897
2025-06-27,0.0883999999999999
2025-06-30,0.0847
2025-07-01,0.0904
2025-07-02,0.0907
2025-07-03,0.0925
2025-07-04,0.0919
2025-07-07,0.0899
2025-07-08,0.088
2025-07-09,0.0819
2025-07-10,0.1181
2025-07-11,0.0764
2025-07-14,0.0843999999999999
2025-07-15,0.0758
2025-07-16,0.0751
2025-07-17,0.088
2025-07-18,0.0825
2025-07-21,0.0825
2025-07-22,0.0825
2025-07-23,0.0825
2025-07-24,0.0825
2025-07-25,0.085
2025-07-28,0.0852
2025-07-29,0.0825
2025-07-30,0.0832
2025-07-31,0.0612
2025-08-01,0.0831
2025-08-04,0.0831
2025-08-05,0.0831
2025-08-06,0.0831
2025-08-07,0.0959
2025-08-08,0.0784
2025-08-11,0.0762
2025-08-12,0.0868
2025-08-13,0.0856
2025-08-14,0.0856
2025-08-15,0.0856
2025-08-18,0.0856
2025-08-19,0.0831
2025-08-20,0.0852999999999999
2025-08-21,0.0807
2025-08-22,0.0823
2025-08-25,0.0836
2025-08-26,0.0843
2025-08-27,0.0878999999999999
2025-08-28,0.0834999999999999
2025-08-29,0.0834999999999999
2025-09-01,0.0828
2025-09-02,0.0883999999999999
2025-09-03,0.0857
2025-09-04,0.0852
2025-09-05,0.0831
2025-09-08,0.0808
2025-09-09,0.0797
2025-09-10,0.0807
2025-09-11,0.0782
2025-09-12,0.0783
2025-09-15,0.0782
2025-09-16,0.0809
2025-09-17,0.0822
2025-09-18,0.0865
2025-09-19,0.0919
2025-09-22,0.0928
2025-09-23,0.0957
2025-09-24,0.0813
2025-09-25,0.0834
2025-09-26,0.0841
2025-09-29,0.0858
2025-09-30,0.0846
2025-10-09,0.0842
2025-10-10,0.0765
2025-10-13,0.0838
2025-10-14,0.088
2025-10-15,0.0825
2025-10-16,0.0856
2025-10-17,0.0867
2025-10-20,0.0783
2025-10-21,0.0782
2025-10-22,0.0867
2025-10-23,0.0828
2025-10-24,0.0754
2025-10-27,0.0828
2025-10-28,0.0828
2025-10-29,0.0783
2025-10-30,0.0766
2025-10-31,0.0775
2025-11-03,0.0805
2025-11-04,0.0687
2025-11-05,0.0753
2025-11-06,0.0825
2025-11-07,0.0839
2025-11-10,0.079
2025-11-11,0.0823
2025-11-12,0.0823
2025-11-13,0.0843999999999999
2025-11-14,0.0834
2025-11-17,0.0794
2025-11-18,0.0856
2025-11-19,0.0765
2025-11-20,0.0851
2025-11-21,0.0754
2025-11-24,0.0791999999999999
2025-11-25,0.0847
2025-11-26,0.0757
2025-11-27,0.0625
2025-11-28,0.0655
2025-12-01,0.0745
2025-12-02,0.0775
2025-12-03,0.0769
2025-12-04,0.0852999999999999
2025-12-05,0.0852999999999999
2025-12-08,0.0852999999999999
2025-12-09,0.0809
2025-12-10,0.0853999999999999
2025-12-11,0.0853999999999999
2025-12-12,0.0853999999999999
2025-12-15,0.0865
2025-12-16,0.0866
2025-12-17,0.0851
2025-12-18,0.0924
2025-12-19,0.0863
2025-12-22,0.0876
2025-12-23,0.1201
2025-12-24,0.0907
2025-12-25,0.0853999999999999
2025-12-26,0.0874
2025-12-29,0.0922
2025-12-30,0.0929
2025-12-31,0.0902
2026-01-05,0.0922
2026-01-06,0.091
2026-01-07,0.0911
2026-01-08,0.0922
2026-01-09,0.0957
2026-01-12,0.0944999999999999
2026-01-13,0.0883999999999999
2026-01-14,0.0905
2026-01-15,0.0932
2026-01-16,0.0907
2026-01-19,0.1007
2026-01-20,0.0944
2026-01-21,0.0917
2026-01-22,0.0948
2026-01-23,0.093
2026-01-26,0.0932
2026-01-27,0.09
2026-01-28,0.0917
2026-01-29,0.0931
2026-01-30,0.0931
2026-02-02,0.0969999999999999
2026-02-03,0.0959
2026-02-04,0.0949
2026-02-05,0.0926
2026-02-06,0.0962
2026-02-09,0.0942
2026-02-10,0.0942
2026-02-11,0.0932
2026-02-12,0.0964
2026-02-13,0.0964
2026-02-24,0.0964
2026-02-25,0.0960999999999999
2026-02-26,0.0994999999999999
2026-02-27,0.099
2026-03-02,0.099
2026-03-03,0.099
2026-03-04,0.099
2026-03-05,0.099
2026-03-06,0.1021
2026-03-09,0.1243
2026-03-10,0.1131
2026-03-11,0.1103
2026-03-12,0.11
2026-03-13,0.1231
2026-03-16,0.1217999999999999
2026-03-17,0.1185
2026-03-18,0.1122
2026-03-19,0.1144999999999999
2026-03-20,0.1149
2026-03-23,0.1344999999999999
2026-03-24,0.1211999999999999
2026-03-25,0.1211999999999999
2026-03-26,0.1211999999999999
2026-03-27,0.1316
2026-03-30,0.1432
2026-03-31,0.1225
2026-04-01,0.1233
2026-04-02,0.1257
2026-04-03,0.1248
2026-04-07,0.1233
2026-04-08,0.1082
2026-04-09,0.1058
2026-04-10,0.1063
2026-04-13,0.1091
2026-04-14,0.1075
2026-04-15,0.1055
2026-04-16,0.1089
2026-04-17,0.1193
2026-04-20,0.1083
2026-04-21,0.1168
2026-04-22,0.1079
2026-04-23,0.121
2026-04-24,0.1249
2026-04-27,0.17
2026-04-28,0.1144
2026-04-29,0.1276
2026-04-30,0.1318
2026-05-06,0.1349
2026-05-07,0.1245
2026-05-08,0.1261999999999999
2026-05-11,0.1249
2026-05-12,0.1217999999999999
2026-05-13,0.121
2026-05-14,0.1134
2026-05-15,0.1067
2026-05-18,0.0899
2026-05-19,0.1105
2026-05-20,0.1065
2026-05-21,0.1096
2026-05-22,0.1043
2026-05-25,0.1064
2026-05-26,0.1083
2026-05-27,0.1134
2026-05-28,0.0913
2026-05-29,0.1084
2026-06-01,0.1535
2026-06-02,0.1447
2026-06-03,0.1239
2026-06-04,0.1082
2026-06-05,0.108
2026-06-08,0.1041
2026-06-09,0.0965
2026-06-10,0.1081
2026-06-11,0.086
2026-06-12,0.0725
2026-06-15,0.1094999999999999
2026-06-16,0.098
2026-06-17,0.1074
2026-06-18,0.1056
2026-06-22,0.1074
2026-06-23,0.1072
2026-06-24,0.1072
2026-06-25,0.1065
2026-06-26,0.1088
2026-06-29,0.0946
2026-06-30,0.1088
2026-07-01,0.1088
2026-07-02,0.1075
2026-07-03,0.1075
2026-07-06,0.1107
2026-07-07,0.1105
2026-07-08,0.1075
2026-07-09,0.1177
2026-07-10,0.0716
2026-07-13,0.1049
2026-07-14,0.1096
2026-07-15,0.108
2026-07-16,0.1098
2026-07-17,0.1103
2026-07-20,0.1113
2026-07-21,0.1067999999999999
2026-07-22,0.1135999999999999
2026-07-23,0.1064
2026-07-24,0.1119999999999999
2026-07-27,0.1132
2026-07-28,0.1128999999999999
2026-07-29,0.1055
2026-07-30,0.1055
2026-07-31,0.1052999999999999
2026-08-03,0.1043
2026-08-04,0.0997
2026-08-05,0.1093
2026-08-06,0.1149
2026-08-07,0.1256
2026-08-10,0.1261999999999999
2026-08-11,0.1173
2026-08-12,0.2145
2026-08-13,0.1121
2026-08-14,0.1184
2026-08-17,0.109
2026-08-18,0.1128
2026-08-19,0.1173
2026-08-20,0.15546340987667526
