symbol,model,entry_time,exit_time,side,entry_price,exit_price,weight,regime,PnL,exit_reason,bars_held
BTC-USD,BO,2024-09-19 00:00:00+00:00,2024-09-19 23:00:00+00:00,1.0,61760.119375,62941.41578125,0.1626095937790387,transition,2974.0375146231418,time_stop,24
BTC-USD,BO,2024-09-22 10:00:00+00:00,2024-09-22 17:00:00+00:00,-1.0,62735.70484375,63067.66771484375,0.15915221165872517,transition,297.9637259138117,stop,8
BTC-USD,BO,2024-09-22 23:00:00+00:00,2024-09-23 00:00:00+00:00,1.0,63900.5959375,63297.297526041664,0.09230695105276959,shock,-950.2493314030794,stop,2
BTC-USD,BO,2024-09-23 04:00:00+00:00,2024-09-23 06:00:00+00:00,1.0,64370.70140625,63604.144205729164,0.07297693806737038,transition,-932.3601538027767,stop,3
BTC-USD,BO,2024-09-24 09:00:00+00:00,2024-09-24 14:00:00+00:00,1.0,63900.97875,63303.599934895836,0.26585495093773315,transition,-2703.0174021123366,stop,6
BTC-USD,BO,2024-09-24 20:00:00+00:00,2024-09-25 07:00:00+00:00,1.0,64316.338125,63701.0671484375,0.23863843661761946,shock,-2460.6394215258674,stop,12
BTC-USD,BO,2024-09-25 18:00:00+00:00,2024-09-26 05:00:00+00:00,-1.0,63162.85328125,63509.49388671875,0.2434647088922957,transition,-774.499646070814,stop,12
BTC-USD,BO,2024-09-26 11:00:00+00:00,2024-09-26 15:00:00+00:00,1.0,64364.95140625,64429.63404296875,0.095176097177994,transition,20.257517741067318,stop,5
BTC-USD,BO,2024-09-26 16:00:00+00:00,2024-09-27 15:00:00+00:00,1.0,65249.5178125,66046.8571875,0.08021495058890572,transition,918.991928983816,time_stop,24
BTC-USD,BO,2024-09-29 20:00:00+00:00,2024-09-29 23:00:00+00:00,1.0,65966.2365625,65639.62858072917,0.5039018886504557,shock,-2888.13763743255,stop,4
BTC-USD,BO,2024-09-30 02:00:00+00:00,2024-10-01 01:00:00+00:00,-1.0,64768.02125,63396.98265625,0.13578652011037606,shock,2358.139996352527,time_stop,24
BTC-USD,BO,2024-10-01 14:00:00+00:00,2024-10-01 17:00:00+00:00,-1.0,62872.615,62337.363515625,0.08243138394443152,shock,343.35065126920824,stop,4
