symbol,model,entry_time,exit_time,side,entry_price,exit_price,weight,regime,PnL,exit_reason,bars_held
BTC-USD,B,2024-09-19 00:00:00+00:00,2024-09-20 00:00:00+00:00,1.0,61760.119375,62727.81861328125,0.6504383751161548,transition,9670.562112968812,stop,25
BTC-USD,B,2024-09-22 10:00:00+00:00,2024-09-22 17:00:00+00:00,-1.0,62735.70484375,63067.66771484375,0.6366088466349007,transition,1195.5630312031508,stop,8
BTC-USD,B,2024-09-22 23:00:00+00:00,2024-09-23 00:00:00+00:00,1.0,63900.5959375,63297.297526041664,0.36922780421107837,shock,-3826.9312759867144,stop,2
BTC-USD,B,2024-09-23 04:00:00+00:00,2024-09-23 06:00:00+00:00,1.0,64370.70140625,63604.144205729164,0.2919077522694815,transition,-3743.7596749134545,stop,3
BTC-USD,B,2024-09-24 20:00:00+00:00,2024-09-25 07:00:00+00:00,1.0,64316.338125,63701.0671484375,0.9545537464704779,shock,-9919.338667030988,stop,12
BTC-USD,B,2024-09-26 11:00:00+00:00,2024-09-26 15:00:00+00:00,1.0,64364.95140625,64429.63404296875,0.380704388711976,transition,79.62623834047793,stop,5
BTC-USD,B,2024-09-26 16:00:00+00:00,2024-09-28 09:00:00+00:00,1.0,65249.5178125,65624.265390625,0.3208598023556229,transition,1621.384318261497,stop,42
BTC-USD,B,2024-09-30 02:00:00+00:00,2024-10-01 06:00:00+00:00,-1.0,64768.02125,63950.85326171875,0.5431460804415043,shock,10491.171151218956,stop,29
BTC-USD,B,2024-10-01 14:00:00+00:00,2024-10-01 17:00:00+00:00,-1.0,62872.615,62337.363515625,0.32972553577772606,shock,1385.6032056081272,stop,4
BTC-USD,B,2024-10-01 21:00:00+00:00,2024-10-02 02:00:00+00:00,-1.0,60790.365,61754.343424479164,0.22183763610103766,shock,-1842.1166928122639,stop,6
BTC-USD,B,2024-10-04 13:00:00+00:00,2024-10-04 14:00:00+00:00,1.0,61914.99828125,61189.1982421875,0.29690502133316465,transition,-3743.707227122133,stop,2
BTC-USD,B,2024-10-04 17:00:00+00:00,2024-10-05 17:00:00+00:00,1.0,62246.81859375,61946.031015625,0.8651304137834613,transition,-4871.661926967579,stop,25
BTC-USD,B,2024-10-06 15:00:00+00:00,2024-10-06 21:00:00+00:00,1.0,62709.3771875,62395.95044921875,0.66873001142431,shock,-3863.3933740765083,stop,7
BTC-USD,B,2024-10-07 01:00:00+00:00,2024-10-07 09:00:00+00:00,1.0,63662.84203125,63240.1608984375,0.4876751934844253,shock,-3596.8439074356647,stop,9
BTC-USD,B,2024-10-07 15:00:00+00:00,2024-10-07 18:00:00+00:00,1.0,64001.8615625,63281.8095703125,0.30942557061152304,transition,-3690.292344365198,stop,4
BTC-USD,B,2024-10-09 13:00:00+00:00,2024-10-10 20:00:00+00:00,-1.0,61931.6540625,59922.8605859375,0.3473689335617169,transition,13948.993115493244,stop,32
BTC-USD,B,2024-10-11 14:00:00+00:00,2024-10-11 22:00:00+00:00,1.0,61668.00609375,62474.89771484375,0.9625529132311211,transition,11805.77383148611,stop,9
BTC-USD,B,2024-10-13 15:00:00+00:00,2024-10-13 16:00:00+00:00,-1.0,62220.255625,62600.523111979164,1.6364186136894974,transition,8471.890875928682,stop,2
BTC-USD,B,2024-10-14 04:00:00+00:00,2024-10-15 05:00:00+00:00,1.0,64246.41234375,65303.93677734375,0.3643878657654533,shock,5845.355843114021,stop,26
BTC-USD,B,2024-10-15 14:00:00+00:00,2024-10-15 14:00:00+00:00,1.0,67645.60375,66700.55924479167,0.24212760295210778,shock,-3666.982983634339,stop,1
BTC-USD,B,2024-10-16 12:00:00+00:00,2024-10-17 07:00:00+00:00,1.0,67916.6584375,67137.644296875,0.5338523719404298,transition,-6686.818192939749,stop,20
BTC-USD,B,2024-10-18 02:00:00+00:00,2024-10-19 11:00:00+00:00,1.0,68053.119375,68233.195078125,0.32586901627722226,shock,635.8921569842443,stop,34
BTC-USD,B,2024-10-20 15:00:00+00:00,2024-10-20 22:00:00+00:00,1.0,68626.494375,68794.718515625,0.9255498944610233,transition,1551.6852113119091,stop,8
BTC-USD,B,2024-10-20 23:00:00+00:00,2024-10-21 02:00:00+00:00,1.0,69147.8225,68861.222421875,0.6809322250756756,shock,-3422.7080085258362,stop,4
BTC-USD,B,2024-10-21 14:00:00+00:00,2024-10-21 19:00:00+00:00,-1.0,67278.6853125,67800.8019921875,0.3711740374195603,transition,2244.169558844452,stop,6
BTC-USD,B,2024-10-23 17:00:00+00:00,2024-10-23 19:00:00+00:00,-1.0,65802.8884375,66170.63158203124,0.3799237179887603,shock,28.988798947937312,stop,3
BTC-USD,B,2024-10-24 14:00:00+00:00,2024-10-25 01:00:00+00:00,1.0,67842.338125,67859.652109375,0.9345975166480004,transition,-515.4745135991539,stop,12
BTC-USD,B,2024-10-25 18:00:00+00:00,2024-10-25 18:00:00+00:00,-1.0,66803.6696875,67298.0070703125,0.26752943459264394,shock,1792.8911085109305,stop,1
BTC-USD,B,2024-10-27 14:00:00+00:00,2024-10-28 01:00:00+00:00,1.0,67553.6115625,67705.4694921875,2.297090642854457,transition,3309.1515085373003,stop,12
BTC-USD,B,2024-10-28 08:00:00+00:00,2024-10-28 15:00:00+00:00,1.0,68332.6271875,68454.546640625,0.5166248510911533,transition,525.9716214395708,stop,8
BTC-USD,B,2024-10-28 20:00:00+00:00,2024-10-29 02:00:00+00:00,1.0,69600.556875,70278.343515625,0.36486782263897877,transition,3321.8939373387243,stop,7
BTC-USD,B,2024-10-29 03:00:00+00:00,2024-10-29 20:00:00+00:00,1.0,71127.1896875,72232.1491796875,0.30879276011208323,trend,4671.686788825198,stop,18
BTC-USD,B,2024-10-31 15:00:00+00:00,2024-11-01 11:00:00+00:00,-1.0,70734.8415625,70086.1203515625,0.3112285021469571,transition,4295.728025558865,stop,21
BTC-USD,B,2024-11-03 02:00:00+00:00,2024-11-03 02:00:00+00:00,-1.0,69001.2165625,68586.0832421875,0.5167136745807751,shock,-3639.5357211210257,stop,1
BTC-USD,B,2024-11-03 03:00:00+00:00,2024-11-03 04:00:00+00:00,-1.0,68149.8415625,68620.41471354167,0.5086669894920341,transition,-480.87528699907534,stop,2
BTC-USD,B,2024-11-03 15:00:00+00:00,2024-11-03 16:00:00+00:00,-1.0,67750.4509375,68357.466796875,1.1213596450301975,transition,-1420.5250345303366,stop,2
