symbol,model,entry_time,exit_time,side,entry_price,exit_price,weight,regime,PnL,exit_reason,bars_held
BTC-USD,C,2024-09-19 17:00:00+00:00,2024-09-20 00:00:00+00:00,1.0,63568.37328125,62727.81861328125,0.6302192868023531,trend,-8846.19511727508,stop,8
BTC-USD,C,2024-10-14 23:00:00+00:00,2024-10-15 03:00:00+00:00,1.0,66434.8771875,65559.7861328125,0.7547914199912286,transition,-10459.150090146573,stop,5
BTC-USD,C,2024-10-29 14:00:00+00:00,2024-10-29 20:00:00+00:00,1.0,71775.5725,72232.1491796875,0.8619695620800495,trend,4702.931679901143,stop,7
BTC-USD,C,2024-10-31 21:00:00+00:00,2024-11-01 11:00:00+00:00,-1.0,69932.3259375,70086.1203515625,0.8943584711624141,transition,1725.469435226098,stop,15
BTC-USD,C,2024-11-06 20:00:00+00:00,2024-11-07 06:00:00+00:00,1.0,75890.1115625,74671.10328125,0.4265789420035764,trend,-7116.984266281657,stop,11
BTC-USD,C,2024-11-10 12:00:00+00:00,2024-11-10 20:00:00+00:00,1.0,79898.1740625,79459.839609375,0.9014153406306761,trend,-5539.522586525229,stop,9
BTC-USD,C,2024-11-11 20:00:00+00:00,2024-11-12 00:00:00+00:00,1.0,86267.7834375,86937.7194921875,0.5266962603603245,trend,3643.593746205899,stop,5
BTC-USD,C,2024-11-12 07:00:00+00:00,2024-11-12 10:00:00+00:00,1.0,89638.838125,87525.99479166667,0.4219111999092845,trend,-10084.765352028933,stop,4
BTC-USD,C,2024-11-21 19:00:00+00:00,2024-11-22 13:00:00+00:00,1.0,98360.806875,97591.0710546875,0.6700944657961231,transition,-5572.28759233763,stop,19
BTC-USD,C,2024-12-11 20:00:00+00:00,2024-12-12 19:00:00+00:00,1.0,101214.8615625,100663.1062109375,0.7344243436504052,transition,-4376.825826600962,stop,24
BTC-USD,C,2024-12-20 12:00:00+00:00,2024-12-20 13:00:00+00:00,-1.0,92572.818125,95388.583984375,0.3328105311420737,transition,1507.3146581803144,stop,2
BTC-USD,C,2024-12-29 23:00:00+00:00,2024-12-30 01:00:00+00:00,-1.0,93044.1384375,93755.76302083333,1.3142956524921319,shock,64.05880496978716,stop,3
BTC-USD,C,2025-01-02 09:00:00+00:00,2025-01-02 16:00:00+00:00,1.0,96000.2209375,96131.7566015625,1.0514058742353138,trend,571.4705010197304,stop,7
BTC-USD,C,2025-01-02 17:00:00+00:00,2025-01-03 07:00:00+00:00,1.0,97162.1115625,96403.7487890625,0.9740273857422035,transition,-8042.350240921047,stop,15
BTC-USD,C,2025-01-07 18:00:00+00:00,2025-01-08 22:00:00+00:00,-1.0,97235.474375,95023.9406640625,0.9092945878754748,trend,29324.16681509199,stop,29
BTC-USD,C,2025-01-17 15:00:00+00:00,2025-01-18 03:00:00+00:00,1.0,103379.8146875,104026.0759375,0.7969154380361348,shock,4297.394514836384,stop,13
BTC-USD,C,2025-01-27 03:00:00+00:00,2025-01-27 12:00:00+00:00,-1.0,100934.380625,99690.88890625,1.205744565158456,trend,34684.06747747255,stop,10
BTC-USD,C,2025-01-30 15:00:00+00:00,2025-01-31 00:00:00+00:00,1.0,105892.9240625,104619.128671875,0.7559822326813864,transition,-9896.533804668674,stop,10
BTC-USD,C,2025-02-25 10:00:00+00:00,2025-02-25 22:00:00+00:00,-1.0,88268.3259375,89301.7844140625,0.4779980049210067,trend,1388.7834112662272,stop,13
BTC-USD,C,2025-02-28 08:00:00+00:00,2025-02-28 13:00:00+00:00,-1.0,79098.64625,81281.55208333333,0.36164149066129664,trend,-5119.452374201195,stop,6
BTC-USD,C,2025-03-09 14:00:00+00:00,2025-03-10 02:00:00+00:00,-1.0,83587.724375,81882.840078125,1.1022601006957709,shock,25412.953818457885,stop,13
BTC-USD,C,2025-03-19 16:00:00+00:00,2025-03-19 17:00:00+00:00,1.0,84738.7209375,83916.50065104167,1.0288730437123639,transition,-11149.633577979583,stop,2
BTC-USD,C,2025-03-19 23:00:00+00:00,2025-03-20 04:00:00+00:00,1.0,86224.4240625,85694.161875,0.7923422685725924,trend,-5611.203022352829,stop,6
BTC-USD,C,2025-03-23 23:00:00+00:00,2025-03-24 01:00:00+00:00,1.0,85383.8146875,85818.456796875,1.7762910615554985,shock,7697.116888650255,stop,3
BTC-USD,C,2025-03-24 05:00:00+00:00,2025-03-24 22:00:00+00:00,1.0,86855.9553125,87414.2478125,1.3580382113498515,trend,7732.7767912066265,stop,18
BTC-USD,C,2025-03-28 15:00:00+00:00,2025-03-30 01:00:00+00:00,-1.0,84153.8259375,82829.7668359375,0.9764263239402841,trend,16557.76739263703,stop,35
BTC-USD,C,2025-04-06 23:00:00+00:00,2025-04-07 01:00:00+00:00,-1.0,77988.755625,78774.6887109375,0.7117026590344453,trend,1098.2279939389355,stop,3
BTC-USD,C,2025-04-07 05:00:00+00:00,2025-04-07 06:00:00+00:00,-1.0,77151.286875,77024.7053125,0.5194646954310698,trend,3298.4790808302096,stop,2
BTC-USD,C,2025-04-07 07:00:00+00:00,2025-04-07 08:00:00+00:00,-1.0,74727.2165625,76458.32096354167,0.43378312054971846,trend,5692.182287185973,stop,2
BTC-USD,C,2025-04-22 18:00:00+00:00,2025-04-22 21:00:00+00:00,1.0,91486.0021875,91598.3025,0.85728579041784,trend,390.452612907382,stop,4
BTC-USD,C,2025-04-23 00:00:00+00:00,2025-04-23 15:00:00+00:00,1.0,93466.1271875,92423.68140625,0.6951488091177864,trend,-8772.320092958149,stop,16
BTC-USD,C,2025-05-01 16:00:00+00:00,2025-05-02 21:00:00+00:00,1.0,96912.963125,96741.2390234375,1.1304030629876862,trend,-3070.2009267496214,stop,30
BTC-USD,C,2025-05-08 21:00:00+00:00,2025-05-10 16:00:00+00:00,1.0,102611.0334375,103198.12671875,0.8145303825213303,trend,4226.009562721646,stop,44
BTC-USD,C,2025-05-18 17:00:00+00:00,2025-05-18 17:00:00+00:00,1.0,105844.869375,105135.16276041667,1.4793023353949293,shock,-11655.250993031786,stop,1
BTC-USD,C,2025-05-28 16:00:00+00:00,2025-05-28 23:00:00+00:00,-1.0,107139.45875,108001.33723958333,1.2459755104507377,transition,1531.5294784588314,stop,8
BTC-USD,C,2025-06-16 20:00:00+00:00,2025-06-16 22:00:00+00:00,1.0,108668.0490625,107802.51302083333,1.2572949073600472,trend,-11456.460185366665,stop,3
BTC-USD,C,2025-06-17 17:00:00+00:00,2025-06-17 19:00:00+00:00,-1.0,103622.2634375,104809.68684895833,0.8750720310198058,transition,-4396.779147249624,stop,3
BTC-USD,C,2025-06-25 14:00:00+00:00,2025-06-25 15:00:00+00:00,1.0,107983.41625,107107.47395833333,1.2295245244650046,shock,-11213.588641776892,stop,2
BTC-USD,C,2025-07-11 03:00:00+00:00,2025-07-11 16:00:00+00:00,1.0,116681.1115625,116670.8601171875,0.990473484660342,trend,-891.0583554666664,stop,14
BTC-USD,C,2025-07-14 03:00:00+00:00,2025-07-14 03:00:00+00:00,1.0,119701.525625,119807.8562109375,1.3213987864819299,shock,117.54013242340136,stop,1
BTC-USD,C,2025-07-14 08:00:00+00:00,2025-07-14 11:00:00+00:00,1.0,122720.3459375,121568.49348958333,1.0640903669958115,trend,-10963.954613012109,stop,4
BTC-USD,C,2025-08-11 05:00:00+00:00,2025-08-11 10:00:00+00:00,1.0,122086.9865625,121084.94205729167,1.2174041224721839,trend,-10972.805447272784,stop,6
BTC-USD,C,2025-09-11 04:00:00+00:00,2025-09-11 13:00:00+00:00,1.0,114414.1428125,113600.474609375,1.4028298123108167,trend,-10979.445046153449,stop,10
BTC-USD,C,2025-09-19 19:00:00+00:00,2025-09-20 07:00:00+00:00,-1.0,115457.89625,115948.79515625,1.828044444352621,trend,-3429.173165419087,stop,13
BTC-USD,C,2025-09-29 20:00:00+00:00,2025-09-30 08:00:00+00:00,1.0,114300.7209375,113642.7077734375,1.3129616873765297,trend,-8393.579730468946,stop,13
BTC-USD,C,2025-10-01 17:00:00+00:00,2025-10-03 08:00:00+00:00,1.0,117630.51,119650.261484375,1.1183303325372038,transition,17692.695801466794,stop,40
BTC-USD,C,2025-10-07 19:00:00+00:00,2025-10-07 20:00:00+00:00,-1.0,120938.1775,122170.00520833333,0.9880991632453734,transition,-3425.594540545625,stop,2
BTC-USD,C,2025-10-17 11:00:00+00:00,2025-10-17 15:00:00+00:00,-1.0,104751.8025,106617.52473958333,0.5663790428560361,transition,4966.175983806368,stop,5
