symbol,model,entry_time,exit_time,side,entry_price,exit_price,weight,regime,PnL,exit_reason,bars_held
BTC-USD,E,2024-09-19 00:00:00+00:00,2024-09-19 23:00:00+00:00,1.0,61760.119375,62941.41578125,0.08130479688951935,transition,1486.8375209594872,time_stop,24
BTC-USD,E,2024-09-21 16:00:00+00:00,2024-09-21 23:00:00+00:00,-1.0,63208.36890625,63511.7394921875,0.4088736672530571,transition,1107.6000439916277,stop,8
BTC-USD,E,2024-09-22 11:00:00+00:00,2024-09-22 17:00:00+00:00,-1.0,62672.23609375,63027.635416666664,0.22098231656157605,transition,48.01979194410694,stop,7
BTC-USD,E,2024-09-24 20:00:00+00:00,2024-09-25 07:00:00+00:00,1.0,64316.338125,63701.0671484375,0.11931921830880973,shock,-1234.5285678274988,stop,12
BTC-USD,E,2024-09-26 08:00:00+00:00,2024-09-26 10:00:00+00:00,-1.0,63855.54859375,64420.683919270836,0.28190723849625443,transition,2938.888960041747,stop,3
BTC-USD,E,2024-09-30 10:00:00+00:00,2024-10-01 06:00:00+00:00,-1.0,63603.4353125,63950.85326171875,0.14124678364601032,shock,189.2714815851719,stop,21
BTC-USD,E,2024-10-04 06:00:00+00:00,2024-10-04 16:00:00+00:00,-1.0,61218.33375,61910.98607421875,0.17967440861844683,transition,-1749.9917399267583,stop,11
BTC-USD,E,2024-10-04 17:00:00+00:00,2024-10-05 16:00:00+00:00,1.0,62246.81859375,61986.505625,0.10814130172293267,transition,-535.8178179352589,time_stop,24
BTC-USD,E,2024-10-07 23:00:00+00:00,2024-10-08 15:00:00+00:00,1.0,62500.35765625,61940.0280859375,0.17048479447270226,transition,-1652.204575136252,stop,17
BTC-USD,E,2024-10-10 01:00:00+00:00,2024-10-10 06:00:00+00:00,-1.0,60375.661875,60979.340494791664,0.12569135656009534,transition,-956.030383037426,stop,6
BTC-USD,E,2024-10-10 18:00:00+00:00,2024-10-10 20:00:00+00:00,-1.0,59433.1384375,59922.8605859375,0.10521591501130671,shock,-21.03975841967798,stop,3
BTC-USD,E,2024-10-11 12:00:00+00:00,2024-10-11 14:00:00+00:00,-1.0,61137.81421875,61668.00609375,0.23042911423395193,transition,-3012.886042444065,signal_change,2
BTC-USD,E,2024-10-11 14:00:00+00:00,2024-10-11 22:00:00+00:00,1.0,61668.00609375,62474.89771484375,0.12031911415389014,transition,1477.3905256484568,stop,9
BTC-USD,E,2024-10-13 15:00:00+00:00,2024-10-13 16:00:00+00:00,-1.0,62220.255625,62600.523111979164,0.20455232671118717,transition,1046.1537811660653,stop,2
BTC-USD,E,2024-10-14 08:00:00+00:00,2024-10-15 05:00:00+00:00,1.0,64577.76390625,65303.93677734375,0.11307901452357143,transition,1194.9518845618095,stop,22
BTC-USD,E,2024-10-16 12:00:00+00:00,2024-10-17 07:00:00+00:00,1.0,67916.6584375,67137.644296875,0.06673154649255372,transition,-818.122119386025,stop,20
BTC-USD,E,2024-10-18 16:00:00+00:00,2024-10-19 11:00:00+00:00,1.0,68716.385,68233.195078125,0.119788245434984,transition,-937.5173761100336,stop,20
