symbol,model,entry_time,exit_time,side,entry_price,exit_price,weight,regime,PnL,exit_reason,bars_held
BTC-USD,SCORE,2024-09-18 04:00:00+00:00,2024-09-18 05:00:00+00:00,1.0,60518.13109375,60428.34546875,0.08552831677281407,transition,-195.20972839805088,signal_change,1
BTC-USD,SCORE,2024-09-19 00:00:00+00:00,2024-09-19 04:00:00+00:00,1.0,61760.119375,62119.36109375,0.08130479688951935,transition,409.56038374941386,signal_change,4
BTC-USD,SCORE,2024-09-19 12:00:00+00:00,2024-09-19 15:00:00+00:00,1.0,62669.35375,62943.00171875,0.07699981612820167,transition,274.7143453645769,signal_change,3
BTC-USD,SCORE,2024-09-19 17:00:00+00:00,2024-09-19 19:00:00+00:00,1.0,63568.37328125,63653.39625,0.07877741085029413,trend,42.850235253845284,signal_change,2
BTC-USD,SCORE,2024-09-19 23:00:00+00:00,2024-09-20 00:00:00+00:00,1.0,62961.135,62958.380625,0.09835162051533719,shock,-83.04889377679125,signal_change,1
BTC-USD,SCORE,2024-09-20 04:00:00+00:00,2024-09-20 08:00:00+00:00,1.0,63751.58421875,63536.0915625,0.10364869773025073,shock,-433.17462665005934,signal_change,4
BTC-USD,SCORE,2024-09-22 00:00:00+00:00,2024-09-22 01:00:00+00:00,1.0,63420.4553125,63241.46265625,0.08734931374866398,range,-316.41521820710875,signal_change,1
BTC-USD,SCORE,2024-09-22 04:00:00+00:00,2024-09-22 05:00:00+00:00,1.0,63131.01390625,63107.1228125,0.24033021183176018,transition,-283.18828141903873,signal_change,1
BTC-USD,SCORE,2024-09-22 10:00:00+00:00,2024-09-22 12:00:00+00:00,-1.0,62735.70484375,62815.494375,0.07957610582936259,transition,-196.171673725873,signal_change,2
BTC-USD,SCORE,2024-09-22 13:00:00+00:00,2024-09-22 16:00:00+00:00,-1.0,62798.24,62676.04515625,0.21284093664653,transition,66.72778349356165,signal_change,3
BTC-USD,SCORE,2024-09-22 19:00:00+00:00,2024-09-22 20:00:00+00:00,-1.0,62974.536875,63203.51,0.18108019266122838,range,-657.328750798395,signal_change,1
BTC-USD,SCORE,2024-09-22 22:00:00+00:00,2024-09-22 22:00:00+00:00,-1.0,62825.36890625,63333.64427734375,0.047264388765093875,shock,344.07691005468297,stop,1
BTC-USD,SCORE,2024-09-22 23:00:00+00:00,2024-09-23 00:00:00+00:00,1.0,63900.5959375,63614.1696875,0.046153475526384796,shock,-243.63697966380107,signal_change,1
BTC-USD,SCORE,2024-09-23 02:00:00+00:00,2024-09-23 03:00:00+00:00,1.0,63853.885,63935.943125,0.11761125033395929,transition,57.02409242156959,signal_change,1
BTC-USD,SCORE,2024-09-23 04:00:00+00:00,2024-09-23 05:00:00+00:00,1.0,64370.70140625,63931.4040625,0.03648846903368519,transition,-277.87364513685793,signal_change,1
BTC-USD,SCORE,2024-09-23 15:00:00+00:00,2024-09-23 17:00:00+00:00,1.0,63397.76390625,63261.59546875,0.09329948342418802,transition,-272.48696787961063,signal_change,2
BTC-USD,SCORE,2024-09-24 18:00:00+00:00,2024-09-24 19:00:00+00:00,1.0,63793.8146875,63726.06421875,0.04517036163667087,transition,-83.98184321237457,signal_change,1
BTC-USD,SCORE,2024-09-24 20:00:00+00:00,2024-09-24 22:00:00+00:00,1.0,64316.338125,64031.65015625,0.11931921830880973,shock,-622.9177593591739,signal_change,2
BTC-USD,SCORE,2024-09-24 23:00:00+00:00,2024-09-25 00:00:00+00:00,1.0,64611.0959375,64269.974375,0.1115422381813681,transition,-676.6803110452622,signal_change,1
BTC-USD,SCORE,2024-09-26 06:00:00+00:00,2024-09-26 07:00:00+00:00,-1.0,63584.27515625,63714.5803125,0.14138618453562668,transition,-363.93148834481667,signal_change,1
BTC-USD,SCORE,2024-09-26 11:00:00+00:00,2024-09-26 15:00:00+00:00,1.0,64364.95140625,64429.63404296875,0.047588048588997,transition,10.165122289200909,stop,5
BTC-USD,SCORE,2024-09-26 16:00:00+00:00,2024-09-26 18:00:00+00:00,1.0,65249.5178125,65152.26734375,0.04010747529445286,transition,-91.41508235794652,signal_change,2
BTC-USD,SCORE,2024-09-26 19:00:00+00:00,2024-09-26 20:00:00+00:00,1.0,65289.62328125,64750.04078125,0.10923783515719117,transition,-987.333932023614,signal_change,1
BTC-USD,SCORE,2024-09-26 22:00:00+00:00,2024-09-26 23:00:00+00:00,1.0,65054.74046875,65087.6384375,0.10928028598307668,transition,-32.055151017004434,signal_change,1
BTC-USD,SCORE,2024-09-27 08:00:00+00:00,2024-09-27 10:00:00+00:00,1.0,65502.81078125,65771.4275,0.10594924677541659,transition,347.9295102164824,signal_change,2
BTC-USD,SCORE,2024-09-29 01:00:00+00:00,2024-09-29 02:00:00+00:00,-1.0,65686.39625,65874.51,0.07930393403061445,transition,-279.492144607378,signal_change,1
BTC-USD,SCORE,2024-09-29 06:00:00+00:00,2024-09-29 07:00:00+00:00,-1.0,65606.130625,65508.55296875,0.08327096258090634,transition,68.26849518689829,signal_change,1
BTC-USD,SCORE,2024-09-29 08:00:00+00:00,2024-09-29 09:00:00+00:00,-1.0,65484.505625,65574.713125,0.08505067590716904,transition,-172.7555696104811,signal_change,1
BTC-USD,SCORE,2024-09-29 14:00:00+00:00,2024-09-29 15:00:00+00:00,1.0,65801.431875,65710.0525,0.2610971204042235,range,-568.8528650832118,signal_change,1
BTC-USD,SCORE,2024-09-29 16:00:00+00:00,2024-09-29 17:00:00+00:00,1.0,65759.5959375,65774.911875,0.09074327836543643,transition,-51.218800251179545,signal_change,1
BTC-USD,SCORE,2024-09-29 18:00:00+00:00,2024-09-29 19:00:00+00:00,1.0,65836.1115625,65803.365,0.2671830302338196,transition,-344.85593511906495,signal_change,1
BTC-USD,SCORE,2024-09-30 00:00:00+00:00,2024-09-30 01:00:00+00:00,-1.0,65613.380625,65476.1271875,0.23943775339454645,shock,345.9554907924591,signal_change,1
BTC-USD,SCORE,2024-09-30 02:00:00+00:00,2024-09-30 06:00:00+00:00,-1.0,64768.02125,64525.21703125,0.13578652011037606,shock,458.5279031205823,signal_change,4
BTC-USD,SCORE,2024-09-30 07:00:00+00:00,2024-09-30 08:00:00+00:00,-1.0,64365.44703125,64564.89671875,0.1734420680852552,transition,-760.1790694307746,signal_change,1
BTC-USD,SCORE,2024-09-30 09:00:00+00:00,2024-09-30 12:00:00+00:00,-1.0,64310.865,63831.81859375,0.1463958629959586,transition,860.9888976834591,signal_change,3
BTC-USD,SCORE,2024-09-30 13:00:00+00:00,2024-09-30 20:00:00+00:00,-1.0,64041.87671875,63453.50609375,0.13440906882227363,transition,555.5429837932372,signal_change,7
BTC-USD,SCORE,2024-10-01 00:00:00+00:00,2024-10-01 01:00:00+00:00,-1.0,63320.24390625,63495.97875,0.10646824242710078,transition,-363.01298742487506,signal_change,1
BTC-USD,SCORE,2024-10-01 14:00:00+00:00,2024-10-01 17:00:00+00:00,-1.0,62872.615,62337.363515625,0.04121569197221576,shock,171.63509024477264,stop,4
BTC-USD,SCORE,2024-10-01 18:00:00+00:00,2024-10-01 20:00:00+00:00,-1.0,62136.1775,61626.72240234375,0.09334386381957152,transition,389.91397166088814,stop,3
BTC-USD,SCORE,2024-10-01 21:00:00+00:00,2024-10-02 00:00:00+00:00,-1.0,60790.365,60824.84203125,0.055459409025259414,shock,-98.11988113908795,signal_change,3
BTC-USD,SCORE,2024-10-02 11:00:00+00:00,2024-10-02 12:00:00+00:00,-1.0,61179.65796875,61162.02171875,0.07125925642831535,transition,-80.0436905870357,signal_change,1
BTC-USD,SCORE,2024-10-02 13:00:00+00:00,2024-10-02 14:00:00+00:00,-1.0,60802.349375,61339.13890625,0.07157965996454319,transition,-741.1551596630255,signal_change,1
BTC-USD,SCORE,2024-10-02 20:00:00+00:00,2024-10-02 21:00:00+00:00,-1.0,60175.865,60910.150625,0.07753446569068542,transition,-1090.9030525201163,signal_change,1
BTC-USD,SCORE,2024-10-03 08:00:00+00:00,2024-10-03 10:00:00+00:00,-1.0,60958.4040625,60705.37328125,0.0767915708822434,transition,264.2315638402016,signal_change,2
BTC-USD,SCORE,2024-10-03 15:00:00+00:00,2024-10-03 16:00:00+00:00,-1.0,60175.43921875,60617.17015625,0.0805597055738817,transition,-629.8696487680827,signal_change,1
BTC-USD,SCORE,2024-10-03 18:00:00+00:00,2024-10-03 19:00:00+00:00,-1.0,60600.91578125,60714.80296875,0.08295014762787035,range,-267.7398980694086,signal_change,1
BTC-USD,SCORE,2024-10-04 13:00:00+00:00,2024-10-04 14:00:00+00:00,1.0,61914.99828125,61569.8571875,0.03711312766664558,transition,-235.01664003748652,signal_change,1
BTC-USD,SCORE,2024-10-04 17:00:00+00:00,2024-10-04 18:00:00+00:00,1.0,62246.81859375,61997.5915625,0.10814130172293267,transition,-516.1622451139,signal_change,1
BTC-USD,SCORE,2024-10-05 04:00:00+00:00,2024-10-05 05:00:00+00:00,1.0,61878.963125,61939.90015625,0.12589926591401857,transition,23.039564917667562,signal_change,1
BTC-USD,SCORE,2024-10-06 15:00:00+00:00,2024-10-06 17:00:00+00:00,1.0,62709.3771875,62594.95484375,0.08359125142803875,shock,-217.85672590592267,signal_change,2
BTC-USD,SCORE,2024-10-07 00:00:00+00:00,2024-10-07 00:00:00+00:00,1.0,62817.13890625,63012.35328125,0.17463684434493043,shock,399.87492950548625,stop,1
BTC-USD,SCORE,2024-10-07 01:00:00+00:00,2024-10-07 03:00:00+00:00,1.0,63662.84203125,63631.411875,0.12191879837110632,shock,-155.79598057086557,signal_change,2
BTC-USD,SCORE,2024-10-07 04:00:00+00:00,2024-10-07 05:00:00+00:00,1.0,63513.525625,63467.8103125,0.15826731307155084,transition,-238.8175868782287,signal_change,1
BTC-USD,SCORE,2024-10-07 07:00:00+00:00,2024-10-07 09:00:00+00:00,1.0,63696.01390625,63560.911875,0.1447634815094711,transition,-419.644259191753,signal_change,2
BTC-USD,SCORE,2024-10-07 10:00:00+00:00,2024-10-07 11:00:00+00:00,1.0,63194.369375,62892.92359375,0.13260496706086738,transition,-732.7143557217878,signal_change,1
BTC-USD,SCORE,2024-10-07 12:00:00+00:00,2024-10-07 13:00:00+00:00,1.0,63114.5725,62861.43921875,0.12530430969759843,transition,-597.4449413178116,signal_change,1
BTC-USD,SCORE,2024-10-07 14:00:00+00:00,2024-10-07 16:00:00+00:00,1.0,63444.24828125,63644.75953125,0.11403260293694346,shock,272.93845431446414,signal_change,2
BTC-USD,SCORE,2024-10-08 00:00:00+00:00,2024-10-08 01:00:00+00:00,-1.0,62227.6540625,62525.35375,0.09161453153182723,transition,-468.3243236877912,signal_change,1
BTC-USD,SCORE,2024-10-09 13:00:00+00:00,2024-10-09 15:00:00+00:00,-1.0,61931.6540625,61817.963125,0.04342111669521461,transition,116.92452140646908,signal_change,2
