symbol,model,entry_time,exit_time,side,entry_price,exit_price,weight,regime,PnL,exit_reason,bars_held
BZ=F,E,2024-04-29 15:00:00+00:00,2024-04-29 16:00:00+00:00,-1.0,88.18999694824218,88.77499453226726,0.19245732773252336,transition,-310.96938410667735,stop,2
BZ=F,E,2024-05-08 09:00:00+00:00,2024-05-08 13:00:00+00:00,-1.0,82.04999755859374,82.61125541687012,0.17238402292865315,transition,-10.873767133726346,stop,5
BZ=F,E,2024-05-10 18:00:00+00:00,2024-05-13 07:00:00+00:00,-1.0,82.83999847412109,82.985004196167,0.20914105878862374,transition,703.2280376743112,stop,13
BZ=F,E,2024-05-14 13:00:00+00:00,2024-05-14 13:00:00+00:00,-1.0,82.82000183105468,82.91124797821045,0.19457890715104426,shock,109.07231705547025,stop,1
BZ=F,E,2024-05-15 12:00:00+00:00,2024-05-15 15:00:00+00:00,-1.0,81.90999816894531,82.15999771118165,0.15131001815852815,transition,891.0002831794898,stop,4
BZ=F,E,2024-05-16 08:00:00+00:00,2024-05-16 13:00:00+00:00,-1.0,82.97999786376953,83.38625312805176,0.29189052094801277,range,277.25930228085144,stop,6
BZ=F,E,2024-05-16 14:00:00+00:00,2024-05-17 14:00:00+00:00,1.0,83.48000122070313,83.36999725341796,0.15586049721257308,shock,-282.45243790761066,time_stop,24
BZ=F,E,2024-05-17 18:00:00+00:00,2024-05-20 12:00:00+00:00,1.0,83.92999816894532,83.62999843597412,0.2038597113909111,transition,-835.7378811076217,stop,18
BZ=F,E,2024-05-21 08:00:00+00:00,2024-05-21 14:00:00+00:00,-1.0,83.01999877929687,83.09249664306641,0.1650795630122687,transition,1207.3011474341542,stop,7
BZ=F,E,2024-05-23 12:00:00+00:00,2024-05-24 12:00:00+00:00,-1.0,82.43000244140624,81.2400033569336,0.31583936355774017,transition,5256.0613377414775,time_stop,24
BZ=F,E,2024-05-28 16:00:00+00:00,2024-05-29 13:00:00+00:00,1.0,84.1099984741211,84.32250331878662,0.38861673895054377,trend,786.0161627134363,stop,21
BZ=F,E,2024-05-29 19:00:00+00:00,2024-05-30 20:00:00+00:00,-1.0,83.3900015258789,81.95999694824219,0.2259494252429542,transition,4249.227386060257,time_stop,24
BZ=F,E,2024-06-04 09:00:00+00:00,2024-06-04 17:00:00+00:00,-1.0,76.99,77.84916750590007,0.22669261207299957,trend,-140.83885808825926,stop,9
BZ=F,E,2024-06-05 17:00:00+00:00,2024-06-06 15:00:00+00:00,1.0,78.31000305175782,78.9949991607666,0.15344201658772016,transition,1273.1249238520236,stop,22
BZ=F,E,2024-06-10 15:00:00+00:00,2024-06-11 14:00:00+00:00,1.0,80.64999938964844,81.20500205993652,0.15046148338778192,transition,974.1779086596049,stop,23
BZ=F,E,2024-06-12 09:00:00+00:00,2024-06-12 14:00:00+00:00,1.0,82.62000061035157,82.53374694824218,0.1860175224398473,transition,-290.3535872988168,stop,6
