symbol,model,entry_time,exit_time,side,entry_price,exit_price,weight,regime,PnL,exit_reason,bars_held
BZ=F,SCORE,2024-04-24 12:00:00+00:00,2024-04-24 15:00:00+00:00,1.0,88.30000091552735,87.81874584197998,0.7293232951725108,transition,-4359.515368951043,stop,4
BZ=F,SCORE,2024-04-24 16:00:00+00:00,2024-04-24 17:00:00+00:00,1.0,88.05000091552735,87.83999847412109,0.7182807731645864,range,-2082.3428913088665,signal_change,1
BZ=F,SCORE,2024-04-25 14:00:00+00:00,2024-04-25 15:00:00+00:00,-1.0,87.72000335693359,87.42000366210938,0.672847216244767,transition,1168.5971008218016,signal_change,1
BZ=F,SCORE,2024-04-25 19:00:00+00:00,2024-04-25 20:00:00+00:00,1.0,89.17000366210938,89.21000122070312,0.2461497747273569,shock,-18.54717686306836,signal_change,1
BZ=F,SCORE,2024-04-26 16:00:00+00:00,2024-04-26 17:00:00+00:00,1.0,89.53999877929688,89.33999847412109,0.6781286483149752,transition,-1859.6215202689973,signal_change,1
BZ=F,SCORE,2024-04-26 18:00:00+00:00,2024-04-26 20:00:00+00:00,1.0,89.46999908447266,89.29999755859374,0.7393654869342673,transition,-1778.8395904661975,signal_change,2
BZ=F,SCORE,2024-04-29 13:00:00+00:00,2024-04-29 14:00:00+00:00,-1.0,88.78000091552734,88.92999816894532,0.7931987620591536,transition,-2447.2023319056057,signal_change,1
BZ=F,SCORE,2024-04-29 15:00:00+00:00,2024-04-29 16:00:00+00:00,-1.0,88.18999694824218,88.49999786376954,0.7698293109300934,transition,-3590.661052674423,signal_change,1
BZ=F,SCORE,2024-04-29 17:00:00+00:00,2024-04-29 20:00:00+00:00,-1.0,88.57000183105468,88.52000213623047,0.771343634161559,transition,871.0236108339284,signal_change,3
BZ=F,SCORE,2024-04-30 14:00:00+00:00,2024-04-30 15:00:00+00:00,-1.0,87.57000183105468,87.7400033569336,0.23232475625313884,shock,-513.3285449885803,signal_change,1
BZ=F,SCORE,2024-05-01 16:00:00+00:00,2024-05-01 22:00:00+00:00,-1.0,83.61000274658203,83.56999755859376,0.3135205248704328,shock,349.74415927569623,signal_change,5
BZ=F,SCORE,2024-05-02 07:00:00+00:00,2024-05-02 08:00:00+00:00,-1.0,83.8900015258789,84.17000366210938,0.5033899009015314,trend,-1686.6906713066849,signal_change,1
BZ=F,SCORE,2024-05-02 09:00:00+00:00,2024-05-02 10:00:00+00:00,-1.0,84.18000244140624,84.2400033569336,0.48976744392357885,trend,-602.4063208027628,signal_change,1
BZ=F,SCORE,2024-05-02 11:00:00+00:00,2024-05-02 12:00:00+00:00,-1.0,83.93000244140624,84.31000305175782,0.4947944542818665,trend,-2117.457150368135,signal_change,1
BZ=F,SCORE,2024-05-02 13:00:00+00:00,2024-05-02 17:00:00+00:00,-1.0,83.67000030517578,83.7400033569336,0.44986532367354415,trend,-305.14784097878237,signal_change,4
BZ=F,SCORE,2024-05-05 22:00:00+00:00,2024-05-05 23:00:00+00:00,-1.0,82.97000335693359,83.34000183105469,0.12052250332637779,transition,-733.225480306783,signal_change,1
BZ=F,SCORE,2024-05-07 16:00:00+00:00,2024-05-07 17:00:00+00:00,1.0,83.17999816894532,83.47000335693359,0.49888405761859744,shock,1440.6286539335074,signal_change,1
BZ=F,SCORE,2024-05-07 18:00:00+00:00,2024-05-07 19:00:00+00:00,1.0,83.45999694824219,83.2599966430664,0.20521821221526343,shock,-591.5165458728513,signal_change,1
BZ=F,SCORE,2024-05-08 08:00:00+00:00,2024-05-08 10:00:00+00:00,-1.0,82.12999938964843,82.19000030517579,0.6886962116758023,transition,-532.7421099359308,signal_change,2
BZ=F,SCORE,2024-05-08 12:00:00+00:00,2024-05-08 13:00:00+00:00,-1.0,82.17000030517578,82.31000305175782,0.6830673188027289,transition,-1504.5521554761315,signal_change,1
BZ=F,SCORE,2024-05-08 16:00:00+00:00,2024-05-08 17:00:00+00:00,1.0,83.69000030517579,83.40000366210937,0.6709363469012068,transition,-2629.981835904108,signal_change,1
BZ=F,SCORE,2024-05-09 08:00:00+00:00,2024-05-09 09:00:00+00:00,1.0,84.14999938964844,84.17000030517578,0.7841940902876667,trend,-229.72743863378273,signal_change,1
