symbol,model,entry_time,exit_time,side,entry_price,exit_price,weight,regime,PnL,exit_reason,bars_held
SPY,C,2023-10-23 13:30:00+00:00,2023-10-23 16:30:00+00:00,-1.0,419.865,424.4314270019531,0.9235855463648237,trend,-3160.8502065820485,stop,4
SPY,C,2023-11-01 19:30:00+00:00,2023-11-09 18:30:00+00:00,1.0,422.83000732421874,434.9249479675293,1.117319976687266,trend,31607.945659398843,stop,41
SPY,C,2023-11-15 15:30:00+00:00,2023-11-21 15:30:00+00:00,1.0,450.71001220703124,451.95588134765626,1.3681606580936865,trend,3526.3056909704424,stop,29
SPY,C,2023-12-12 16:30:00+00:00,2023-12-13 18:30:00+00:00,1.0,462.520009765625,464.99370025634767,1.9612491755932497,trend,10345.615527134334,stop,10
SPY,C,2023-12-13 20:30:00+00:00,2023-12-14 18:30:00+00:00,1.0,468.8699853515625,470.17060302734376,2.16831944711437,trend,5643.308039330841,stop,6
SPY,C,2024-01-24 15:30:00+00:00,2024-01-31 14:30:00+00:00,1.0,487.52998901367187,488.4744436645508,1.888680004134123,trend,3250.2989112664873,stop,35
SPY,C,2024-02-09 18:30:00+00:00,2024-02-12 18:30:00+00:00,1.0,500.76,500.82626556396485,2.3010895279739882,trend,-298.34108701241894,stop,8
SPY,C,2024-03-04 20:30:00+00:00,2024-03-05 14:30:00+00:00,1.0,513.540029296875,511.0751215616862,2.0866364656291405,transition,-11031.839428678713,stop,2
SPY,C,2024-03-21 14:30:00+00:00,2024-03-25 13:30:00+00:00,1.0,523.78001953125,520.3634999593099,1.5364656311543579,trend,-10787.104326083398,stop,14
SPY,C,2024-05-07 13:30:00+00:00,2024-05-17 17:30:00+00:00,1.0,517.5699975585937,527.9712927246094,1.1234178174339309,transition,22971.17550414416,stop,61
SPY,C,2024-05-31 15:30:00+00:00,2024-05-31 19:30:00+00:00,-1.0,520.1099951171875,523.2437188720703,1.5967532756218596,trend,-4161.389888265008,stop,5
SPY,C,2024-06-05 19:30:00+00:00,2024-06-11 13:30:00+00:00,1.0,533.7000024414062,532.948480834961,1.4398136069144056,transition,-2502.3477142462852,stop,23
SPY,C,2024-07-05 18:30:00+00:00,2024-07-11 14:30:00+00:00,1.0,554.0499780273437,559.0340521240234,1.9919590311944848,trend,18272.919202291967,stop,25
SPY,C,2024-08-13 16:30:00+00:00,2024-08-22 15:30:00+00:00,1.0,539.7100122070312,558.5157110595703,1.0600821623863788,transition,39045.143582312885,stop,49
SPY,C,2024-09-06 15:30:00+00:00,2024-09-09 16:30:00+00:00,-1.0,541.479990234375,547.1791229248047,0.9490023414681246,trend,-10165.270844599918,stop,9
SPY,C,2024-09-17 14:30:00+00:00,2024-09-17 16:30:00+00:00,1.0,565.9600122070312,562.152333577474,1.4881196377438546,trend,-11306.605657801816,stop,3
SPY,C,2024-10-14 14:30:00+00:00,2024-10-15 17:30:00+00:00,1.0,583.4399926757812,580.6360418701172,1.7554123405722166,transition,-9556.936547592364,stop,11
SPY,C,2024-11-01 13:30:00+00:00,2024-11-05 15:30:00+00:00,-1.0,571.3100073242188,574.9070260620117,1.3479210404983757,shock,-5123.633406263244,stop,16
SPY,C,2024-11-06 20:30:00+00:00,2024-11-12 16:30:00+00:00,1.0,591.1199853515625,596.2942144775391,1.3316326032473984,trend,12098.367351816692,stop,25
SPY,C,2024-11-15 19:30:00+00:00,2024-11-18 15:30:00+00:00,-1.0,584.0999853515625,588.1535441080729,1.4475120377964166,transition,-6949.637727171442,stop,4
SPY,C,2024-12-02 20:30:00+00:00,2024-12-09 15:30:00+00:00,1.0,604.1299951171875,605.8796026611328,2.5,transition,7039.134050696082,stop,31
SPY,C,2025-01-21 17:30:00+00:00,2025-01-24 18:30:00+00:00,1.0,601.5900170898437,607.013323059082,1.632629150681307,shock,15462.61655232481,stop,23
SPY,C,2025-02-19 14:30:00+00:00,2025-02-20 14:30:00+00:00,1.0,610.0900170898437,609.2769491577149,2.154154494366888,transition,-3752.523429432329,stop,8
SPY,C,2025-02-25 15:30:00+00:00,2025-02-25 17:30:00+00:00,-1.0,590.74,596.1761728922526,1.0889258540965796,trend,-1218.0145607322074,stop,3
SPY,C,2025-03-28 17:30:00+00:00,2025-03-31 17:30:00+00:00,-1.0,555.350107421875,555.3436181640625,1.1129287050932497,trend,6972.871375675546,stop,8
