symbol,model,entry_time,exit_time,side,entry_price,exit_price,weight,regime,PnL,exit_reason,bars_held
ETH-USD,B,2024-09-19 00:00:00+00:00,2024-09-20 01:00:00+00:00,1.0,2374.587880859375,2441.593088378906,10.0,transition,276064.18468166556,stop,26
ETH-USD,B,2024-09-20 04:00:00+00:00,2024-09-21 23:00:00+00:00,1.0,2520.89623046875,2582.594064941406,10.0,shock,283166.70438741567,stop,44
ETH-USD,B,2024-09-22 00:00:00+00:00,2024-09-22 02:00:00+00:00,1.0,2614.256826171875,2595.5856115722654,10.0,transition,-127030.98469599616,stop,3
ETH-USD,B,2024-09-23 03:00:00+00:00,2024-09-24 00:00:00+00:00,1.0,2635.977041015625,2642.189279785156,10.0,shock,-9636.11791862351,stop,22
ETH-USD,B,2024-09-24 23:00:00+00:00,2024-09-25 04:00:00+00:00,1.0,2667.6672265625,2634.2970581054688,10.0,range,-187459.96617263663,stop,6
ETH-USD,B,2024-09-25 18:00:00+00:00,2024-09-26 03:00:00+00:00,-1.0,2575.167734375,2603.457021484375,10.0,transition,-84838.31663292217,stop,10
ETH-USD,B,2024-09-26 08:00:00+00:00,2024-09-28 06:00:00+00:00,1.0,2629.78734375,2677.552072753906,10.0,range,154717.00007377757,stop,47
ETH-USD,B,2024-09-29 07:00:00+00:00,2024-09-29 15:00:00+00:00,-1.0,2651.2566015625,2666.935048828125,10.0,shock,41900.31828117363,stop,9
ETH-USD,B,2024-09-30 02:00:00+00:00,2024-09-30 06:00:00+00:00,-1.0,2615.2790625,2640.978759765625,10.0,shock,-98634.55581294688,stop,5
ETH-USD,B,2024-09-30 11:00:00+00:00,2024-09-30 13:00:00+00:00,-1.0,2604.96802734375,2635.3082682291665,10.0,transition,-135282.77621255262,stop,3
ETH-USD,B,2024-09-30 19:00:00+00:00,2024-10-01 01:00:00+00:00,-1.0,2588.52662109375,2623.1902669270835,10.0,transition,-112859.16715396305,stop,7
ETH-USD,B,2024-10-01 15:00:00+00:00,2024-10-01 18:00:00+00:00,-1.0,2548.35572265625,2515.2379052734377,10.0,shock,190051.49605194203,stop,4
ETH-USD,B,2024-10-01 21:00:00+00:00,2024-10-04 01:00:00+00:00,-1.0,2451.158212890625,2371.7032067871096,10.0,transition,713968.7508458537,stop,53
ETH-USD,B,2024-10-04 17:00:00+00:00,2024-10-05 03:00:00+00:00,1.0,2433.187001953125,2399.8143513997397,10.0,transition,-273695.52254799695,stop,11
ETH-USD,B,2024-10-06 12:00:00+00:00,2024-10-06 14:00:00+00:00,1.0,2428.114248046875,2427.4284460449217,10.0,shock,-21374.71959084453,stop,3
ETH-USD,B,2024-10-06 15:00:00+00:00,2024-10-06 21:00:00+00:00,1.0,2452.841298828125,2433.9248250325522,10.0,shock,-137464.40339016807,stop,7
ETH-USD,B,2024-10-07 01:00:00+00:00,2024-10-07 09:00:00+00:00,1.0,2487.710927734375,2474.28345703125,10.0,shock,-96734.09611587974,stop,9
ETH-USD,B,2024-10-09 02:00:00+00:00,2024-10-09 13:00:00+00:00,1.0,2462.0930078125,2424.7164103190103,10.0,range,-212278.14346408204,stop,12
ETH-USD,B,2024-10-09 21:00:00+00:00,2024-10-10 01:00:00+00:00,-1.0,2355.62720703125,2390.073038736979,10.0,shock,-26609.612416814023,stop,5
ETH-USD,B,2024-10-10 19:00:00+00:00,2024-10-11 01:00:00+00:00,-1.0,2354.375986328125,2390.953857421875,10.0,transition,-117077.08795105226,stop,7
ETH-USD,B,2024-10-11 16:00:00+00:00,2024-10-12 02:00:00+00:00,1.0,2444.716787109375,2435.637003173828,10.0,transition,-52225.22825381445,stop,11
ETH-USD,B,2024-10-14 04:00:00+00:00,2024-10-14 14:00:00+00:00,1.0,2519.394765625,2573.136331787109,10.0,shock,204935.98117056777,stop,11
ETH-USD,B,2024-10-14 15:00:00+00:00,2024-10-15 05:00:00+00:00,1.0,2621.710927734375,2596.2096960449217,10.0,trend,-138855.95981494762,stop,15
ETH-USD,B,2024-10-15 15:00:00+00:00,2024-10-15 16:00:00+00:00,-1.0,2567.64380859375,2614.935476074219,10.0,shock,147734.78047314115,stop,2
ETH-USD,B,2024-10-18 02:00:00+00:00,2024-10-19 11:00:00+00:00,1.0,2642.849599609375,2638.8165991210935,10.0,shock,-49420.155784177245,stop,34
ETH-USD,B,2024-10-20 14:00:00+00:00,2024-10-20 14:00:00+00:00,1.0,2659.91087890625,2690.102579345703,10.0,shock,116369.63051035654,stop,1
ETH-USD,B,2024-10-20 15:00:00+00:00,2024-10-20 15:00:00+00:00,1.0,2708.91771484375,2689.2332153320312,10.0,shock,-102723.86751963144,stop,1
ETH-USD,B,2024-10-20 23:00:00+00:00,2024-10-21 07:00:00+00:00,1.0,2747.393544921875,2725.1447241210935,10.0,trend,-101995.32781067028,stop,9
ETH-USD,B,2024-10-22 01:00:00+00:00,2024-10-23 16:00:00+00:00,-1.0,2636.2194921875,2534.887899169922,10.0,trend,403119.41499198595,stop,40
ETH-USD,B,2024-10-23 17:00:00+00:00,2024-10-23 19:00:00+00:00,-1.0,2489.768076171875,2509.05052734375,10.0,trend,120275.23088810148,stop,3
ETH-USD,B,2024-10-25 05:00:00+00:00,2024-10-25 08:00:00+00:00,-1.0,2490.82935546875,2508.2529809570315,10.0,transition,222229.17919148007,stop,4
ETH-USD,B,2024-10-26 00:00:00+00:00,2024-10-26 18:00:00+00:00,-1.0,2435.922861328125,2477.0127160644533,10.0,transition,-286315.40975620603,stop,19
ETH-USD,B,2024-10-27 22:00:00+00:00,2024-10-28 01:00:00+00:00,1.0,2513.08275390625,2493.7464599609375,10.0,shock,-126906.08681516492,stop,4
ETH-USD,B,2024-10-28 10:00:00+00:00,2024-10-28 14:00:00+00:00,1.0,2537.806875,2510.4212036132812,10.0,transition,-155966.8985552843,stop,5
ETH-USD,B,2024-10-28 23:00:00+00:00,2024-10-29 20:00:00+00:00,1.0,2566.56810546875,2621.824564208984,10.0,transition,235171.2969463715,stop,22
ETH-USD,B,2024-10-30 10:00:00+00:00,2024-10-30 20:00:00+00:00,1.0,2691.042958984375,2658.033731689453,10.0,transition,-205435.43308996857,stop,11
ETH-USD,B,2024-10-31 15:00:00+00:00,2024-11-01 12:00:00+00:00,-1.0,2554.764658203125,2528.7723291015627,10.0,transition,254765.78931176494,stop,22
ETH-USD,B,2024-11-03 03:00:00+00:00,2024-11-03 04:00:00+00:00,-1.0,2433.01587890625,2456.203572591146,10.0,transition,-79591.46676876923,stop,2
ETH-USD,B,2024-11-03 15:00:00+00:00,2024-11-03 16:00:00+00:00,-1.0,2424.077890625,2450.9334920247397,10.0,transition,-69403.7321342029,stop,2
ETH-USD,B,2024-11-04 22:00:00+00:00,2024-11-04 22:00:00+00:00,-1.0,2368.847421875,2407.2934366861978,10.0,shock,205124.15175190932,stop,1
ETH-USD,B,2024-11-05 15:00:00+00:00,2024-11-05 15:00:00+00:00,1.0,2468.72630859375,2430.1050618489585,10.0,range,-258470.48097879317,stop,1
ETH-USD,B,2024-11-06 01:00:00+00:00,2024-11-06 02:00:00+00:00,1.0,2485.7043359375,2501.506357421875,10.0,transition,69001.37045354786,stop,2
ETH-USD,B,2024-11-06 03:00:00+00:00,2024-11-07 01:00:00+00:00,1.0,2569.465810546875,2726.607980957031,10.0,shock,1009313.0110332752,stop,23
ETH-USD,B,2024-11-07 02:00:00+00:00,2024-11-10 01:00:00+00:00,1.0,2815.062490234375,3115.208017578125,10.0,trend,3179656.3930449947,time_stop,72
ETH-USD,B,2024-11-10 05:00:00+00:00,2024-11-10 19:00:00+00:00,1.0,3181.24291015625,3162.261087646484,10.0,transition,-552391.6797481814,stop,15
ETH-USD,B,2024-11-11 17:00:00+00:00,2024-11-12 10:00:00+00:00,1.0,3283.119130859375,3289.092813720703,10.0,transition,-395316.56209682254,stop,18
ETH-USD,B,2024-11-13 15:00:00+00:00,2024-11-13 19:00:00+00:00,1.0,3324.926748046875,3230.4650065104165,10.0,shock,-1231437.566486708,stop,5
ETH-USD,B,2024-11-15 00:00:00+00:00,2024-11-16 02:00:00+00:00,-1.0,3058.18189453125,3114.973348388672,10.0,transition,-547953.9754651069,stop,27
ETH-USD,B,2024-11-16 04:00:00+00:00,2024-11-16 23:00:00+00:00,1.0,3154.5832421875,3138.9522802734373,10.0,transition,-255477.47112456168,stop,20
ETH-USD,B,2024-11-17 03:00:00+00:00,2024-11-17 04:00:00+00:00,-1.0,3067.68091796875,3122.743693033854,10.0,transition,228355.3342268696,stop,2
ETH-USD,B,2024-11-18 17:00:00+00:00,2024-11-18 19:00:00+00:00,1.0,3169.251943359375,3108.1576334635415,10.0,transition,-558281.6782635333,stop,3
ETH-USD,B,2024-11-19 00:00:00+00:00,2024-11-19 04:00:00+00:00,1.0,3208.26439453125,3136.5368855794272,10.0,transition,-494798.8549962105,stop,5
ETH-USD,B,2024-11-20 19:00:00+00:00,2024-11-21 04:00:00+00:00,-1.0,3052.41919921875,3104.5135904947915,10.0,transition,-96398.68867938069,stop,10
ETH-USD,B,2024-11-21 13:00:00+00:00,2024-11-21 15:00:00+00:00,1.0,3284.945546875,3255.763681640625,10.0,shock,-240575.58220376523,stop,3
ETH-USD,B,2024-11-23 13:00:00+00:00,2024-11-23 16:00:00+00:00,1.0,3403.9865625,3406.708048095703,10.0,transition,-42174.74144556769,stop,4
ETH-USD,B,2024-11-24 12:00:00+00:00,2024-11-24 23:00:00+00:00,-1.0,3348.531259765625,3370.4468896484377,10.0,transition,-33460.44560648264,stop,12
ETH-USD,B,2024-11-25 10:00:00+00:00,2024-11-25 14:00:00+00:00,1.0,3477.767080078125,3435.4420874023435,10.0,shock,-183443.61373116303,stop,5
ETH-USD,B,2024-11-27 14:00:00+00:00,2024-11-28 03:00:00+00:00,1.0,3504.480458984375,3582.980539550781,10.0,transition,232804.95218717234,stop,14
