symbol,model,entry_time,exit_time,side,entry_price,exit_price,weight,regime,PnL,exit_reason,bars_held
ETH-USDT-SWAP,B,2026-07-18 09:10:00+00:00,2026-07-18 09:17:00+00:00,-1.0,1845.42,1844.5925,2.5,range,-1915.4997335013347,stop,8
ETH-USDT-SWAP,B,2026-07-18 09:18:00+00:00,2026-07-18 09:27:00+00:00,-1.0,1843.21,1843.45,2.5,transition,-2116.8804977659956,stop,10
ETH-USDT-SWAP,B,2026-07-18 10:14:00+00:00,2026-07-18 10:22:00+00:00,-1.0,1843.53,1843.89375,2.5,transition,-2186.8211937087835,stop,9
ETH-USDT-SWAP,B,2026-07-18 10:27:00+00:00,2026-07-18 10:33:00+00:00,1.0,1845.0,1844.95625,2.5,transition,-2569.3187227033463,stop,7
ETH-USDT-SWAP,B,2026-07-18 11:09:00+00:00,2026-07-18 11:09:00+00:00,1.0,1844.92,1844.5616666666667,2.5,transition,-2984.0040500909076,stop,1
ETH-USDT-SWAP,B,2026-07-18 11:40:00+00:00,2026-07-18 11:44:00+00:00,-1.0,1843.56,1843.9766666666667,2.5,transition,-2419.974519456375,stop,5
ETH-USDT-SWAP,B,2026-07-18 12:02:00+00:00,2026-07-18 12:06:00+00:00,1.0,1846.3,1848.235,2.5,transition,88.14697850435823,stop,5
ETH-USDT-SWAP,B,2026-07-18 12:18:00+00:00,2026-07-18 12:34:00+00:00,-1.0,1842.84,1841.93875,2.5,transition,139.18536363163423,stop,17
ETH-USDT-SWAP,B,2026-07-18 12:48:00+00:00,2026-07-18 12:57:00+00:00,1.0,1845.68,1844.7749999999999,2.5,transition,-3699.024249448575,stop,10
ETH-USDT-SWAP,B,2026-07-18 13:03:00+00:00,2026-07-18 13:12:00+00:00,-1.0,1842.11,1839.655,2.5,transition,693.1831658004085,stop,10
ETH-USDT-SWAP,B,2026-07-18 13:13:00+00:00,2026-07-18 13:14:00+00:00,-1.0,1837.65,1839.0075000000002,2.5,shock,-3073.2954108828426,stop,2
ETH-USDT-SWAP,B,2026-07-18 14:12:00+00:00,2026-07-18 14:31:00+00:00,1.0,1842.36,1843.57875,2.5,transition,-862.940811800328,stop,20
ETH-USDT-SWAP,B,2026-07-18 15:12:00+00:00,2026-07-18 15:16:00+00:00,-1.0,1842.81,1843.9891666666667,2.5,transition,-3665.444632828087,stop,5
ETH-USDT-SWAP,B,2026-07-18 15:46:00+00:00,2026-07-18 15:47:00+00:00,-1.0,1841.44,1842.4266666666667,2.5,transition,-2295.84300578169,stop,2
ETH-USDT-SWAP,B,2026-07-18 16:36:00+00:00,2026-07-18 16:38:00+00:00,1.0,1843.95,1842.8858333333333,2.5,transition,-3860.287237770116,stop,3
ETH-USDT-SWAP,B,2026-07-18 16:53:00+00:00,2026-07-18 17:01:00+00:00,1.0,1844.61,1844.2250000000001,2.5,transition,-2954.792439241147,stop,9
ETH-USDT-SWAP,B,2026-07-18 17:22:00+00:00,2026-07-18 17:32:00+00:00,-1.0,1843.8,1844.675,2.5,transition,-1820.5037782843613,stop,11
ETH-USDT-SWAP,B,2026-07-18 17:41:00+00:00,2026-07-18 17:43:00+00:00,1.0,1849.11,1847.2766666666666,2.5,shock,-4819.665571127307,stop,3
ETH-USDT-SWAP,B,2026-07-18 17:47:00+00:00,2026-07-18 17:47:00+00:00,1.0,1849.51,1849.7875000000001,2.5,shock,-2064.0814792348597,stop,1
ETH-USDT-SWAP,B,2026-07-18 17:48:00+00:00,2026-07-18 17:50:00+00:00,1.0,1850.72,1849.13875,2.5,transition,-4461.2884861338825,stop,3
ETH-USDT-SWAP,B,2026-07-18 18:25:00+00:00,2026-07-18 18:25:00+00:00,1.0,1856.9,1864.45375,2.2250783699059324,shock,6475.293726929795,stop,1
ETH-USDT-SWAP,B,2026-07-18 18:26:00+00:00,2026-07-18 18:30:00+00:00,1.0,1859.02,1856.45875,2.216417707150936,trend,-5074.289264414749,stop,5
ETH-USDT-SWAP,B,2026-07-18 19:25:00+00:00,2026-07-18 19:35:00+00:00,-1.0,1855.31,1857.23875,2.5,transition,-3251.03923532017,stop,11
ETH-USDT-SWAP,B,2026-07-18 20:14:00+00:00,2026-07-18 20:24:00+00:00,1.0,1859.15,1860.1287499999999,2.5,transition,-1155.7329831058687,stop,11
ETH-USDT-SWAP,B,2026-07-18 20:38:00+00:00,2026-07-18 20:53:00+00:00,-1.0,1855.68,1856.07125,2.5,transition,-1033.0129781807987,stop,16
ETH-USDT-SWAP,B,2026-07-18 21:13:00+00:00,2026-07-18 21:13:00+00:00,1.0,1857.8,1857.82125,2.5,shock,-2369.7027291885765,stop,1
ETH-USDT-SWAP,B,2026-07-18 21:14:00+00:00,2026-07-18 21:22:00+00:00,1.0,1860.21,1859.6125,2.5,transition,-3152.5895305854265,stop,9
ETH-USDT-SWAP,B,2026-07-18 21:47:00+00:00,2026-07-18 21:50:00+00:00,-1.0,1856.89,1858.3600000000001,2.5,transition,-2853.454180030245,stop,4
ETH-USDT-SWAP,B,2026-07-18 21:53:00+00:00,2026-07-18 22:01:00+00:00,1.0,1860.78,1858.89,2.5,transition,-4759.390580371199,stop,9
ETH-USDT-SWAP,B,2026-07-18 22:05:00+00:00,2026-07-18 22:16:00+00:00,1.0,1862.29,1861.5425,2.5,shock,-3303.826868750405,stop,12
ETH-USDT-SWAP,B,2026-07-18 22:53:00+00:00,2026-07-18 22:54:00+00:00,1.0,1863.1,1861.9099999999999,2.5,transition,-3841.404423663441,stop,2
