ticker,marketCap,enterpriseValue,trailingPE,forwardPE,priceToBook,priceToSalesTrailing12Months,enterpriseToEbitda,returnOnEquity,returnOnAssets,grossMargins,operatingMargins,profitMargins,debtToEquity,currentRatio,quickRatio,earningsQuarterlyGrowth,revenueGrowth,freeCashflow,operatingCashflow,totalRevenue,ebitda,bookValue,trailingEps,forwardEps,sharesOutstanding,beta,heldPercentInsiders,shortRatio,roe_q,roa_q,ni_growth_q,rev_growth_q,accruals,debt_equity_q,cfo_assets
ABT,187784871936.0,214321627136.0,34.88997,17.782827,3.6499982,4.031016,18.348,0.10576,0.05328,0.56847,0.14706999,0.116450004,63.212,1.376,0.797,-0.478,0.13,7209124864.0,9905000448.0,46584999936.0,11681000448.0,29.537,3.09,6.06259,1741813154.0,0.581,0.00495,1.83,,,-0.2551995503091624,-0.0703643870041285,,,
A,41226588160.0,42961592320.0,147.44444,22.080536,5.7841973,5.700579,21.321,0.21330999,0.08613,0.52641,0.23706,0.19552,49.733,2.099,1.457,0.577,0.1,930625024.0,1452000000.0,7232000000.0,2015000064.0,25.236,0.99,6.6108,282431944.0,1.229,0.0019400001,3.3,,,-0.36011904761904767,-0.04027617951668583,,,
ACN,107530461184.0,107364818944.0,14.046363,11.967272,3.371386,1.470993,8.295,0.24406,0.10903,0.32013,0.16964,0.10656,25.035,1.339,1.213,0.064,0.056,12089380864.0,13182094336.0,73100591104.0,12943767552.0,52.121,12.51,14.68338,611942109.0,1.074,0.00035,2.55,0.07192016946642459,0.034681670858136046,0.554143213082662,0.007479487118285277,-0.023466183879089223,0.267233889357538,0.058147854737225266
ACGL,33581680640.0,34117339136.0,7.7057905,10.086413,1.4414942,1.7461356,6.131,0.19936001,0.04124,0.38758,0.26584998,0.24396999,17.836,0.589,0.288,-0.146,-0.105,4302125056.0,6099999744.0,19232000000.0,5565000192.0,68.318,12.78,9.76363,341000000.0,0.288,0.02683,4.34,,,-0.5359741309620049,-0.0751258811681772,,,
ADI,189929848832.0,195199270912.0,58.11177,25.887691,5.628888,14.907926,31.743,0.09639,0.054899998,0.64491,0.38076,0.26007998,25.81,1.752,1.232,1.065,0.372,3868954624.0,5106470912.0,12740193280.0,6149394944.0,69.273,6.71,15.06237,487087040.0,1.212,0.0023999999,1.99,,,,,,,
ADSK,52592058368.0,52355878912.0,36.362045,17.491673,16.480085,7.005736,24.477,0.50396,0.113249995,0.92434,0.29524,0.19488001,85.419,0.835,0.669,2.23,0.184,3060999936.0,2780999936.0,7506999808.0,2139000064.0,15.114,6.85,14.23992,211145251.0,1.298,0.00227,2.87,,,,,,,
ADBE,105420972032.0,106871971840.0,15.172196,9.648606,9.187306,4.183704,10.985,0.62953997,0.19926001,0.89404,0.35327998,0.28689,61.443,0.751,0.631,0.012,0.127,9218374656.0,10481000448.0,25198000128.0,9729000448.0,28.867,17.48,27.48687,397500000.0,1.397,0.0022,2.83,,,,,,,
ADP,107785330688.0,109069926400.0,24.823421,20.250118,17.895918,4.911075,17.012,0.72239,0.062470004,0.48653,0.23459,0.20109,91.436,1.051,0.155,0.075,0.068,5243049984.0,5441200128.0,21947400192.0,6411200000.0,15.161,10.93,13.39844,397262737.0,0.823,0.00174,5.05,,,,,,,
ABNB,106625769472.0,95414525952.0,40.65525,29.073368,13.470762,8.102878,34.558,0.34542,0.061389998,0.82901,0.21009001,0.2045,32.004,1.408,0.679,0.271,0.165,3206874880.0,4860000256.0,13159000064.0,2760999936.0,13.219,4.38,6.12485,419529556.0,1.137,0.01112,3.66,,,,,,,
ADM,36913045504.0,45461282816.0,20.926228,13.476705,1.5660334,0.44961625,15.179,0.07642,0.02257,0.0687,0.04008,0.021559998,39.134,1.389,0.301,3.146,0.072,1164625024.0,2795000064.0,82099003392.0,2995000064.0,48.907,3.66,5.68314,481956527.0,0.612,0.0066000004,4.72,,,,,,,
AAPL,4572794322944.0,4594739445760.0,35.97359,32.93679,42.57201,9.795564,27.356,1.4875101,0.27082002,0.48653,0.32623002,0.27618998,78.445,1.003,0.812,0.271,0.164,107721875456.0,146723995648.0,466822987776.0,167959003136.0,7.36,8.71,9.51307,14594180000.0,1.086,0.01647,2.28,,,-0.14679967960387386,-0.08227119239552627,,,
ABBV,434781519872.0,499144523776.0,69.50282,15.094145,-73.247986,6.7527337,16.225,,0.105100006,0.72792,0.40035,0.098000005,,0.809,0.49,2.852,0.102,16870250496.0,19506999296.0,64385998848.0,30762999808.0,-3.359,3.54,16.30036,1767117285.0,0.28,0.0010899999,2.42,,,,,,,
AES,10504812544.0,49480949760.0,5.516854,6.1950097,2.1255412,0.8047198,12.157,0.095740005,0.02964,0.2027,0.18673,0.1434,256.886,0.746,0.45,,0.199,-3089125120.0,5032000000.0,13054000128.0,4070000128.0,6.93,2.67,2.37772,713157713.0,0.952,0.00575,2.64,,,,,,,
AEE,30131619840.0,52056621056.0,19.161972,18.73238,2.2011447,3.5824065,13.314,0.11943,0.030569999,0.52408004,0.25236,0.18583,157.846,0.531,0.259,0.142,-0.062,-1786249984.0,3251000064.0,8410999808.0,3910000128.0,49.447,5.68,5.81026,276843251.0,0.476,0.00308,7.1,,,0.050909090909091015,-0.055830706888788884,,,
AIG,41335865344.0,39929864192.0,14.375912,8.923919,1.0390399,1.5475801,4.969,0.0722,0.01757,0.35017,0.19424999,0.11101,22.466,0.618,0.221,-0.171,0.006,,,26709999616.0,8034999808.0,75.82,5.48,8.82796,524700000.0,0.517,0.00577,2.16,,,,,,,
AIZ,14281696256.0,14455897088.0,13.867337,12.50204,2.3514268,1.0613469,8.322,0.18341999,0.02564,0.13272999,0.11734,0.07903,36.211,0.382,0.147,0.269,0.094,2149574912.0,1870700032.0,13456199680.0,1737100032.0,123.138,20.88,23.16022,49323767.0,0.543,0.00715,3.85,,,,,,,
AJG,63603326976.0,76343156736.0,41.147594,16.668972,2.6813347,4.209632,17.804,0.06722,0.02317,0.43186,0.1916,0.10378,59.401,1.053,0.173,-0.12,0.309,2082300032.0,2448999936.0,15109000192.0,4288000000.0,92.536,6.03,14.88514,256341000.0,0.502,0.0086,4.15,,,0.9245489338436303,0.15716592151018371,,,
AFL,62586245120.0,65195245568.0,13.4422865,16.496376,2.1917157,3.4637358,10.751,0.16908,0.0313,0.50888,0.25722998,0.26908,28.797,4.102,3.714,0.377,-0.01,,,18069000192.0,6064000000.0,56.855,9.27,7.55378,502257000.0,0.595,0.1093,5.07,0.0011010706963322956,0.00024114819804087878,-0.9515859766277128,-0.1813655761024182,,0.29428961956109045,
AKAM,15917760512.0,21901359104.0,40.050724,15.416047,3.2138393,3.6822512,20.381,0.08918,0.02516,0.57452,0.07467,0.09507,196.672,1.637,1.517,-0.234,0.054,710182656.0,1447190016.0,4322833920.0,1074601984.0,34.395,2.76,7.17045,144000000.0,0.645,0.02123,4.99,,,,,,,
AEP,68447084544.0,122579075072.0,21.790295,18.332346,2.1335845,3.0032506,13.576,0.10130999,0.029790001,0.46352002,0.23251,0.13781999,160.789,0.504,0.277,-0.418,0.07,-5995950080.0,7694000128.0,22791000064.0,9029000192.0,58.929,5.77,6.85837,544397352.0,0.507,0.00027000002,5.56,,,,,,,
ALL,67513073664.0,71276068864.0,5.3474865,9.856709,2.1395774,0.9625885,4.164,0.46113998,0.086780004,0.36800998,0.22827,0.18971,22.261,0.363,0.243,0.551,0.118,15158625280.0,12469000192.0,70137004032.0,17116000256.0,124.791,49.93,27.08815,252857950.0,0.156,0.00509,0.07,,,,,,,
ALB,15471642624.0,18332682240.0,468.25,11.008081,2.029661,2.618804,12.366,0.02648,0.03165,0.23959999,0.2771,0.03795,18.976,2.086,1.248,19.962,0.311,1334340224.0,1800327936.0,5907904000.0,1482468992.0,64.597,0.28,11.91034,118005057.0,1.317,0.0019200001,0.03,,,0.8058260907542474,-0.1903101672792017,,,
