category,rank,factor
momentum,1,mom_1m
momentum,2,mom_accel
momentum,3,mom_12_1
momentum,4,mom_12m
momentum,5,mom_1w
profitability,1,roe
profitability,2,profit_margin
profitability,3,rev_growth
profitability,4,earn_growth
profitability,5,roa
quality,1,roe_margin_blend
quality,2,inv_short_ratio
quality,3,inv_debt_equity
quality,4,quick_ratio
quality,5,current_ratio
size,1,neg_log_mcap
size,2,neg_mcap_rank
size,3,inv_price_rank
size,4,neg_log_price
size,5,neg_log_dollar_vol
stability,1,inv_downside_vol
stability,2,inv_vol_6m
stability,3,inv_vol_1m
stability,4,inv_vol_3m
stability,5,inv_beta
valuation,1,fcf_yield
valuation,2,inv_ev_ebitda
valuation,3,inv_pb
valuation,4,book_yield
valuation,5,sales_yield
